name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,interceptionWon,totalTackle,wonTackle,expectedGoals,keyPass,aerialLost,totalClearance,fouls,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,blockedScoringAttempt,unsuccessfulTouch,wasFouled,dispossessed,outfielderBlock,goals,totalOffside,crossNotClaimed,punches
Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",35.0,30.0,8.0,3.0,29.0,31.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,90.0,42.0,6.7,5.0,0.0002625,"{'original': 6.7, 'alternative': 6.8}",0,0.096,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,,,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",45.0,37.0,13.0,6.0,17.0,18.0,22.0,35.0,2.0,,,,,45.0,65.0,7.3,16.0,0.290425,"{'original': 7.3, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,8.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0311,2.0,,,,,,,,,,,,,,,
Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",116.0,99.0,8.0,4.0,74.0,82.0,25.0,34.0,7.0,,,,,90.0,125.0,7.1,17.0,0.00668977,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,8.0,2.0,10.0,,,,,1.0,,2.0,2.0,0.0433,,1.0,5.0,1.0,,,,,,,,,,,,
Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",103.0,95.0,8.0,6.0,63.0,67.0,32.0,36.0,5.0,,,,,90.0,109.0,7.2,8.0,0.0526309,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,6.0,1.0,6.0,1.0,,,,,,,,0.1609,1.0,,4.0,,1.0,1.0,0.1015,,,,,,,,,
Andrew Robertson,,,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",66.0,59.0,2.0,2.0,35.0,37.0,30.0,43.0,,,,,,89.0,102.0,7.9,20.0,0.298659,"{'original': 7.9, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,14.0,6.0,,2.0,4.0,,2.0,,1.0,,,2.0,1.0,0.1037,5.0,,2.0,,,,,1.0,2.0,2.0,,,,,,
Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",41.0,35.0,3.0,,16.0,17.0,19.0,27.0,6.0,,,,,89.0,61.0,6.9,12.0,0.0315049,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,1.0,3.0,6.0,2.0,1.0,,,1.0,1.0,4.0,3.0,0.0508,,,1.0,,,,,1.0,1.0,1.0,,,,,,
Wataru Endo,,,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",68.0,60.0,3.0,3.0,34.0,39.0,26.0,29.0,6.0,,,,,89.0,84.0,7.2,11.0,0.225334,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,12.0,9.0,2.0,1.0,,1.0,,,4.0,2.0,0.0218,2.0,4.0,1.0,4.0,,,,1.0,1.0,3.0,1.0,1.0,,,,
Curtis Jones,,,curtis-jones,C. Jones,M,17,185,17493,M,curtisjones,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",73.0,66.0,4.0,2.0,33.0,36.0,33.0,38.0,6.0,,,,,90.0,90.0,7.5,10.0,0.191664,"{'original': 7.5, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,1.0,4.0,5.0,1.0,2.0,1.0,,1.0,,2.0,2.0,0.0489,3.0,,1.0,1.0,,,,,,1.0,1.0,,,,,
Diogo Jota,,,diogo-jota,D. Jota,F,,178,33671,M,DiogoJ18,606164,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,849657600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",34.0,26.0,,,14.0,14.0,12.0,21.0,6.0,,,,,90.0,55.0,7.8,16.0,0.0270162,"{'original': 7.8, 'alternative': 7.6}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,,10.0,5.0,1.0,2.0,,,1.0,1.0,3.0,1.0,0.4582,1.0,4.0,,3.0,,3.0,0.3432,2.0,4.0,2.0,,,1.0,,,
Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",22.0,15.0,,,1.0,2.0,14.0,23.0,3.0,,,,,90.0,45.0,7.5,17.0,0.439766,"{'original': 7.5, 'alternative': 7.4}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,3.0,8.0,6.0,1.0,1.0,,1.0,1.0,1.0,2.0,,0.9041,3.0,3.0,,1.0,1.0,2.0,0.6862,2.0,4.0,1.0,2.0,,1.0,1.0,,
