name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,totalClearance,interceptionWon,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialWon,goalAssist,aerialLost,shotOffTarget,outfielderBlock,totalTackle,wonTackle,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,dispossessed,blockedScoringAttempt,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,errorLeadToAGoal,clearanceOffLine
Emiliano Martínez,,,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",22.0,18.0,5.0,17.0,18.0,4.0,7.0,4.0,7.0,90.0,36.0,7.6,4.0,0.0,0.0,0.00016987,"{'original': 7.6, 'alternative': 7}",0,0.8025,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,5.0,4.0,,,
Matty Cash,,,matty-cash,M. Cash,D,2,185,9152,M,mattycash622,833956,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,870912000,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتي كاش', 'hi': 'मैटी कैश', 'bn': 'ম্যাটি ক্যাশ'}, 'shortNameTranslation': {'ar': 'م. كاش', 'hi': 'एम. कैश', 'bn': 'এম. ক্যাশ'}}",35.0,30.0,4.0,16.0,18.0,18.0,7.0,,,87.0,66.0,6.1,11.0,0.7231,0.5733,0.0046603,"{'original': 6.1, 'alternative': 5.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,14.0,1.0,,7.0,4.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,5.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,
Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,183,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",47.0,43.0,3.0,24.0,26.0,21.0,3.0,,,90.0,60.0,6.0,7.0,0.0,0.0,0.00679614,"{'original': 6, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,19.0,,,2.0,7.0,,1.0,1.0,,2.0,,3.0,1.0,2.0,,,,,,,5.0,4.0,,,,,,,,,,1.0,1.0,
Tyrone Mings,,,tyrone-mings,T. Mings,D,5,195,1946,M,,303638,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731980800,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايرون مينغز', 'hi': 'टाइरोन मिंग्स', 'bn': 'টাইরন মিংস'}, 'shortNameTranslation': {'ar': 'ت. مينغز', 'hi': 'टी. मिंग्स', 'bn': 'টি. মিংস'}}",5.0,5.0,1.0,4.0,4.0,1.0,2.0,,,31.0,9.0,6.6,1.0,0.0075,0.0,0.158618,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,
Lucas Digne,,,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",37.0,29.0,,12.0,18.0,27.0,3.0,,,90.0,61.0,6.5,13.0,0.0,0.0,0.153836,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,20.0,8.0,3.0,1.0,6.0,1.0,,,,2.0,1.0,,3.0,1.0,3.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,
Boubacar Kamara,,,boubacar-kamara,B. Kamara,M,44,184,3320,M,,826204,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,943315200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر كامارا', 'hi': 'बौबाकर कामारा', 'bn': 'বউবকার কামারা'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'hi': 'बी. कामारा', 'bn': 'বি.কামারা'}}",60.0,51.0,2.0,21.0,23.0,37.0,6.0,,,90.0,73.0,6.5,13.0,0.025,0.0,0.0230343,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,30.0,,,7.0,5.0,1.0,2.0,2.0,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,
Douglas Luiz,,,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",76.0,69.0,7.0,38.0,41.0,36.0,6.0,,,90.0,89.0,7.1,11.0,0.1882,0.3477,0.141596,"{'original': 7.1, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,31.0,1.0,,5.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,2.0,,,,,,
Leon Bailey,,,leon-bailey,L. Bailey,M,31,178,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",14.0,5.0,2.0,1.0,5.0,12.0,2.0,,,45.0,27.0,6.2,16.0,0.0,0.0,0.00543241,"{'original': 6.2, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,3.0,,4.0,2.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,4.0,,,,,,,
Moussa Diaby,,,diaby-moussa,M. Diaby,M,19,170,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",24.0,21.0,1.0,6.0,6.0,18.0,3.0,,,87.0,37.0,7.1,8.0,0.2767,0.2935,0.10903,"{'original': 7.1, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,15.0,,,6.0,4.0,,2.0,2.0,,,,1.0,1.0,,2.0,,,2.0,1.0,,1.0,1.0,,1.0,2.0,1.0,4.0,,,,,,,
John McGinn,,,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",15.0,12.0,2.0,4.0,4.0,14.0,1.0,,,64.0,22.0,6.3,8.0,0.0,0.0,0.0341243,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,9.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
Ollie Watkins,,,ollie-watkins,O. Watkins,F,11,179,19613,M,OllieWatkins,555386,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,820281600,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'hi': 'ओली वॉटकिंस', 'bn': 'অলি ওয়াটকিন্স'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'hi': 'ओ. वॉटकिंस', 'bn': 'ও. ওয়াটকিন্স'}}",17.0,14.0,,7.0,7.0,10.0,1.0,,,90.0,31.0,7.8,6.0,0.3173,0.3891,0.0960037,"{'original': 7.8, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,,,4.0,3.0,,3.0,2.0,,2.0,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,,,,,,,1.0
Pau Torres,,,pau-torres,P. Torres,D,14,192,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",44.0,40.0,1.0,22.0,22.0,22.0,3.0,,,59.0,52.0,6.6,4.0,0.0,0.0,0.0182451,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,18.0,,,3.0,3.0,1.0,1.0,1.0,,3.0,,,,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,
Youri Tielemans,,,youri-tielemans,Y. Tielemans,M,8,177,9703,M,youritielemans,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",23.0,20.0,2.0,7.0,8.0,15.0,1.0,,,45.0,25.0,6.4,4.0,0.0,0.0,0.0901236,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,13.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Diego Carlos,,,diego-carlos,D. Carlos,D,34,185,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",15.0,15.0,,8.0,8.0,7.0,2.0,,,26.0,20.0,6.8,,0.2704,0.2448,0.00305872,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,7.0,,,,3.0,,,,,1.0,,,,,,1.0,,,1.0,,2.0,2.0,,,1.0,,,,,,,,,
Philippe Coutinho,,,philippe-coutinho,P. Coutinho,M,10,172,71508,M,Coutinho,119159,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,708307200,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب كوتينيو', 'hi': 'फिलिप कूटिन्हो', 'bn': 'ফিলিপে কৌতিনহো'}, 'shortNameTranslation': {'ar': 'ف. كوتينيو', 'hi': 'पी. कूटिन्हो', 'bn': 'পি. কৌতিনহো'}}",9.0,7.0,,3.0,3.0,6.0,1.0,,,10.0,12.0,6.7,3.0,0.0763,0.0,0.00620805,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,4.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
Jaden Philogene-Bidace,,,jaden-philogene-bidace,J. Philogene-Bidace,M,11,181,4633,M,,1014461,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1013126400,"{'value': 16900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جادين فيلوجين-بيداس', 'hi': 'जेडन फिलोजेन-बिडेस', 'bn': 'জাডেন ফিলোজিন-বিডেস'}, 'shortNameTranslation': {'ar': 'ج. فيلوجين-بيداس', 'hi': 'जे. फिलोजेन-बिडेस', 'bn': 'জে. ফিলোজেন-বিডেস'}}",4.0,3.0,,2.0,2.0,2.0,1.0,,,10.0,4.0,6.4,1.0,0.0,0.0,0.0003322,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Olsen,,,robin-olsen,R. Olsen,G,30,198,1336,M,,26025,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,631756800,"{'value': 750000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبين أولسن', 'hi': 'रॉबिन ओल्सन', 'bn': 'রবিন ওলসেন'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'hi': 'आर. ओल्सन', 'bn': 'আর. ওলসেন'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Chambers,,,calum-chambers,C. Chambers,D,12,183,615,M,,227942,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,790560000,"{'value': 965000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم تشامبرز', 'hi': 'कैलम चैम्बर्स', 'bn': 'ক্যালাম চেম্বারস'}, 'shortNameTranslation': {'ar': 'ك. تشامبرز', 'hi': 'सी. चैम्बर्स', 'bn': 'সি. চেম্বারস'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Kellyman,Omari Kellyman,,omari-kellyman,O. Kellyman,F,8,191,3327,M,,1162083,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1127606400,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عمري كيليمان', 'hi': 'ओमारी केलीमैन', 'bn': 'ওমারি কেলিম্যান'}, 'shortNameTranslation': {'ar': 'ع. كيليمان', 'hi': 'ओ. केलीमैन', 'bn': 'ও. কেলিম্যান'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
