name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateLongBalls,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,totalClearance,interceptionWon,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialWon,goalAssist,aerialLost,shotOffTarget,outfielderBlock,totalTackle,wonTackle,totalOffside,bigChanceMissed,onTargetScoringAttempt,goals,dispossessed,blockedScoringAttempt,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,errorLeadToAGoal,clearanceOffLine
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15531,M,AGordon,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",21.0,18.0,1.0,6.0,6.0,16.0,1.0,,,68.0,39.0,7.7,6.0,0.0682,0.0,0.36071,"{'original': 7.7, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,13.0,1.0,1.0,8.0,11.0,3.0,2.0,2.0,2.0,,,2.0,7.0,4.0,2.0,,1.0,,,,2.0,,,,,,1.0,1.0,,,,,,
Harvey Barnes,,,harvey-barnes,H. Barnes,F,11,181,5075,M,,855647,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,881625600,"{'value': 35000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي بارنز', 'hi': 'हार्वे बार्न्स', 'bn': 'হার্ভে বার্নস'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'hi': 'एच. बार्न्स', 'bn': 'এইচ. বার্নস'}}",11.0,8.0,,2.0,2.0,10.0,2.0,,,22.0,18.0,8.5,7.0,0.5345,0.9535,0.543086,"{'original': 8.5, 'alternative': 8.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,6.0,1.0,,2.0,2.0,,1.0,,2.0,,,1.0,2.0,,2.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,
Callum Wilson,,,callum-wilson,C. Wilson,F,9,180,3183,M,,113956,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,699148800,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم ويلسون', 'hi': 'कैलम विल्सन', 'bn': 'ক্যালাম উইলসন'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'hi': 'सी. विल्सन', 'bn': 'সি. উইলসন'}}",4.0,3.0,1.0,2.0,2.0,2.0,1.0,,,22.0,14.0,7.2,5.0,0.9106,1.8332,0.00088519,"{'original': 7.2, 'alternative': 7.1}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,,1.0,4.0,1.0,3.0,,,,,,,
Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1640,M,,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",2.0,1.0,,1.0,1.0,1.0,1.0,,,12.0,3.0,6.5,1.0,0.0,0.0,7e-08,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3550,M,,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",5.0,5.0,,1.0,1.0,4.0,1.0,,,11.0,10.0,7.9,1.0,0.0,0.0,0.292935,"{'original': 7.9, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,4.0,,,,2.0,,2.0,2.0,1.0,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,
Elliot Anderson,,,elliot-anderson,E. Anderson,M,8,179,6933,M,,994546,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1036540800,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إليوت أندرسون', 'hi': 'इलियट एंडरसन', 'bn': 'এলিয়ট অ্যান্ডারসন'}, 'shortNameTranslation': {'ar': 'إ. أندرسون', 'hi': 'ई. एंडरसन', 'bn': 'ই. অ্যান্ডারসন'}}",2.0,1.0,,,1.0,1.0,,,,1.0,3.0,,1.0,0.0,0.0,0.00021809,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3025,M,,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4844,M,,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaal Lascelles,,,jamaal-lascelles,J. Lascelles,D,6,188,970,M,,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Targett,,,matt-targett,M. Targett,D,3,183,815,M,,368134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,811382400,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تارجيت', 'hi': 'मैट टार्गेट', 'bn': 'ম্যাট টার্গেট'}, 'shortNameTranslation': {'ar': 'م. تارجيت', 'hi': 'एम. टार्गेट', 'bn': 'এম. টার্গেট'}}",,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
