name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,wasFouled,fouls,sofascoreId,outfielderBlock,interceptionWon,wonTackle,unsuccessfulTouch,dispossessed,shotOffTarget,expectedGoals,keyPass,blockedScoringAttempt,goalAssist,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,goals,errorLeadToAGoal,expectedGoalsOnTarget,accurateCross,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle
Martin Dúbravka,martin-dubravka,M. Dúbravka,G,1,190,3025,M,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",28.0,26.0,6.0,4.0,24.0,24.0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,90.0,37.0,6.6,2.0,0.00020809,"{'original': 6.6, 'alternative': 6.3}",0,-0.5318,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,
Kieran Trippier,kieran-trippier,K. Trippier,D,2,174,8611,M,69256,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,653702400,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",73.0,62.0,8.0,3.0,42.0,47.0,23.0,33.0,2.0,7.0,,,,90.0,94.0,6.9,16.0,0.109666,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,7.0,1.0,1.0,7.0,3.0,4.0,,,2.0,,2.0,ktrippier2,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,3.0,,,,,
Fabian Schär,fabian-schar,F. Schär,D,5,186,3205,M,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",93.0,82.0,15.0,9.0,63.0,68.0,19.0,25.0,4.0,1.0,,,,90.0,107.0,7.5,15.0,0.0196248,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,2.0,4.0,3.0,1.0,1.0,,,1.0,,,1.0,,,2.0,1.0,,0.105,1.0,,,,,2.0,1.0,,0.2903,,,,,,
Sven Botman,sven-botman,S. Botman,D,4,193,3367,M,910046,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,947635200,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفين بوتمان', 'hi': 'स्वेन बोटमैन', 'bn': 'সোভেন বটম্যান'}, 'shortNameTranslation': {'ar': 'س. بوتمان', 'hi': 'एस. बोटमैन', 'bn': 'এস. বটম্যান'}}",113.0,104.0,13.0,8.0,85.0,90.0,19.0,23.0,6.0,4.0,,,,90.0,124.0,7.5,10.0,0.0563594,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,6.0,1.0,7.0,,,,1.0,,,,2.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0
Dan Burn,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",62.0,54.0,3.0,1.0,38.0,41.0,16.0,21.0,13.0,4.0,,,,90.0,88.0,7.2,8.0,0.0060323,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,4.0,3.0,7.0,,,,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1640,M,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",72.0,61.0,4.0,2.0,34.0,36.0,27.0,36.0,2.0,4.0,,,,90.0,87.0,7.1,13.0,0.052386,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,3.0,5.0,1.0,2.0,1.0,3.0,,,,,2.0,1.0,,1.0,,0.0254,1.0,,,,,1.0,,,0.1298,,,,,,
Bruno Guimarães,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",48.0,42.0,2.0,,15.0,16.0,27.0,32.0,,11.0,,,,90.0,68.0,8.5,13.0,0.0222006,"{'original': 8.5, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,,4.0,6.0,,1.0,1.0,2.0,3.0,1.0,BrunoGuimarães,1.0,,,4.0,3.0,,0.2956,,,,,,2.0,2.0,,0.6008,,,,,,
Lewis Miley,lewis-miley,L. Miley,M,67,188,3070,M,1400650,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146441600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",41.0,37.0,4.0,2.0,23.0,27.0,14.0,14.0,3.0,3.0,,,,81.0,52.0,6.5,6.0,0.00534081,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Lewis Miley,,,3.0,1.0,5.0,3.0,1.0,,,2.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
Miguel Almirón,miguel-almiron,M. Almirón,M,10,174,8455,M,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",25.0,22.0,,,16.0,17.0,6.0,8.0,,1.0,,,,60.0,34.0,6.4,8.0,0.00680757,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,2.0,1.0,1.0,1.0,,1.0,,,miguel_almiron,,,1.0,3.0,,,,,,,,,,,,,,,,,,
Callum Wilson,callum-wilson,C. Wilson,F,9,180,3183,M,113956,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,699148800,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم ويلسون', 'hi': 'कैलम विल्सन', 'bn': 'ক্যালাম উইলসন'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'hi': 'सी. विल्सन', 'bn': 'সি. উইলসন'}}",13.0,9.0,,,4.0,4.0,5.0,9.0,,,,,,90.0,32.0,6.2,16.0,0.00476249,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,8.0,4.0,,3.0,1.0,,2.0,1.0,,,,,6.0,4.0,,,,,,,,,,,,,,,,,
Anthony Gordon,gordon-anthony,A. Gordon,F,10,183,15531,M,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",36.0,31.0,3.0,2.0,11.0,13.0,21.0,27.0,1.0,7.0,,,,89.0,56.0,7.0,11.0,0.136225,"{'original': 7, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,1.0,,7.0,4.0,3.0,2.0,1.0,,3.0,1.0,AGordon,,,,1.0,1.0,1.0,0.0586,1.0,1.0,,,,,,,,1.0,,,,,
Harvey Barnes,harvey-barnes,H. Barnes,F,11,181,5075,M,855647,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,881625600,"{'value': 35000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي بارنز', 'hi': 'हार्वे बार्न्स', 'bn': 'হার্ভে বার্নস'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'hi': 'एच. बार्न्स', 'bn': 'এইচ. বার্নস'}}",12.0,9.0,2.0,,4.0,4.0,5.0,9.0,1.0,2.0,,,,30.0,18.0,6.2,7.0,0.00293857,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,3.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Valentino Livramento,valentino-livramento,V. Livramento,D,21,181,4844,M,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",8.0,7.0,,,1.0,2.0,6.0,6.0,1.0,,,,,9.0,12.0,6.6,2.0,0.00261939,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Emil Krafth,emil-krafth,E. Krafth,D,17,184,946,M,150396,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,775785600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميل كرافث', 'hi': 'एमिल क्राफ्ट', 'bn': 'এমিল ক্রাফট'}, 'shortNameTranslation': {'ar': 'إ. كرافث', 'hi': 'ई. क्राफ्ट', 'bn': 'ই. ক্রাফট'}}",,,,,,,,,,,,,,1.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,loris-karius,L. Karius,G,1,190,1695,M,174135,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,740707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوريس كاريوس', 'hi': 'लोरिस केरियस', 'bn': 'লরিস ক্যারিয়াস'}, 'shortNameTranslation': {'ar': 'ل. كاريوس', 'hi': 'एल. केरियस', 'bn': 'এল. কারিয়াস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Hall,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Lewis Hall,,,,,,,,,,,,,lewishall_10,,,,,,,,,,,,,,,,,,,,,,
Jamaal Lascelles,jamaal-lascelles,J. Lascelles,D,6,188,970,M,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,paul-dummett,P. Dummett,D,,183,150,M,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Ritchie,matt-ritchie,M. Ritchie,M,30,173,305,M,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Murphy,jacob-murphy,J. Murphy,F,23,176,3550,M,372336,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,793584000,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مورفي', 'hi': 'जैकब मर्फी', 'bn': 'জ্যাকব মারফি'}, 'shortNameTranslation': {'ar': 'ج. مورفي', 'hi': 'जे. मर्फी', 'bn': 'জে. মারফি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
