name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,possessionLostCtrl,onTargetScoringAttempt,totalClearance,outfielderBlock,interceptionWon,challengeLost,shotOffTarget,penaltyConceded,fouls,sofascoreId,goalAssist,accurateCross,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,keyPass,dispossessed,bigChanceMissed,hitWoodwork,firstName,lastName,goals,totalOffside,penaltyWon,punches,lastManTackle,errorLeadToAShot,errorLeadToAGoal
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",34.0,34.0,3.0,3.0,33.0,33.0,1.0,1.0,8.0,2.0,1.0,2.0,90.0,41.0,7.0,0.0,0.0,0.00020135,"{'original': 7, 'alternative': 6.7}",0,0.1127,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Milner,james-milner,J. Milner,M,20,175,3314,M,791,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,505180800,"{'value': 820000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ميلنر', 'hi': 'जेम्स मिलनर', 'bn': 'জেমস মিলনার'}, 'shortNameTranslation': {'ar': 'ج. ميلنر', 'hi': 'जे. मिलनर', 'bn': 'জে. মিলনার'}}",33.0,31.0,3.0,2.0,13.0,13.0,18.0,22.0,4.0,,,,79.0,53.0,7.1,0.0,0.0,0.0167394,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",74.0,72.0,2.0,1.0,54.0,55.0,18.0,19.0,3.0,,,,90.0,87.0,7.3,0.0159,0.2187,0.00365025,"{'original': 7.3, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,5.0,6.0,6.0,1.0,1.0,1.0,,3.0,1.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1872,M,115365,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,690681600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",118.0,110.0,6.0,1.0,66.0,67.0,44.0,51.0,6.0,,,,90.0,127.0,6.6,0.1182,0.0,0.586177,"{'original': 6.6, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,,2.0,1.0,1.0,1.0,2.0,,11.0,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14340,M,805465,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,885340800,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرفيس إستوبينيان', 'hi': 'परविस एस्टुपिनान', 'bn': 'পারভিস এস্তুপিনান'}, 'shortNameTranslation': {'ar': 'ب. إستوبينيان', 'hi': 'पी. एस्टुपिनान', 'bn': 'পি. এস্তুপিনান'}}",82.0,70.0,1.0,,23.0,27.0,50.0,62.0,6.0,,,,90.0,101.0,8.4,0.1049,0.1571,0.860694,"{'original': 8.4, 'alternative': 8.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,,17.0,2.0,,,,,,,2.0,pervisestupinan,1.0,3.0,1.0,1.0,2.0,1.0,6.0,,,,,,,,,,,,
Pascal Groß,pascal-gross,P. Groß,M,13,181,4485,M,48480,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,676944000,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باسكال غروس', 'hi': 'पास्कल ग्रोस', 'bn': 'প্যাসকেল গ্রোস'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'hi': 'पी. ग्रोस', 'bn': 'পি. গ্রোস'}}",73.0,66.0,6.0,4.0,32.0,33.0,35.0,46.0,3.0,,,,90.0,97.0,8.3,0.4963,0.5969,0.456669,"{'original': 8.3, 'alternative': 8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,,2.0,1.0,6.0,2.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,,2.0,,,pascalgross65,,1.0,1.0,1.0,1.0,,6.0,1.0,1.0,1.0,,,,,,,,,
Mahmoud Dahoud,mahmoud-dahoud,M. Dahoud,M,18,177,1888,M,341589,"{'alpha2': 'SY', 'alpha3': 'SYR', 'name': 'Syria', 'slug': 'syria'}",EUR,820454400,"{'value': 2200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمود داوود', 'hi': 'महमूद दाउद', 'bn': 'মাহমুদ দাহৌদ'}, 'shortNameTranslation': {'ar': 'م. داوود', 'hi': 'एम. दाउद', 'bn': 'এম. দাহৌদ'}}",45.0,40.0,4.0,3.0,23.0,23.0,18.0,23.0,9.0,,,,74.0,54.0,7.0,0.0395,0.0,0.104498,"{'original': 7, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,3.0,2.0,2.0,1.0,2.0,,7.0,,,,,,1.0,,3.0,,,1.0,,,,1.0,2.0,,,,,,,,,,,,
Solly March,solly-march,S. March,M,7,180,1260,M,301288,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,774662400,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سولي مارتش', 'hi': 'सोली मार्च', 'bn': 'সলি মার্চ'}, 'shortNameTranslation': {'ar': 'س. مارتش', 'hi': 'एस. मार्च', 'bn': 'এস. মার্চ'}}",31.0,23.0,2.0,1.0,8.0,9.0,15.0,24.0,4.0,,,,74.0,51.0,7.5,0.4038,0.8889,0.0185244,"{'original': 7.5, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,8.0,5.0,1.0,1.0,1.0,1.0,17.0,2.0,1.0,,,,,,1.0,,,,4.0,2.0,,1.0,2.0,4.0,,,,,1.0,1.0,,,,,
João Pedro,joao-pedro,J. Pedro,F,20,182,86665,M,975079,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1001462400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بيدرو', 'hi': 'जोआओ पेड्रो', 'bn': 'জন পেড্রো'}, 'shortNameTranslation': {'ar': 'ج. بيدرو', 'hi': 'जे. पेड्रो', 'bn': 'জে. পেড্রো'}}",29.0,23.0,3.0,2.0,3.0,3.0,20.0,26.0,5.0,,,,88.0,54.0,7.8,1.3499,1.1872,0.0329176,"{'original': 7.8, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,7.0,7.0,2.0,2.0,3.0,5.0,14.0,2.0,1.0,,,,1.0,,1.0,joaopedro,,,3.0,,,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,,,,
Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,21430,M,936849,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,864086400,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميتوما، كاورو', 'hi': 'मिटोमा, काओरू', 'bn': 'মিতোমা, কাওরু'}, 'shortNameTranslation': {'ar': 'ك. ميتوما', 'hi': 'के. काओरू', 'bn': 'কে. মিতোমা'}}",43.0,41.0,,,7.0,7.0,35.0,40.0,4.0,,,,90.0,58.0,8.1,0.0184,0.0,0.617281,"{'original': 8.1, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,1.0,1.0,6.0,1.0,,2.0,3.0,10.0,,,,,,1.0,,1.0,KaoruM,1.0,1.0,2.0,1.0,1.0,,5.0,,,,,,,,,,,,
