minute,value
1.0,4
2.0,38
3.0,42
4.0,59
5.0,34
6.0,24
7.0,16
8.0,44
9.0,38
10.0,29
11.0,73
12.0,54
13.0,39
14.0,31
15.0,75
16.0,51
17.0,35
18.0,74
19.0,46
20.0,70
21.0,43
22.0,37
23.0,59
24.0,72
25.0,54
26.0,39
27.0,65
28.0,90
29.0,70
30.0,29
31.0,24
32.0,73
33.0,39
34.0,29
35.0,25
36.0,70
37.0,46
38.0,40
39.0,21
40.0,20
41.0,64
42.0,86
43.0,100
44.0,78
45.0,43
45.5,47
46.0,10
47.0,13
48.0,14
49.0,15
50.0,15
51.0,15
52.0,48
53.0,51
54.0,32
55.0,42
56.0,36
57.0,62
58.0,45
59.0,62
60.0,77
61.0,53
62.0,32
63.0,33
64.0,57
65.0,34
66.0,21
67.0,7
68.0,7
69.0,4
70.0,6
71.0,7
72.0,8
73.0,39
74.0,78
75.0,70
76.0,44
77.0,45
78.0,33
79.0,13
80.0,14
81.0,-58
82.0,-45
83.0,-13
84.0,16
85.0,-13
86.0,11
87.0,18
88.0,50
89.0,25
90.0,17
90.5,60
