minute,value
1.0,3
2.0,5
3.0,3
4.0,5
5.0,6
6.0,7
7.0,7
8.0,7
9.0,7
10.0,32
11.0,21
12.0,42
13.0,8
14.0,7
15.0,10
16.0,28
17.0,7
18.0,9
19.0,5
20.0,-27
21.0,-3
22.0,13
23.0,33
24.0,38
25.0,32
26.0,26
27.0,-15
28.0,-6
29.0,-11
30.0,-11
31.0,12
32.0,-5
33.0,-15
34.0,-10
35.0,-8
36.0,-44
37.0,-22
38.0,-8
39.0,-12
40.0,-21
41.0,-7
42.0,6
43.0,5
44.0,8
45.0,17
45.5,-18
46.0,-8
47.0,24
48.0,18
49.0,44
50.0,23
51.0,-73
52.0,-32
53.0,-16
54.0,-8
55.0,8
56.0,29
57.0,23
58.0,31
59.0,36
60.0,27
61.0,-54
62.0,-22
63.0,-11
64.0,-4
65.0,29
66.0,-20
67.0,-14
68.0,49
69.0,27
70.0,14
71.0,9
72.0,12
73.0,5
74.0,48
75.0,36
76.0,27
77.0,13
78.0,12
79.0,27
80.0,39
81.0,27
82.0,31
83.0,21
84.0,7
85.0,7
86.0,9
87.0,9
88.0,10
89.0,11
90.0,62
90.5,28
