minute,value
1.0,5
2.0,10
3.0,19
4.0,21
5.0,-29
6.0,-19
7.0,-8
8.0,-1
9.0,33
10.0,16
11.0,10
12.0,6
13.0,14
14.0,32
15.0,37
16.0,19
17.0,11
18.0,10
19.0,9
20.0,17
21.0,-24
22.0,-26
23.0,-10
24.0,33
25.0,82
26.0,57
27.0,37
28.0,22
29.0,7
30.0,-3
31.0,10
32.0,5
33.0,7
34.0,19
35.0,6
36.0,-6
37.0,-14
38.0,-11
39.0,-10
40.0,-11
41.0,-9
42.0,18
43.0,9
44.0,2
45.0,-4
45.5,-7
46.0,9
47.0,-17
48.0,-4
49.0,-8
50.0,-36
51.0,-28
52.0,-12
53.0,47
54.0,33
55.0,30
56.0,37
57.0,22
58.0,40
59.0,23
60.0,9
61.0,99
62.0,59
63.0,31
64.0,18
65.0,34
66.0,17
67.0,7
68.0,-29
69.0,-12
70.0,32
71.0,-31
72.0,27
73.0,13
74.0,-10
75.0,-14
76.0,-6
77.0,30
78.0,15
79.0,10
80.0,7
81.0,-16
82.0,-10
83.0,-17
84.0,-34
85.0,-21
86.0,-17
87.0,-11
88.0,-11
89.0,-5
90.0,38
90.5,-5
