name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,aerialWon,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,goals,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,aerialLost,challengeLost,outfielderBlock,interceptionWon,totalTackle,wonTackle,sofascoreId,totalCross,accurateCross,dispossessed,unsuccessfulTouch,keyPass,totalOffside,blockedScoringAttempt,goalAssist,bigChanceCreated,shotOffTarget,hitWoodwork,firstName,lastName,savedShotsFromInsideTheBox,saves,punches,goalsPrevented
Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6495,M,786186,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,822614400,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هي تشان هوانغ', 'hi': 'ही-चान ह्वांग', 'bn': 'হি-চ্যান হোয়াং'}, 'shortNameTranslation': {'ar': 'ه. هوانغ', 'hi': 'एच. ह्वांग', 'bn': 'এইচ. হোয়াং'}}",20.0,14.0,,,5.0,5.0,16.0,,3.0,90.0,37.0,7.5,13.0,0.440013,"{'original': 7.5, 'alternative': 7.3}",3,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,,10.0,4.0,4.0,1.0,2.0,,3.0,2.0,0.2382,0.3363,4.0,,,,,,Hwangso,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,
Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,661,M,1013928,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1032307200,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو بوينو', 'hi': 'ह्यूगो ब्यूनो', 'bn': 'হুগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'hi': 'एच. ब्यूनो', 'bn': 'এইচ. বুয়েনো'}}",14.0,10.0,1.0,,8.0,12.0,4.0,,4.0,17.0,21.0,6.6,9.0,0.00041751,"{'original': 6.6, 'alternative': 6.7}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,1.0,2.0,1.0,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,
Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,24690,M,845273,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,898905600,"{'value': 17600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان ريسنير بلغارد', 'hi': 'जीन-रिकनर बेलेगार्डे', 'bn': 'জিন-রিকনার বেলেগার্ড'}, 'shortNameTranslation': {'ar': 'ج-ر. بيلغارد', 'hi': 'जे.आर. बेलेगार्डे', 'bn': 'জে.-আর. বেলগার্ড'}}",4.0,2.0,,,,,4.0,,1.0,10.0,11.0,7.0,2.0,0.200382,"{'original': 7, 'alternative': 6.9}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,2.0,3.0,,,,,2.0,1.0,,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Pedro Neto,pedro-neto,P. Neto,M,7,172,39950,M,879349,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,952560000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو نيتو', 'hi': 'पेड्रो नेटो', 'bn': 'পেড্রো নেটো'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'hi': 'पी. नेटो', 'bn': 'পি. নেটো'}}",6.0,4.0,1.0,,1.0,3.0,3.0,,1.0,10.0,11.0,6.2,5.0,0.00116974,"{'original': 6.2, 'alternative': 6.2}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,3.0,,2.0,,,,,,0.0706,,,,,,,,pedroneto_30,,,1.0,,,,,,,1.0,,,,,,,
Matt Doherty,matt-doherty,M. Doherty,D,2,182,1503,M,143047,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,695520000,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",9.0,8.0,,,6.0,6.0,4.0,,,14.0,15.0,6.5,5.0,0.00708883,"{'original': 6.5, 'alternative': 6.4}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183,1017,M,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",7.0,6.0,2.0,2.0,2.0,2.0,5.0,,2.0,14.0,9.0,6.9,1.0,0.00854143,"{'original': 6.9, 'alternative': 6.9}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,4.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188,263,M,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1209,M,846308,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,910569600,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سانتياغو بويينو', 'hi': 'सैंटियागो ब्यूनो', 'bn': 'সান্তিয়াগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'س. بويينو', 'hi': 'एस. ब्यूनो', 'bn': 'এস. বুয়েনো'}}",,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Hodge,hodge-joe,J. Hodge,M,10,172,268,M,988882,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1031961600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هودج، جو', 'hi': 'हॉज, जो', 'bn': 'হজ, জো'}, 'shortNameTranslation': {'ar': 'ج. هودج', 'hi': 'जे. हॉज', 'bn': 'জে. হজ'}}",,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saša Kalajdžić,sasa-kalajdzic,S. Kalajdžić,F,18,200,1151,M,870038,"{'alpha2': 'AT', 'alpha3': 'AUT', 'name': 'Austria', 'slug': 'austria'}",EUR,868233600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا كالادزيتش', 'hi': 'साशा कालाजदज़िक', 'bn': 'সাশা কালাজদজিচ'}, 'shortNameTranslation': {'ar': 'س. كالادزيتش', 'hi': 'एस. कालाजदज़िक', 'bn': 'এস. কালাজদজিচ'}}",,,,,,,,,,,,,,,,0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
