name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,duelLost,challengeLost,dispossessed,interceptionWon,totalTackle,wasFouled,fouls,sofascoreId,onTargetScoringAttempt,goals,unsuccessfulTouch,totalContest,wonContest,outfielderBlock,wonTackle,penaltyWon,keyPass,penaltyConceded,goalAssist,bigChanceCreated,blockedScoringAttempt,totalOffside,shotOffTarget,hitWoodwork,bigChanceMissed,penaltyMiss,errorLeadToAShot
Malo Gusto,gusto-malo,M. Gusto,D,27,179,18882,M,996958,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1053302400,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوستو، مالو', 'hi': 'गुस्टो, मालो', 'bn': 'গুস্টো, মালো'}, 'shortNameTranslation': {'ar': 'م. جوستو', 'hi': 'एम. गुस्टो', 'bn': 'এম. গুস্টো'}}",54.0,52.0,,,22.0,23.0,31.0,35.0,,3.0,2.0,4.0,,,,,,,,,83.0,73.0,7.2,5.0,0.0476,0.0,0.0527481,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,1.0,,1.0,1.0,,1.0,2.0,,,malogst,,,,1.0,1.0,1.0,2.0,,,,,,,,1.0,,,,
Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,120510,M,974505,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,979689600,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إنزو فرنانديز', 'hi': 'एन्ज़ो फर्नांडीज़', 'bn': 'এনজো ফার্নান্ডেজ'}, 'shortNameTranslation': {'ar': 'إ. فرنانديز', 'hi': 'ई. फर्नांडीज़', 'bn': 'ই. ফার্নান্ডেজ'}}",109.0,98.0,7.0,4.0,23.0,23.0,77.0,91.0,,3.0,,5.0,,,,,,,,,90.0,127.0,7.7,17.0,0.817,0.98,0.351643,"{'original': 7.7, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,2.0,1.0,3.0,1.0,,,1.0,1.0,,Enzo8,1.0,,1.0,2.0,1.0,,1.0,,4.0,,,,,,1.0,,1.0,1.0,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",58.0,53.0,1.0,1.0,16.0,17.0,37.0,41.0,1.0,5.0,2.0,5.0,,,,,,,,,75.0,71.0,7.2,6.0,0.1255,0.0457,0.0275504,"{'original': 7.2, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,2.0,1.0,,2.0,3.0,,1.0,conorgallagher92,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,
Ben Chilwell,ben-chilwell,B. Chilwell,D,3,181,11476,M,802695,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851126400,"{'value': 11100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن تشيلويل', 'hi': 'बेन चिलवेल', 'bn': 'বেন চিলওয়েল'}, 'shortNameTranslation': {'ar': 'ب. تشيلويل', 'hi': 'बी. चिलवेल', 'bn': 'বি. চিলওয়েল'}}",33.0,28.0,,,4.0,5.0,26.0,33.0,2.0,4.0,1.0,4.0,,,,,,,,,61.0,49.0,7.1,11.0,0.2302,0.0,0.493939,"{'original': 7.1, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,5.0,2.0,,3.0,,1.0,,1.0,,1.0,Chilly,,,1.0,2.0,1.0,,1.0,,2.0,,,,1.0,,1.0,,,,
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",47.0,35.0,,,3.0,4.0,34.0,49.0,,12.0,,7.0,,,,,,,,,90.0,78.0,8.1,26.0,0.0558,0.0,0.227337,"{'original': 8.1, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,2.0,1.0,9.0,1.0,5.0,,1.0,5.0,1.0,Sterling7,,,3.0,7.0,6.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,
Carney Chukwuemeka,carney-chukwuemeka,C. Chukwuemeka,M,17,185,10655,M,994556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1066608000,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارني تشوكويميكا', 'hi': 'कार्नी चुक्वुमेका', 'bn': 'কার্নি চুকউয়েমেকা'}, 'shortNameTranslation': {'ar': 'ك. تشوكويميكا', 'hi': 'सी. चुक्वुमेका', 'bn': 'সি. চুকউয়েমেকা'}}",19.0,16.0,,,5.0,5.0,11.0,15.0,,1.0,,1.0,,,,,,,,,45.0,26.0,7.4,5.0,0.1079,0.2264,0.0303058,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,2.0,4.0,,,,,,1.0,chukwuemeka10,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",31.0,21.0,,,6.0,6.0,15.0,25.0,2.0,7.0,1.0,3.0,,,,,,,,,90.0,46.0,7.2,13.0,0.7857,0.0,0.0509746,"{'original': 7.2, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,Nicolas Jackson,,,,2.0,4.0,,1.0,,3.0,1.0,,NJackson11,,,1.0,2.0,1.0,,3.0,,1.0,,,,,1.0,2.0,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",17.0,13.0,,,3.0,3.0,13.0,21.0,,2.0,,2.0,,,,,,,,,45.0,29.0,7.2,10.0,0.0784,0.0,0.155774,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,7.0,3.0,,,,,,1.0,1.0,,MMudryk10,,,1.0,,,,1.0,,2.0,,,,,,1.0,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",37.0,31.0,,,10.0,12.0,21.0,25.0,2.0,6.0,,4.0,,,,,,,,,29.0,49.0,6.4,8.0,0.0232,0.0,0.0339967,"{'original': 6.4, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,4.0,,,,2.0,2.0,2.0,MoisesCaicedo55,,,1.0,2.0,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",9.0,9.0,,,,,9.0,12.0,,,,,,,,,,,,,15.0,15.0,6.8,5.0,0.0524,0.2852,0.0160323,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,1.0,1.0,,,,,,,nonzinoo10,1.0,,2.0,,,,,,,,,,,,,,,,
Mason Burstow,mason-burstow,M. Burstow,F,48,187,659,M,1138421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1059955200,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون بيرستو', 'hi': 'मेसन बर्स्टो', 'bn': 'ম্যাসন বার্স্টো'}, 'shortNameTranslation': {'ar': 'م. بيرستو', 'hi': 'एम. बर्स्टो', 'bn': 'এম. বার্স্টো'}}",4.0,3.0,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,15.0,5.0,6.5,1.0,0.0,0.0,0.00187029,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Mason Burstow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3384,M,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,maatsen_,,,,,,,,,,,,,,,,,,,
Bashir Humphreys,bashir-humphreys,B. Humphreys,D,12,186,1207,M,996910,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1047686400,"{'value': 13100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باشير همفريز', 'hi': 'बशीर हम्फ्रीज़', 'bn': 'বশির হামফ্রেইস'}, 'shortNameTranslation': {'ar': 'ب. همفريز', 'hi': 'बी. हम्फ्रीज़', 'bn': 'বি. হামফ্রেইস'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,cucurella3,,,,,,,,,,,,,,,,,,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,l.ugochukwu8,,,,,,,,,,,,,,,,,,,
