round,home_team,home_url,away_team,away_url,result,match_url,home_league,away_league
First Round,Mezőmegyer SE,https://www.transfermarkt.com/mezomegyer-se/startseite/verein/134535/saison_id/2025,Szajol,https://www.transfermarkt.com/szajol-klk/startseite/verein/59160/saison_id/2025,2:4AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728330,Unknown,Unknown
First Round,Rákospalota,https://www.transfermarkt.com/rakospalotai-eac/startseite/verein/13414/saison_id/2025,FC Dabas,https://www.transfermarkt.com/fc-dabas/startseite/verein/29347/saison_id/2025,3:2AET,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728329,Unknown,Unknown
First Round,Ráckeve,https://www.transfermarkt.com/rackeve-vafc/startseite/verein/84653/saison_id/2025,ESMTK,https://www.transfermarkt.com/erzsebeti-smtk/startseite/verein/22014/saison_id/2025,0:7,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728328,Unknown,Unknown
First Round,OMTK-ULE 1913,https://www.transfermarkt.com/omtk-ule-1913/startseite/verein/134536/saison_id/2025,Dunaharaszti,https://www.transfermarkt.com/dunaharaszti-mtk/startseite/verein/27752/saison_id/2025,3:7,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728327,Unknown,Unknown
First Round,VS Dunakeszi,https://www.transfermarkt.com/vs-dunakeszi/startseite/verein/78121/saison_id/2025,Pilisi LK,https://www.transfermarkt.com/pilisi-lk/startseite/verein/41719/saison_id/2025,0:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728326,Unknown,Unknown
First Round,Salgótarján,https://www.transfermarkt.com/salgotarjani-btc/startseite/verein/7114/saison_id/2025,Andornaktálya,https://www.transfermarkt.com/andornaktalya-se/startseite/verein/73964/saison_id/2025,3:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728324,Unknown,Unknown
First Round,Hajdúsámson,https://www.transfermarkt.com/hajdusamsoni-ttisze/startseite/verein/134537/saison_id/2025,Cigánd,https://www.transfermarkt.com/cigand-se/startseite/verein/34570/saison_id/2025,0:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728317,Unknown,Unknown
First Round,Mezőkeresztes,https://www.transfermarkt.com/mezokeresztes-vse/startseite/verein/59404/saison_id/2025,Mátészalka,https://www.transfermarkt.com/mateszalkai-mtk/startseite/verein/58844/saison_id/2025,0:4,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728319,Unknown,Unknown
First Round,Tállya KSE,https://www.transfermarkt.com/tallya-kse/startseite/verein/33462/saison_id/2025,V.namény,https://www.transfermarkt.com/vasarosnameny-se/startseite/verein/93273/saison_id/2025,1:3,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728320,Unknown,Unknown
First Round,Nyírmeggyes,https://www.transfermarkt.com/nyirmeggyes-sk/startseite/verein/75173/saison_id/2025,Csomádi KSE,https://www.transfermarkt.com/csomadi-kse/startseite/verein/30634/saison_id/2025,3:5,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728321,Unknown,Unknown
First Round,Tarpa,https://www.transfermarkt.com/tarpa-sc/startseite/verein/49630/saison_id/2025,FC Tiszaújváros,https://www.transfermarkt.com/fc-tiszaujvaros/startseite/verein/29923/saison_id/2025,3:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/4728322,Unknown,Unknown
