team_id,team_name,leagues
25580,FC Ajka,MOL Magyar Kupa; NB II
25397,Kisvárda FC,Fizz Liga; MOL Magyar Kupa
229214,STC Salgótarján,MOL Magyar Kupa
267058,Tiszakécskei LC,MOL Magyar Kupa; NB II; NB III - Promotion Playoffs
330275,Kelen SC,MOL Magyar Kupa; BLSZ I. osztály
368383,Tarpa SC,MOL Magyar Kupa; NB III Kelet; Területi I. Osztályozó
170384,Iváncsa KSE,MOL Magyar Kupa; NB III Nyugat
8059,Kazincbarcikai SC,Fizz Liga; MOL Magyar Kupa
266597,Szarvaskend SE,MOL Magyar Kupa; Vas Megye I. osztály
1925,Ferencváros TC,UEFA Champions League; Fizz Liga; MOL Magyar Kupa; UEFA Europa League
1927,Békéscsaba 1912 Előre,MOL Magyar Kupa; NB II
5124,Nyiregyháza Spartacus,Fizz Liga; MOL Magyar Kupa
5126,Rákospalotai EAC,MOL Magyar Kupa; BLSZ I. osztály
250725,Karcagi SC,MOL Magyar Kupa; NB II; NB III - Promotion Playoffs
8057,Gyirmót Győr,MOL Magyar Kupa; NB III Nyugat
44141,Aqvital FC Csákvár,MOL Magyar Kupa; NB II
228089,Érdi VSE,MOL Magyar Kupa; NB III Nyugat
1923,ETO FC Győr,Fizz Liga; MOL Magyar Kupa; UEFA Conference League
25620,Sárvár FC,MOL Magyar Kupa; Vas Megye I. osztály
119766,Pilisi Lk,MOL Magyar Kupa; Pest Vármegye I. osztály; Pest Vármegyei Kupa
350940,Majosi SE,MOL Magyar Kupa; NB III Nyugat
44205,Gödöllői SK,MOL Magyar Kupa; NB III Kelet; Területi I. Osztályozó
1926,Videoton FC Fehérvár,MOL Magyar Kupa; NB II
25395,Szentlőrinc SE,MOL Magyar Kupa; NB II
1928,BFC Siófok,MOL Magyar Kupa; NB III Nyugat
1915,MTK Budapest,Fizz Liga; MOL Magyar Kupa
379727,Gyulai Termál FC,MOL Magyar Kupa; NB III Kelet
25608,Mezőkövesd Zsóry,MOL Magyar Kupa; NB II
23956,Kecskemét TE,MOL Magyar Kupa; NB II
1924,Újpest,Fizz Liga; MOL Magyar Kupa
291836,Tiszafüred VSE,MOL Magyar Kupa; NB III Kelet
25614,Putnok FC,MOL Magyar Kupa; NB III Kelet
25399,VSC Veszprém,MOL Magyar Kupa; NB III Nyugat
1921,Debreceni VSC,Fizz Liga; MOL Magyar Kupa
235502,Móri SE,MOL Magyar Kupa; Fejér Megyei I. osztály
1916,Budapest Honvéd FC,MOL Magyar Kupa; NB II
267146,FC Nagykanizsa,MOL Magyar Kupa; NB III Nyugat; NB III - Promotion Playoffs
25393,Kozármisleny FC,MOL Magyar Kupa; NB II
25627,Szolnoki MÁV,MOL Magyar Kupa; Jász-Nagykun-Szolnok Vármegyei I.
25595,ESMTK,MOL Magyar Kupa; NB III Kelet
489402,Martfűi LSE,MOL Magyar Kupa; NB III Kelet
378921,Dombóvár FC,MOL Magyar Kupa; NB III Nyugat; Területi I. Osztályozó
330278,Szajol KLK,MOL Magyar Kupa; Jász-Nagykun-Szolnok Vármegyei I.
6059,Paksi FC,Fizz Liga; MOL Magyar Kupa; UEFA Europa League; UEFA Conference League
235504,Hódmezővásárhelyi FC,MOL Magyar Kupa; NB III Kelet
5121,Diósgyőri VTK,Fizz Liga; MOL Magyar Kupa
102007,Dorogi FC,MOL Magyar Kupa; NB III Nyugat
25624,Szeged-Csanád Grosics Akadémia,MOL Magyar Kupa; NB II
448208,Vásárosnamény SE,MOL Magyar Kupa; Nyír-Wetland Megyei I. osztály
1922,Zalaegerszegi TE,Fizz Liga; MOL Magyar Kupa
44142,Eger SE,MOL Magyar Kupa; NB III Kelet
37285,Budafoki MTE,MOL Magyar Kupa; NB II
1919,Vasas,MOL Magyar Kupa; NB II
25596,Puskás Akadémia,Fizz Liga; MOL Magyar Kupa; UEFA Conference League
449095,Mezőörs KSE,MOL Magyar Kupa; Gy-M-S Vármegyei I. osztály; Keglovich László Vármegyei Kupa
235508,Komárom VSE,MOL Magyar Kupa; NB III Nyugat
5125,Pécsi MFC,MOL Magyar Kupa; NB III Nyugat
318692,Debreceni EAC,MOL Magyar Kupa; NB III Kelet
490258,Füzesabonyi SC,MOL Magyar Kupa; NB III Kelet
298854,BVSC-Zugló,MOL Magyar Kupa; NB II
298840,PTE-PEAC,MOL Magyar Kupa; NB III Nyugat
207185,III. Kerületi TVE,MOL Magyar Kupa; NB III Kelet
1930,FC Tatabánya,MOL Magyar Kupa; NB III Nyugat
25621,Soroksár SC,MOL Magyar Kupa; NB II
25580,FC Ajka,MOL Magyar Kupa; NB II
25397,Kisvárda FC,Fizz Liga; MOL Magyar Kupa
229214,STC Salgótarján,MOL Magyar Kupa
267058,Tiszakécskei LC,MOL Magyar Kupa; NB II; NB III - Promotion Playoffs
330275,Kelen SC,MOL Magyar Kupa; BLSZ I. osztály
368383,Tarpa SC,MOL Magyar Kupa; NB III Kelet; Területi I. Osztályozó
170384,Iváncsa KSE,MOL Magyar Kupa; NB III Nyugat
8059,Kazincbarcikai SC,Fizz Liga; MOL Magyar Kupa
266597,Szarvaskend SE,MOL Magyar Kupa; Vas Megye I. osztály
1925,Ferencváros TC,UEFA Champions League; Fizz Liga; MOL Magyar Kupa; UEFA Europa League
1927,Békéscsaba 1912 Előre,MOL Magyar Kupa; NB II
5124,Nyiregyháza Spartacus,Fizz Liga; MOL Magyar Kupa
5126,Rákospalotai EAC,MOL Magyar Kupa; BLSZ I. osztály
250725,Karcagi SC,MOL Magyar Kupa; NB II; NB III - Promotion Playoffs
8057,Gyirmót Győr,MOL Magyar Kupa; NB III Nyugat
44141,Aqvital FC Csákvár,MOL Magyar Kupa; NB II
228089,Érdi VSE,MOL Magyar Kupa; NB III Nyugat
1923,ETO FC Győr,Fizz Liga; MOL Magyar Kupa; UEFA Conference League
25620,Sárvár FC,MOL Magyar Kupa; Vas Megye I. osztály
119766,Pilisi Lk,MOL Magyar Kupa; Pest Vármegye I. osztály; Pest Vármegyei Kupa
350940,Majosi SE,MOL Magyar Kupa; NB III Nyugat
44205,Gödöllői SK,MOL Magyar Kupa; NB III Kelet; Területi I. Osztályozó
1926,Videoton FC Fehérvár,MOL Magyar Kupa; NB II
25395,Szentlőrinc SE,MOL Magyar Kupa; NB II
1928,BFC Siófok,MOL Magyar Kupa; NB III Nyugat
1915,MTK Budapest,Fizz Liga; MOL Magyar Kupa
379727,Gyulai Termál FC,MOL Magyar Kupa; NB III Kelet
25608,Mezőkövesd Zsóry,MOL Magyar Kupa; NB II
23956,Kecskemét TE,MOL Magyar Kupa; NB II
1924,Újpest,Fizz Liga; MOL Magyar Kupa
291836,Tiszafüred VSE,MOL Magyar Kupa; NB III Kelet
25614,Putnok FC,MOL Magyar Kupa; NB III Kelet
25399,VSC Veszprém,MOL Magyar Kupa; NB III Nyugat
1921,Debreceni VSC,Fizz Liga; MOL Magyar Kupa
235502,Móri SE,MOL Magyar Kupa; Fejér Megyei I. osztály
1916,Budapest Honvéd FC,MOL Magyar Kupa; NB II
267146,FC Nagykanizsa,MOL Magyar Kupa; NB III Nyugat; NB III - Promotion Playoffs
25393,Kozármisleny FC,MOL Magyar Kupa; NB II
25627,Szolnoki MÁV,MOL Magyar Kupa; Jász-Nagykun-Szolnok Vármegyei I.
25595,ESMTK,MOL Magyar Kupa; NB III Kelet
489402,Martfűi LSE,MOL Magyar Kupa; NB III Kelet
378921,Dombóvár FC,MOL Magyar Kupa; NB III Nyugat; Területi I. Osztályozó
330278,Szajol KLK,MOL Magyar Kupa; Jász-Nagykun-Szolnok Vármegyei I.
6059,Paksi FC,Fizz Liga; MOL Magyar Kupa; UEFA Europa League; UEFA Conference League
235504,Hódmezővásárhelyi FC,MOL Magyar Kupa; NB III Kelet
5121,Diósgyőri VTK,Fizz Liga; MOL Magyar Kupa
