name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,accurateCross,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,outfielderBlock,wasFouled,expectedGoals,expectedGoalsOnTarget,blockedScoringAttempt,clearanceOffLine,fouls,firstName,lastName,goalAssist,bigChanceCreated,totalOffside,goals,crossNotClaimed,punches
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",44.0,35.0,23.0,14.0,24.0,26.0,11.0,18.0,1.0,11.0,2.0,2.0,2.0,1.0,1.0,90.0,54.0,7.2,10.0,0.0255517,"{'original': 7.2, 'alternative': 6.7}",0,-0.5541,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Godfrey,ben-godfrey,B. Godfrey,D,22,183,591,M,,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",41.0,28.0,5.0,2.0,7.0,10.0,21.0,33.0,3.0,4.0,,,,,,90.0,86.0,6.9,24.0,0.0310435,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,4.0,11.0,11.0,1.0,2.0,4.0,1.0,1.0,6.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",75.0,62.0,19.0,13.0,34.0,37.0,29.0,39.0,5.0,14.0,,,,,,90.0,99.0,8.3,14.0,0.0379262,"{'original': 8.3, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,4.0,6.0,4.0,11.0,,,1.0,1.0,5.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,2.0,0.3767,0.0946,,,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",62.0,55.0,2.0,2.0,40.0,42.0,15.0,20.0,,2.0,,,,,,90.0,72.0,7.3,8.0,0.0133227,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,6.0,2.0,8.0,,,,,4.0,2.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,mikola_16,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",60.0,46.0,6.0,1.0,12.0,15.0,37.0,50.0,1.0,5.0,,,,,,90.0,77.0,7.2,17.0,0.183938,"{'original': 7.2, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,5.0,2.0,6.0,1.0,,,,1.0,,,1.0,3.0,3.0,,,,,1.0,0.0388,,1.0,,,,,,,,,,
Ashley Young,ashley-young,A. Young,D,15,180,1765,M,,10589,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,489715200,"{'value': 440000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آشلي يونغ', 'hi': 'एश्ले यंग', 'bn': 'অ্যাশলে ইয়াং'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'hi': 'एक यंग', 'bn': 'এ. ইয়াং'}}",16.0,12.0,2.0,,3.0,4.0,9.0,13.0,1.0,2.0,,,,,,66.0,34.0,7.2,10.0,0.00383707,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,1.0,7.0,5.0,,3.0,,,1.0,2.0,1.0,2.0,,,,1.0,,1.0,2.0,0.0689,,,1.0,4.0,,,,,,,,
Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,17031,M,iganagueye,106337,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,622771200,"{'value': 970000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدريسا غاي', 'hi': 'इद्रिसा गुये', 'bn': 'ইদ্রিসা গুইয়ে'}, 'shortNameTranslation': {'ar': 'إ. غاي', 'hi': 'आई. गुये', 'bn': 'আই. গুইয়ে'}}",35.0,30.0,3.0,1.0,16.0,18.0,14.0,18.0,,5.0,,,,,,66.0,53.0,7.2,8.0,0.0119609,"{'original': 7.2, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,3.0,7.0,1.0,,1.0,1.0,1.0,5.0,4.0,2.0,,,,1.0,,,,0.0487,,2.0,,2.0,,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",57.0,53.0,2.0,2.0,23.0,24.0,31.0,40.0,1.0,4.0,,,,,,90.0,80.0,7.6,12.0,0.0597804,"{'original': 7.6, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,,4.0,3.0,,,3.0,1.0,3.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,0.2015,0.1541,,,1.0,,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",41.0,36.0,2.0,1.0,8.0,8.0,33.0,43.0,,2.0,,,,,,90.0,58.0,8.1,14.0,0.579169,"{'original': 8.1, 'alternative': 8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,2.0,,4.0,2.0,,2.0,,,,1.0,,2.0,5.0,5.0,,,,,1.0,,,,,,Dwight,McNeil,1.0,3.0,,,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",24.0,16.0,1.0,1.0,3.0,4.0,13.0,20.0,1.0,5.0,,,,,,72.0,34.0,6.6,11.0,0.00738724,"{'original': 6.6, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,,1.0,1.0,,,,3.0,,,1.0,1.0,1.0,,,0.6712,0.1153,1.0,,1.0,,,,,,,,
