name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,duelLost,totalClearance,ballRecovery,penaltyConceded,fouls,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelWon,interceptionWon,totalTackle,unsuccessfulTouch,keyPass,challengeLost,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,lastManTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotOffTarget,dispossessed,totalContest,wonContest,bigChanceCreated,wasFouled,goals,accurateCross,hitWoodwork,errorLeadToAShot,totalOffside,errorLeadToAGoal,penaltyWon
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",43.0,27.0,21.0,5.0,23.0,24.0,4.0,19.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,90.0,55.0,7.5,16.0,0.0136387,"{'original': 7.5, 'alternative': 7.2}",0,1.2175,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",25.0,19.0,2.0,,9.0,11.0,10.0,15.0,1.0,2.0,6.0,3.0,,1.0,,,,,,90.0,47.0,6.8,10.0,0.0190325,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",61.0,43.0,5.0,1.0,30.0,38.0,13.0,23.0,,3.0,2.0,4.0,,1.0,,,,,,90.0,76.0,7.3,19.0,0.0398427,"{'original': 7.3, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,6.0,,3.0,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,3.0,0.103,0.0916,,,,,,,,,,,,,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",43.0,34.0,6.0,1.0,24.0,25.0,10.0,18.0,,1.0,5.0,4.0,,1.0,,,,,,90.0,56.0,7.0,10.0,0.00795804,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,5.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",23.0,19.0,,,15.0,15.0,4.0,9.0,1.0,1.0,3.0,8.0,,,,,,,,90.0,39.0,6.6,7.0,0.00373008,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,3.0,,,,,,,,,,,,0.0248,,1.0,,,,,,,,,,,,
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,180,54282,M,KobbieM,1142175,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113868800,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'hi': 'कोबी मैनू', 'bn': 'কোবি মাইনু'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'hi': 'के. मैनू', 'bn': 'কে. মাইনু'}}",29.0,27.0,,,12.0,13.0,15.0,16.0,,7.0,,4.0,,,,,,,,65.0,41.0,6.5,9.0,0.013579,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0461,,1.0,4.0,4.0,2.0,,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",45.0,38.0,2.0,1.0,15.0,17.0,23.0,30.0,1.0,3.0,2.0,6.0,,,,,,,,81.0,60.0,7.5,13.0,0.10812,"{'original': 7.5, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,1.0,2.0,3.0,4.0,1.0,,,,,,1.0,0.0816,,1.0,1.0,,,1.0,1.0,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",35.0,31.0,,,7.0,7.0,24.0,28.0,2.0,5.0,,7.0,,2.0,,,,,,90.0,65.0,8.1,8.0,0.157775,"{'original': 8.1, 'alternative': 7.9}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,10.0,3.0,4.0,3.0,1.0,1.0,3.0,6.0,1.0,,,3.0,1.5175,1.9141,1.0,,2.0,1.0,,4.0,1.0,,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",62.0,47.0,12.0,9.0,9.0,15.0,41.0,55.0,2.0,4.0,2.0,5.0,,1.0,,,,,,90.0,88.0,9.3,22.0,1.11851,"{'original': 9.3, 'alternative': 9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,8.0,,1.0,2.0,,1.0,9.0,,1.0,1.0,1.0,,,,0.1472,0.0277,1.0,1.0,1.0,1.0,4.0,,,3.0,1.0,1.0,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",19.0,16.0,,,3.0,3.0,13.0,17.0,,5.0,,2.0,,,,,,,,90.0,43.0,7.2,13.0,0.230245,"{'original': 7.2, 'alternative': 6.6}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,,,5.0,3.0,1.0,1.0,1.0,2.0,,,,0.5432,0.0597,3.0,2.0,3.0,1.0,1.0,2.0,,,,,,,
