name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,penaltyFaced,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelWon,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,fouls,keyPass,aerialLost,duelLost,challengeLost,lastManTackle,wasFouled,goalAssist,firstName,lastName,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,hitWoodwork,outfielderBlock,expectedGoals,expectedGoalsOnTarget,aerialWon,totalContest,wonContest,totalOffside,dispossessed,blockedScoringAttempt,goals,goodHighClaim,savedShotsFromInsideTheBox,saves,errorLeadToAGoal
Neto,neto,Neto,G,22,190,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",35.0,15.0,27.0,7.0,10.0,11.0,5.0,24.0,1.0,7.0,1.0,1.0,90.0,38.0,6.2,20.0,0.00365145,"{'original': 6.2, 'alternative': 6}",0,-0.2808,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",20.0,12.0,6.0,1.0,6.0,10.0,8.0,12.0,2.0,4.0,,,70.0,44.0,6.7,12.0,0.129948,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",43.0,34.0,7.0,3.0,24.0,28.0,10.0,15.0,4.0,8.0,,,90.0,56.0,6.7,10.0,0.00504844,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,,1.0,3.0,1.0,1.0,,,,3.0,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",45.0,34.0,13.0,7.0,17.0,17.0,18.0,29.0,3.0,8.0,,,90.0,59.0,7.6,13.0,0.0382565,"{'original': 7.6, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,,3.0,3.0,3.0,2.0,,3.0,2.0,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,24997,M,miloskerkez,1097425,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,1068163200,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميلوش كيركيز', 'hi': 'मिलोस केर्केज़', 'bn': 'মিলোস কেরকেজ'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'hi': 'एम. केर्केज़', 'bn': 'এম. কেরকেজ'}}",27.0,23.0,1.0,1.0,6.0,7.0,18.0,24.0,2.0,8.0,,,90.0,46.0,7.4,10.0,0.102227,"{'original': 7.4, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,2.0,,Milos,Kerkez,2.0,3.0,1.0,1.0,1.0,0.6349,0.1644,,,,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",49.0,36.0,7.0,2.0,16.0,19.0,20.0,36.0,2.0,4.0,,,90.0,63.0,6.9,20.0,0.0429115,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,,4.0,,1.0,2.0,1.0,1.0,,2.0,3.0,2.0,6.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",39.0,34.0,4.0,3.0,14.0,16.0,20.0,26.0,2.0,9.0,,,90.0,60.0,7.9,10.0,0.19668,"{'original': 7.9, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,9.0,,1.0,3.0,1.0,1.0,,1.0,2.0,,2.0,1.0,,2.0,,,,,1.0,1.0,,1.0,0.1343,0.147,2.0,3.0,2.0,1.0,,,,,,,
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177,32038,M,d.ouattara15,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",25.0,16.0,2.0,,3.0,6.0,13.0,20.0,,3.0,,,70.0,35.0,6.9,10.0,0.0174323,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,7.0,,1.0,1.0,,,,1.0,1.0,2.0,3.0,,,2.0,,Dango Ouattara,,,1.0,,,,0.0602,,3.0,1.0,1.0,,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,justinkluivert,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",21.0,17.0,,,8.0,9.0,10.0,14.0,,7.0,,,76.0,39.0,6.9,11.0,0.113077,"{'original': 6.9, 'alternative': 6.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,3.0,,1.0,,,2.0,,3.0,,,7.0,1.0,,,,,,1.0,,2.0,,,0.3731,0.2699,1.0,4.0,2.0,,1.0,3.0,1.0,,,,
Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176,6517,M,Sinisterra29,836070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,929577600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",12.0,10.0,,,5.0,6.0,5.0,6.0,,1.0,,,39.0,16.0,6.7,4.0,0.0701447,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,,,,,,2.0,,2.0,,,,,,,,1.0,,,,0.0276,,,2.0,1.0,,1.0,,,,,,
