period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,70.0,30.0,,,70%,30%,1,ballPossession
ALL,Match overview,Expected goals,2.12,0.66,,,2.12,0.66,1,expectedGoals
ALL,Match overview,Big chances,3.0,1.0,,,3,1,1,bigChanceCreated
ALL,Match overview,Total shots,28.0,7.0,,,28,7,1,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,4.0,8.0,,,4,8,2,goalkeeperSaves
ALL,Match overview,Corner kicks,15.0,2.0,,,15,2,1,cornerKicks
ALL,Match overview,Fouls,13.0,14.0,,,13,14,2,fouls
ALL,Match overview,Passes,620.0,269.0,,,620,269,1,passes
ALL,Match overview,Tackles,17.0,22.0,,,17,22,2,totalTackle
ALL,Match overview,Free kicks,12.0,11.0,,,12,11,1,freeKicks
ALL,Match overview,Yellow cards,6.0,7.0,,,6,7,2,yellowCards
ALL,Match overview,Red cards,0.0,1.0,,,0,1,2,redCards
ALL,Shots,Total shots,28.0,7.0,,,28,7,1,totalShotsOnGoal
ALL,Shots,Shots on target,10.0,5.0,,,10,5,1,shotsOnGoal
ALL,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
ALL,Shots,Shots off target,9.0,1.0,,,9,1,1,shotsOffGoal
ALL,Shots,Blocked shots,9.0,1.0,,,9,1,1,blockedScoringAttempt
ALL,Shots,Shots inside box,19.0,6.0,,,19,6,1,totalShotsInsideBox
ALL,Shots,Shots outside box,9.0,1.0,,,9,1,1,totalShotsOutsideBox
ALL,Attack,Big chances scored,1.0,0.0,,,1,0,1,bigChanceScored
ALL,Attack,Big chances missed,2.0,1.0,,,2,1,1,bigChanceMissed
ALL,Attack,Fouled in final third,4.0,1.0,,,4,1,1,fouledFinalThird
ALL,Attack,Offsides,2.0,3.0,,,2,3,2,offsides
ALL,Passes,Accurate passes,545.0,185.0,,,545,185,1,accuratePasses
ALL,Passes,Throw-ins,23.0,11.0,,,23,11,1,throwIns
ALL,Passes,Final third entries,72.0,48.0,,,72,48,1,finalThirdEntries
ALL,Passes,Long balls,16.0,27.0,33.0,60.0,16/33 (48%),27/60 (45%),1,accurateLongBalls
ALL,Passes,Crosses,7.0,2.0,32.0,6.0,7/32 (22%),2/6 (33%),2,accurateCross
ALL,Duels,Duels,50.0,50.0,,,50%,50%,3,duelWonPercent
ALL,Duels,Dispossessed,10.0,12.0,,,10,12,2,dispossessed
ALL,Duels,Ground duels,42.0,37.0,79.0,79.0,42/79 (53%),37/79 (47%),1,groundDuelsPercentage
ALL,Duels,Aerial duels,16.0,22.0,38.0,38.0,16/38 (42%),22/38 (58%),2,aerialDuelsPercentage
ALL,Duels,Dribbles,14.0,5.0,26.0,10.0,14/26 (54%),5/10 (50%),1,dribblesPercentage
ALL,Defending,Tackles won,7.0,10.0,17.0,22.0,41%,45%,2,wonTacklePercent
ALL,Defending,Total tackles,17.0,22.0,,,17,22,2,totalTackle
ALL,Defending,Interceptions,6.0,10.0,,,6,10,2,interceptionWon
ALL,Defending,Recoveries,65.0,58.0,,,65,58,1,ballRecovery
ALL,Defending,Clearances,5.0,34.0,,,5,34,2,totalClearance
ALL,Goalkeeping,Total saves,4.0,8.0,,,4,8,2,goalkeeperSaves
ALL,Goalkeeping,Goals prevented,0.4123,-0.0247,,,0.41,-0.02,1,goalsPrevented
ALL,Goalkeeping,Goal kicks,1.0,13.0,,,1,13,2,goalKicks
1ST,Match overview,Ball possession,68.0,32.0,,,68%,32%,1,ballPossession
1ST,Match overview,Expected goals,1.09,0.4,,,1.09,0.40,1,expectedGoals
1ST,Match overview,Big chances,2.0,0.0,,,2,0,1,bigChanceCreated
1ST,Match overview,Total shots,12.0,3.0,,,12,3,1,totalShotsOnGoal
1ST,Match overview,Goalkeeper saves,2.0,7.0,,,2,7,2,goalkeeperSaves
1ST,Match overview,Corner kicks,5.0,1.0,,,5,1,1,cornerKicks
1ST,Match overview,Passes,337.0,160.0,,,337,160,1,passes
1ST,Match overview,Tackles,5.0,9.0,,,5,9,2,totalTackle
1ST,Match overview,Free kicks,6.0,3.0,,,6,3,1,freeKicks
1ST,Match overview,Yellow cards,0.0,3.0,,,0,3,2,yellowCards
1ST,Match overview,Red cards,0.0,0.0,,,0,0,3,redCards
1ST,Shots,Total shots,12.0,3.0,,,12,3,1,totalShotsOnGoal
1ST,Shots,Shots on target,7.0,2.0,,,7,2,1,shotsOnGoal
1ST,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
1ST,Shots,Shots off target,3.0,0.0,,,3,0,1,shotsOffGoal
1ST,Shots,Blocked shots,2.0,1.0,,,2,1,1,blockedScoringAttempt
1ST,Shots,Shots inside box,7.0,3.0,,,7,3,1,totalShotsInsideBox
1ST,Shots,Shots outside box,5.0,0.0,,,5,0,1,totalShotsOutsideBox
1ST,Attack,Big chances scored,0.0,0.0,,,0,0,3,bigChanceScored
1ST,Attack,Big chances missed,2.0,0.0,,,2,0,1,bigChanceMissed
1ST,Attack,Fouled in final third,2.0,0.0,,,2,0,1,fouledFinalThird
1ST,Attack,Offsides,1.0,3.0,,,1,3,2,offsides
1ST,Passes,Accurate passes,308.0,120.0,,,308,120,1,accuratePasses
1ST,Passes,Throw-ins,8.0,5.0,,,8,5,1,throwIns
1ST,Passes,Final third entries,34.0,23.0,,,34,23,1,finalThirdEntries
1ST,Passes,Long balls,8.0,14.0,16.0,26.0,8/16 (50%),14/26 (54%),2,accurateLongBalls
1ST,Passes,Crosses,3.0,1.0,15.0,3.0,3/15 (20%),1/3 (33%),2,accurateCross
1ST,Duels,Duels,50.0,50.0,,,50%,50%,3,duelWonPercent
1ST,Duels,Dispossessed,3.0,5.0,,,3,5,2,dispossessed
1ST,Duels,Ground duels,19.0,14.0,33.0,33.0,19/33 (58%),14/33 (42%),1,groundDuelsPercentage
1ST,Duels,Aerial duels,5.0,10.0,15.0,15.0,5/15 (33%),10/15 (67%),2,aerialDuelsPercentage
1ST,Duels,Dribbles,9.0,2.0,15.0,2.0,9/15 (60%),2/2 (100%),2,dribblesPercentage
1ST,Defending,Tackles won,2.0,3.0,5.0,9.0,40%,33%,1,wonTacklePercent
1ST,Defending,Total tackles,5.0,9.0,,,5,9,2,totalTackle
1ST,Defending,Interceptions,2.0,4.0,,,2,4,2,interceptionWon
1ST,Defending,Recoveries,29.0,31.0,,,29,31,2,ballRecovery
1ST,Defending,Clearances,3.0,13.0,,,3,13,2,totalClearance
1ST,Goalkeeping,Total saves,2.0,7.0,,,2,7,2,goalkeeperSaves
1ST,Goalkeeping,Goal kicks,0.0,5.0,,,0,5,2,goalKicks
2ND,Match overview,Ball possession,73.0,27.0,,,73%,27%,1,ballPossession
2ND,Match overview,Expected goals,1.04,0.25,,,1.04,0.25,1,expectedGoals
2ND,Match overview,Big chances,1.0,1.0,,,1,1,3,bigChanceCreated
2ND,Match overview,Total shots,16.0,4.0,,,16,4,1,totalShotsOnGoal
2ND,Match overview,Goalkeeper saves,2.0,1.0,,,2,1,1,goalkeeperSaves
2ND,Match overview,Corner kicks,10.0,1.0,,,10,1,1,cornerKicks
2ND,Match overview,Passes,283.0,109.0,,,283,109,1,passes
2ND,Match overview,Tackles,12.0,13.0,,,12,13,2,totalTackle
2ND,Match overview,Free kicks,6.0,8.0,,,6,8,2,freeKicks
2ND,Match overview,Yellow cards,6.0,4.0,,,6,4,1,yellowCards
2ND,Match overview,Red cards,0.0,1.0,,,0,1,2,redCards
2ND,Shots,Total shots,16.0,4.0,,,16,4,1,totalShotsOnGoal
2ND,Shots,Shots on target,3.0,3.0,,,3,3,3,shotsOnGoal
2ND,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
2ND,Shots,Shots off target,6.0,1.0,,,6,1,1,shotsOffGoal
2ND,Shots,Blocked shots,7.0,0.0,,,7,0,1,blockedScoringAttempt
2ND,Shots,Shots inside box,12.0,3.0,,,12,3,1,totalShotsInsideBox
2ND,Shots,Shots outside box,4.0,1.0,,,4,1,1,totalShotsOutsideBox
2ND,Attack,Big chances scored,1.0,0.0,,,1,0,1,bigChanceScored
2ND,Attack,Big chances missed,0.0,1.0,,,0,1,2,bigChanceMissed
2ND,Attack,Fouled in final third,2.0,1.0,,,2,1,1,fouledFinalThird
2ND,Attack,Offsides,1.0,0.0,,,1,0,1,offsides
2ND,Passes,Accurate passes,237.0,65.0,,,237,65,1,accuratePasses
2ND,Passes,Throw-ins,15.0,6.0,,,15,6,1,throwIns
2ND,Passes,Final third entries,38.0,25.0,,,38,25,1,finalThirdEntries
2ND,Passes,Long balls,8.0,13.0,17.0,34.0,8/17 (47%),13/34 (38%),1,accurateLongBalls
2ND,Passes,Crosses,4.0,1.0,17.0,3.0,4/17 (24%),1/3 (33%),2,accurateCross
2ND,Duels,Duels,49.0,51.0,,,49%,51%,2,duelWonPercent
2ND,Duels,Dispossessed,7.0,7.0,,,7,7,3,dispossessed
2ND,Duels,Ground duels,23.0,23.0,46.0,46.0,23/46 (50%),23/46 (50%),3,groundDuelsPercentage
2ND,Duels,Aerial duels,11.0,12.0,23.0,23.0,11/23 (48%),12/23 (52%),2,aerialDuelsPercentage
2ND,Duels,Dribbles,5.0,3.0,11.0,8.0,5/11 (45%),3/8 (38%),1,dribblesPercentage
2ND,Defending,Tackles won,5.0,7.0,12.0,13.0,42%,54%,2,wonTacklePercent
