name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,onTargetScoringAttempt,totalTackle,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,dispossessed,wasFouled,totalClearance,fouls,bigChanceCreated,blockedScoringAttempt,interceptionWon,wonTackle,keyPass,totalCross,bigChanceMissed,shotOffTarget,goalAssist,challengeLost,outfielderBlock,firstName,lastName,goals,totalOffside,accurateCross,penaltyWon,errorLeadToAGoal,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,goalsPrevented,clearanceOffLine,lastManTackle,penaltyConceded
David Raya,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",24.0,21.0,6.0,3.0,18.0,18.0,3.0,6.0,5.0,3.0,90.0,29.0,7.0,3.0,0.00105168,"{'original': 7, 'alternative': 6.8}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",62.0,52.0,2.0,1.0,34.0,37.0,18.0,25.0,1.0,,66.0,75.0,7.0,12.0,0.0114287,"{'original': 7, 'alternative': 7.1}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0488,0.1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",127.0,122.0,6.0,3.0,89.0,91.0,33.0,36.0,12.0,,90.0,133.0,7.2,8.0,0.29695,"{'original': 7.2, 'alternative': 7.2}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,1.0,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,j_kiwior,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",84.0,75.0,10.0,6.0,47.0,48.0,28.0,36.0,6.0,,90.0,90.0,7.2,9.0,0.0155708,"{'original': 7.2, 'alternative': 7.1}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,35,175,17817,M,OZinchenko,287643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,850608000,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'hi': 'ओलेक्सांद्र ज़िनचेंको', 'bn': 'অলেক্সান্ডার জিনচেনকো'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'hi': 'ओ. ज़िनचेंको', 'bn': 'ও. জিনচেনকো'}}",84.0,79.0,4.0,4.0,28.0,28.0,51.0,56.0,6.0,,90.0,102.0,7.6,11.0,0.372599,"{'original': 7.6, 'alternative': 7.2}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,6.0,2.0,1.0,,,2.0,,0.0156,,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",35.0,32.0,,,8.0,8.0,24.0,28.0,4.0,,90.0,47.0,6.7,8.0,0.0406698,"{'original': 6.7, 'alternative': 6.6}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,3.0,4.0,5.0,1.0,,,,2.0,0.1639,,1.0,2.0,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",71.0,67.0,3.0,2.0,27.0,28.0,40.0,44.0,7.0,,89.0,80.0,7.3,7.0,0.0370155,"{'original': 7.3, 'alternative': 7.1}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,6.0,2.0,,,,2.0,,0.0597,,2.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,
Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7637,M,esr,867445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964742400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميل سميث رو', 'hi': 'एमिल स्मिथ रोवे', 'bn': 'এমিল স্মিথ রো'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'hi': 'ई. स्मिथ', 'bn': 'ই. স্মিথ রো'}}",30.0,25.0,1.0,1.0,4.0,4.0,21.0,27.0,,,73.0,38.0,7.2,8.0,0.0353133,"{'original': 7.2, 'alternative': 7}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,5.0,3.0,,,1.0,1.0,,0.38,,2.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",27.0,24.0,1.0,1.0,3.0,4.0,21.0,27.0,3.0,,73.0,40.0,7.4,10.0,0.0643192,"{'original': 7.4, 'alternative': 7.1}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,3.0,4.0,1.0,,,1.0,,,,1.0,2.0,,1.0,,,,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,EN9,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",20.0,14.0,,,5.0,6.0,9.0,14.0,1.0,,90.0,38.0,9.4,11.0,0.0159152,"{'original': 9.4, 'alternative': 9.3}",4,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,5.0,6.0,1.0,1.0,3.0,,3.0,1.0133,2.1048,2.0,3.0,1.0,2.0,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,
