minute,value
1.0,-5
2.0,-15
3.0,-13
4.0,-16
5.0,-17
6.0,-95
7.0,-79
8.0,-51
9.0,-34
10.0,-24
11.0,-32
12.0,27
13.0,3
14.0,-5
15.0,-6
16.0,-6
17.0,39
18.0,28
19.0,26
20.0,16
21.0,8
22.0,22
23.0,-50
24.0,-26
25.0,-18
26.0,-38
27.0,-12
28.0,-4
29.0,-8
30.0,-4
31.0,2
32.0,10
33.0,22
34.0,18
35.0,29
36.0,55
37.0,48
38.0,28
39.0,17
40.0,10
41.0,10
42.0,39
43.0,18
44.0,8
45.0,-7
45.5,-18
46.0,6
47.0,7
48.0,-15
49.0,-43
50.0,-26
51.0,-16
52.0,38
53.0,18
54.0,-30
55.0,-10
56.0,-6
57.0,8
58.0,2
59.0,5
60.0,4
61.0,7
62.0,5
63.0,22
64.0,24
65.0,20
66.0,21
67.0,24
68.0,8
69.0,9
70.0,17
71.0,68
72.0,47
73.0,-31
74.0,-24
75.0,-18
76.0,-18
77.0,30
78.0,-45
79.0,-21
80.0,-15
81.0,-65
82.0,-51
83.0,-69
84.0,-38
85.0,28
86.0,1
87.0,-20
88.0,-4
89.0,25
90.0,-20
90.5,-11
