name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAGoal,ownGoals,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialLost,bigChanceMissed,shotOffTarget,blockedScoringAttempt,outfielderBlock,fouls,expectedGoals,accurateCross,totalContest,wonContest,keyPass,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceCreated,totalOffside,errorLeadToAShot
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",36.0,30.0,8.0,2.0,0.0,29.0,30.0,1.0,6.0,1.0,13.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,90.0,55.0,6.5,7.0,0.00012186,"{'original': 6.5, 'alternative': 5.9}",0,-0.8041,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",35.0,32.0,1.0,,0.0,21.0,21.0,11.0,15.0,1.0,2.0,,,,,,,,90.0,60.0,6.6,9.0,0.036281,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,3.0,9.0,1.0,2.0,1.0,6.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",58.0,54.0,6.0,3.0,0.0,42.0,43.0,12.0,15.0,3.0,4.0,,,,,,,,90.0,66.0,6.0,5.0,0.00556858,"{'original': 6, 'alternative': 5.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,8.0,1.0,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,4.0,1.0001,,,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",48.0,44.0,6.0,4.0,0.0,33.0,35.0,11.0,13.0,4.0,4.0,,,,,,,,90.0,60.0,6.7,4.0,0.00907947,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,1.0,1.0,1.0,0.0142,,,,,,,,,,
Lucas Digne,lucas-digne,L. Digne,D,12,178,4445,M,LDigne,96538,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,743126400,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس دين', 'hi': 'लुकास डिग्ने', 'bn': 'লুকাস ডিগনে'}, 'shortNameTranslation': {'ar': 'ل. دين', 'hi': 'एल. डिग्ने', 'bn': 'এল. ডিগনে'}}",39.0,28.0,6.0,2.0,0.0,16.0,19.0,14.0,26.0,3.0,6.0,,,,,,,,90.0,71.0,6.3,24.0,0.0624892,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,2.0,7.0,8.0,1.0,,1.0,1.0,,1.0,3.0,1.0,,1.0,,,2.0,0.0083,2.0,5.0,2.0,1.0,,,,,,
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9703,M,youritielemans,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",31.0,27.0,2.0,1.0,0.0,16.0,18.0,11.0,13.0,1.0,3.0,,,,,,,,65.0,42.0,7.4,6.0,0.0895698,"{'original': 7.4, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,0.1871,,1.0,1.0,,1.0,1.0,0.2004,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",44.0,39.0,3.0,1.0,0.0,27.0,28.0,12.0,18.0,,3.0,,,,,,,,80.0,55.0,6.8,10.0,0.0115362,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,2.0,4.0,,,1.0,,,1.0,2.0,,,1.0,,,1.0,0.115,,2.0,1.0,1.0,,,,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",21.0,16.0,,,0.0,4.0,5.0,12.0,16.0,,4.0,,,,,,,,90.0,43.0,7.4,13.0,0.974121,"{'original': 7.4, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,7.0,9.0,1.0,2.0,,1.0,1.0,3.0,2.0,1.0,,1.0,2.0,,1.0,0.1625,,7.0,5.0,3.0,,,,1.0,1.0,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",27.0,21.0,,,1.0,8.0,9.0,13.0,18.0,1.0,2.0,,,,,,,,90.0,41.0,8.2,9.0,0.415702,"{'original': 8.2, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,6.0,1.0,,,,,1.0,2.0,,,2.0,,,,0.4415,,6.0,4.0,5.0,1.0,,0.0603,1.0,1.0,
John McGinn,john-mcginn,J. McGinn,M,7,175,3796,M,,250223,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,782438400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ماكجين', 'hi': 'जॉन मैकगिन', 'bn': 'জন ম্যাকগিন'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'hi': 'जे. मैकगिन', 'bn': 'জে. ম্যাকগিন'}}",31.0,28.0,3.0,2.0,0.0,8.0,9.0,22.0,25.0,1.0,7.0,,,,,,,,90.0,53.0,7.1,11.0,0.254885,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,,5.0,7.0,1.0,2.0,,1.0,,3.0,3.0,,,,1.0,,1.0,0.0391,2.0,4.0,3.0,2.0,,,,,,
