name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,fouls,expectedGoals,aerialLost,bigChanceCreated,onTargetScoringAttempt,unsuccessfulTouch,wasFouled,expectedGoalsOnTarget,keyPass,bigChanceMissed,goals,totalOffside,totalCross,dispossessed,totalContest,wonContest,firstName,lastName,goalAssist,accurateCross,errorLeadToAGoal,hitWoodwork,errorLeadToAShot
Alisson,alisson,Alisson,G,1,193,66760,M,AlissonBecker,243609,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,717984000,"{'value': 18700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}, 'shortNameTranslation': {'ar': 'أليسون', 'hi': 'एलिसन', 'bn': 'অ্যালিসন'}}",21.0,19.0,2.0,,17.0,18.0,2.0,3.0,,10.0,,3.0,4.0,,90.0,30.0,6.9,2.0,0.00028198,"{'original': 6.9, 'alternative': 6.7}",0,-0.4703,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,208066,M,TrentAA,795064,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907718400,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ترنت ألكسندر-أرنولد', 'hi': 'ट्रेंट अलेक्जेंडर-अर्नोल्ड', 'bn': 'ট্রেন্ট আলেকজান্ডার-আর্নল্ড'}, 'shortNameTranslation': {'ar': 'ت. ألكسندر-أرنولد', 'hi': 'टी. अलेक्जेंडर-अर्नोल्ड', 'bn': 'টি. আলেকজান্ডার-আর্নল্ড'}}",99.0,81.0,14.0,3.0,36.0,38.0,47.0,68.0,2.0,5.0,,,,,84.0,124.0,7.1,26.0,0.405554,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,2.0,1.0,1.0,,1.0,1.0,,,,0.0302,,,,2.0,1.0,,,,,,7.0,,1.0,1.0,,,,2.0,,,
Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",72.0,67.0,3.0,1.0,36.0,37.0,31.0,35.0,1.0,2.0,,,,,63.0,77.0,6.0,6.0,0.0113254,"{'original': 6, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,3.0,6.0,,,,,,2.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,
Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",107.0,93.0,11.0,6.0,44.0,50.0,49.0,57.0,3.0,5.0,,,,,90.0,118.0,7.5,15.0,0.0265191,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,9.0,3.0,11.0,,,1.0,1.0,,1.0,1.0,,0.0855,3.0,,1.0,1.0,,0.0645,1.0,,,,,,1.0,1.0,,,,,,,
Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",64.0,52.0,10.0,5.0,21.0,23.0,34.0,57.0,1.0,6.0,,,,,84.0,97.0,7.1,28.0,0.0972657,"{'original': 7.1, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,8.0,1.0,5.0,,,2.0,,1.0,1.0,,0.0624,2.0,,1.0,2.0,,0.036,3.0,,,1.0,16.0,,1.0,,,,,3.0,,,
Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",32.0,30.0,2.0,2.0,18.0,19.0,12.0,15.0,,4.0,,,,,63.0,44.0,6.7,7.0,0.0780381,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,3.0,,,1.0,,,1.0,,,0.0325,2.0,,,2.0,1.0,,1.0,,,,2.0,,2.0,1.0,,,,,,,
Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",102.0,92.0,7.0,5.0,30.0,31.0,62.0,73.0,1.0,6.0,,,,,90.0,123.0,7.2,14.0,0.163681,"{'original': 7.2, 'alternative': 7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,7.0,6.0,3.0,,4.0,,,4.0,1.0,2.0,0.0775,1.0,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,,,,,,
Curtis Jones,curtis-jones,C. Jones,M,17,185,17493,M,curtisjones,927353,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,980812800,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيرتس جونز', 'hi': 'कर्टिस जोन्स', 'bn': 'কার্টিস জোন্স'}, 'shortNameTranslation': {'ar': 'ك. جونز', 'hi': 'सी. जोन्स', 'bn': 'সি. জোন্স'}}",44.0,43.0,2.0,2.0,14.0,14.0,29.0,30.0,,5.0,,,,,63.0,56.0,6.7,2.0,0.0503746,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,1.0,1.0,,1.0,,,,,3.0,0.0565,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,
Mohamed Salah,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",26.0,21.0,1.0,1.0,8.0,8.0,13.0,18.0,,1.0,,,,,90.0,38.0,7.2,7.0,0.072508,"{'original': 7.2, 'alternative': 7}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,,3.0,2.0,,,,,,0.6369,1.0,1.0,2.0,1.0,,0.3637,1.0,1.0,,,,1.0,,,,,,,,,
Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",11.0,11.0,1.0,1.0,3.0,3.0,8.0,8.0,,,,,,,90.0,20.0,6.7,5.0,0.119484,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,,,,1.0,,1.0,,,1.0,0.7122,2.0,1.0,1.0,3.0,,0.3248,2.0,1.0,,,,2.0,,,,,,,,,
Luis Díaz,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",48.0,44.0,3.0,2.0,5.0,7.0,40.0,43.0,,7.0,,,,,90.0,70.0,7.4,13.0,0.41278,"{'original': 7.4, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,7.0,,1.0,1.0,,,2.0,2.0,2.0,0.3309,1.0,,1.0,4.0,3.0,0.3189,3.0,1.0,,,2.0,3.0,3.0,2.0,,,,1.0,,1.0,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",28.0,23.0,1.0,,9.0,11.0,14.0,17.0,,4.0,,,,,27.0,32.0,6.7,6.0,0.0115587,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,3.0,1.0,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,
Wataru Endo,wataru-endo,W. Endo,M,3,178,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",30.0,28.0,1.0,1.0,11.0,12.0,17.0,18.0,,1.0,,,,,27.0,37.0,6.4,5.0,0.0129102,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,4.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,1.0
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",24.0,22.0,4.0,4.0,4.0,4.0,18.0,22.0,,3.0,,,,,27.0,29.0,7.1,4.0,0.0476252,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,1.0,,,,0.0599,,,1.0,,,0.1445,1.0,,,,2.0,,,,,,,,,,
Joe Gomez,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",6.0,6.0,,,4.0,4.0,4.0,5.0,,1.0,,,,,12.0,12.0,6.7,1.0,0.0460692,"{'original': 6.7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,3.0,,,,,,,2.0,,,
Konstantinos Tsimikas,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,TK21,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",3.0,2.0,,,,,2.0,6.0,,,,,,,12.0,7.0,6.6,4.0,0.0012967,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,
Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,ryanjiro,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Clark,bobby-clark,B. Clark,M,42,178,1832,M,,1142638,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1107734400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي كلارك', 'hi': 'बॉबी क्लार्क', 'bn': 'ববি ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ب. كلارك', 'hi': 'बी. क्लार्क', 'bn': 'বি. ক্লার্ক'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Danns,jayden-danns,J. Danns,F,76,183,3573,M,,1403108,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1137369600,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايدن دانز', 'hi': 'जेडन डैन्स', 'bn': 'জেডেন ড্যানস'}, 'shortNameTranslation': {'ar': 'ج. دانز', 'hi': 'जे. डैन्स', 'bn': 'জে. ড্যানস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,Jayden Danns,,,,,,
