Strategy,Bets,Win Rate %,Gross ROI %,Net ROI %,Avg CLV,VW Net ROI %
Fade Drifters (Lay),0,0.0,0.0,0.0,0.0,0.0
Follow Steam (Back),168,25.0,3.31,-0.6,0.0552,18.76
"Longshot Bias (Back >15, Lay <3)",16368,22.52,-8.87,-12.26,-0.274,-4.48
