name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,ballRecovery,wasFouled,crossNotClaimed,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,onTargetScoringAttempt,goals,bigChanceMissed,blockedScoringAttempt,totalOffside,goodHighClaim,punches,clearanceOffLine,hitWoodwork
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",38.0,26.0,14.0,3.0,24.0,27.0,2.0,11.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,5.0,6.0,1.0,1.0,90.0,51.0,8.0,12.0,0.0,0.0,0.00026874,"{'original': 8, 'alternative': 8.3}",0,0.7798,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Wan-Bissaka,,,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18042,M,awbissaka,863653,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,880502400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون وان بيساكا', 'hi': 'एरोन वान-बिसाका', 'bn': 'হারুন ওয়ান-বিসাকা'}, 'shortNameTranslation': {'ar': 'آ. وان-بيساكا', 'hi': 'ए. वान-बिसाका', 'bn': 'এ. ওয়ান-বিসাকা'}}",44.0,40.0,1.0,1.0,23.0,25.0,18.0,20.0,1.0,1.0,7.0,6.0,4.0,,,,,,,90.0,72.0,8.1,10.0,0.0,0.0,0.693392,"{'original': 8.1, 'alternative': 8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,,,,,,,,,,
Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",38.0,34.0,4.0,1.0,21.0,24.0,13.0,14.0,,1.0,3.0,2.0,5.0,,,,,,,90.0,50.0,7.7,6.0,1.0047,0.7361,0.00345223,"{'original': 7.7, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,1.0,,,,5.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,
Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51098,M,LichaMartínez,859999,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,885081600,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليساندرو مارتينيز', 'hi': 'लिसांड्रो मार्टिनेज', 'bn': 'লিসান্দ্রো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'ل. مارتينيز', 'hi': 'एल. मार्टिनेज', 'bn': 'এল. মার্টিনেজ'}}",39.0,36.0,3.0,1.0,25.0,25.0,11.0,14.0,1.0,,5.0,2.0,2.0,,,,,,,45.0,43.0,6.5,4.0,0.0,0.0,0.0151216,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,
Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17125,M,lukeshaw23,190839,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,805507200,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك شو', 'hi': 'ल्यूक शॉ', 'bn': 'লুক শ'}, 'shortNameTranslation': {'ar': 'ل. شاو', 'hi': 'एल. शॉ', 'bn': 'এল. শ'}}",58.0,50.0,2.0,,26.0,28.0,24.0,31.0,,,3.0,2.0,4.0,,,,,,,90.0,89.0,7.7,17.0,0.0,0.0,0.040827,"{'original': 7.7, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,,1.0,,,,6.0,2.0,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,,
Casemiro,,,casemiro,Casemiro,M,18,185,88452,M,Casemiro,122951,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,698803200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}, 'shortNameTranslation': {'ar': 'كاسيميرو', 'hi': 'कैसेमिरो', 'bn': 'ক্যাসেমিরো'}}",62.0,51.0,8.0,4.0,25.0,28.0,26.0,35.0,2.0,1.0,12.0,3.0,9.0,,,,,,,90.0,86.0,7.1,17.0,0.0,0.0,0.0660663,"{'original': 7.1, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,4.0,4.0,,,1.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",29.0,24.0,1.0,1.0,9.0,9.0,15.0,23.0,1.0,,5.0,4.0,8.0,2.0,,,,,,77.0,44.0,7.2,9.0,0.1849,0.0,0.0488771,"{'original': 7.2, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,2.0,1.0,2.0,2.0,,,,,,,,1.0,3.0,,1.0,,1.0,2.0,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",44.0,34.0,4.0,4.0,11.0,13.0,25.0,38.0,3.0,,11.0,6.0,9.0,,,,,,,90.0,67.0,7.3,20.0,0.0241,0.0,0.723876,"{'original': 7.3, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,7.0,2.0,5.0,2.0,1.0,,,,1.0,1.0,6.0,2.0,1.0,,4.0,,,,,1.0,,,,,
Mason Mount,,,mason-mount,M. Mount,M,7,181,42056,M,MMount,836694,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915926400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسون ماونت', 'hi': 'मेसन माउंट', 'bn': 'মেসন মাউন্ট'}, 'shortNameTranslation': {'ar': 'م. مونت', 'hi': 'एम. माउंट', 'bn': 'এম. মাউন্ট'}}",21.0,17.0,1.0,1.0,3.0,4.0,14.0,19.0,2.0,,5.0,2.0,7.0,2.0,,,,,,68.0,30.0,6.7,9.0,0.0,0.0,0.0176045,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,,2.0,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",28.0,24.0,1.0,1.0,6.0,7.0,18.0,22.0,1.0,,6.0,5.0,5.0,3.0,,,,,,68.0,47.0,6.9,12.0,0.1203,0.0,0.0343666,"{'original': 6.9, 'alternative': 6.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,2.0,1.0,2.0,1.0,,,,,1.0,1.0,5.0,2.0,,2.0,,,,2.0,,,,,
