name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,shotOffTarget,blockedScoringAttempt,interceptionWon,wasFouled,keyPass,onTargetScoringAttempt,totalTackle,wonTackle,fouls,unsuccessfulTouch,totalOffside,accurateCross,challengeLost,totalContest,wonContest,firstName,lastName,dispossessed,bigChanceCreated,bigChanceMissed,punches,outfielderBlock,goalAssist,goals
Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,86972,M,NJackson11,1085381,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,992995200,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولاس جاكسون', 'hi': 'निकोलस जैक्सन', 'bn': 'নিকোলাস জ্যাকসন'}, 'shortNameTranslation': {'ar': 'ن. جاكسون', 'hi': 'एन. जैक्सन', 'bn': 'এন. জ্যাকসন'}}",25.0,22.0,,,3.0,3.0,19.0,23.0,,6.0,,2.0,,,,,,90.0,53.0,6.3,15.0,0.9876,0.0,0.118561,"{'original': 6.3, 'alternative': 6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,6.0,1.0,3.0,,1.0,1.0,,,,,7.0,1.0,,,6.0,5.0,Nicolas Jackson,,3.0,,2.0,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",33.0,28.0,2.0,1.0,2.0,2.0,26.0,33.0,,3.0,,2.0,,,,,,28.0,46.0,6.9,11.0,0.0,0.0,0.114072,"{'original': 6.9, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,5.0,,,,,1.0,,,,1.0,1.0,,,1.0,4.0,3.0,,,2.0,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",27.0,25.0,,,3.0,3.0,23.0,27.0,,1.0,,1.0,,,,,,28.0,39.0,6.7,9.0,0.0161,0.0,0.104707,"{'original': 6.7, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,3.0,,1.0,,1.0,,,,,,2.0,,1.0,,2.0,,,,1.0,,,,,,
Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5423,M,maatsen_,976263,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1015718400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيان ماتسين', 'hi': 'इयान मात्सेन', 'bn': 'ইয়ান মাতসেন'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'hi': 'आई. मात्सेन', 'bn': 'আই. মাতসেন'}}",15.0,13.0,1.0,,3.0,3.0,11.0,14.0,1.0,1.0,,,,,,,,13.0,21.0,6.5,5.0,0.0707,0.0,0.0291729,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,2.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",7.0,6.0,,,3.0,3.0,3.0,8.0,,,,1.0,,,,,,13.0,15.0,6.3,7.0,0.0163,0.0,0.0113794,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,4.0,,2.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Bergström,lucas-bergstrom,L. Bergström,G,13,206,3384,M,,996903,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1031184000,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس بيرغستروم', 'hi': 'लुकास बर्गस्ट्रोम', 'bn': 'লুকাস বার্গস্ট্রোম'}, 'shortNameTranslation': {'ar': 'ل. بيرغستروم', 'hi': 'एल. बर्गस्ट्रोम', 'bn': 'এল. বার্গস্ট্রোম'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesley Ugochukwu,lesley-ugochukwu,L. Ugochukwu,M,8,188,5188,M,l.ugochukwu8,1048916,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1080259200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'hi': 'लेस्ली उगोचुकु', 'bn': 'লেসলি উগোচুকউ'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'hi': 'एल. उगोचुकु', 'bn': 'এল. উগোচুকউ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deivid Washington,deivid-washington,D. Washington,F,33,186,7071,M,deividwashington_,1485371,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1117929600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد واشنطن', 'hi': 'डेविड वॉशिंगटन', 'bn': 'ডেভিড ওয়াশিংটন'}, 'shortNameTranslation': {'ar': 'د. واشنطن', 'hi': 'डी. वॉशिंगटन', 'bn': 'ডি. ওয়াশিংটন'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,Deivid Washington,,,,,,,,
