name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,shotOffTarget,blockedScoringAttempt,interceptionWon,wasFouled,keyPass,onTargetScoringAttempt,totalTackle,wonTackle,fouls,unsuccessfulTouch,totalOffside,accurateCross,challengeLost,totalContest,wonContest,firstName,lastName,dispossessed,bigChanceCreated,bigChanceMissed,punches,outfielderBlock,goalAssist,goals
Matt Turner,matt-turner,M. Turner,G,30,190,1581,M,,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",32.0,14.0,28.0,10.0,7.0,10.0,7.0,22.0,,,1.0,8.0,2.0,1.0,2.0,,,90.0,42.0,7.3,18.0,0.0,0.0,0.00092878,"{'original': 7.3, 'alternative': 7.4}",0,0.167,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",24.0,14.0,5.0,,11.0,14.0,3.0,10.0,5.0,8.0,7.0,5.0,,,,,,90.0,51.0,7.9,16.0,0.0,0.0,0.00121493,"{'original': 7.9, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,2.0,,,2.0,,,,3.0,1.0,,,,,1.0,,,,,,,,,4.0,,
Joe Worrall,joe-worrall,J. Worrall,D,4,193,313,M,,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",18.0,14.0,2.0,1.0,10.0,13.0,4.0,5.0,,2.0,7.0,8.0,,,,,,90.0,31.0,7.3,4.0,0.0,0.0,0.00118647,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,2.0,4.0,,,,,,,2.0,1.0,,,,,2.0,,,,,,,,,3.0,,
Scott McKenna,scott-mckenna,S. McKenna,D,26,188,950,M,,358108,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,847756800,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت ماكنيا', 'hi': 'स्कॉट मैककेना', 'bn': 'স্কট ম্যাককেনা'}, 'shortNameTranslation': {'ar': 'س. ماكنيا', 'hi': 'एस. मैककेना', 'bn': 'এস. ম্যাককেনা'}}",18.0,14.0,2.0,1.0,11.0,13.0,3.0,5.0,1.0,2.0,5.0,4.0,,,,,,90.0,31.0,7.4,6.0,0.0,0.0,0.106593,"{'original': 7.4, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,2.0,,
Serge Aurier,serge-aurier,S. Aurier,D,93,176,3021,M,Serge_aurier,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",27.0,19.0,2.0,1.0,11.0,15.0,8.0,12.0,2.0,6.0,2.0,5.0,,,,,,72.0,41.0,6.4,14.0,0.0,0.0,0.00284634,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,9.0,,,,1.0,,,3.0,1.0,1.0,2.0,,,1.0,2.0,,,,1.0,,,,,,
Orel Mangala,orel-mangala,O. Mangala,M,20,178,1539,M,,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",17.0,14.0,2.0,,9.0,10.0,5.0,7.0,,1.0,,1.0,,,,,,72.0,28.0,6.3,7.0,0.0073,0.0,0.00262016,"{'original': 6.3, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,6.0,1.0,,2.0,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",22.0,14.0,3.0,1.0,8.0,11.0,6.0,11.0,1.0,9.0,5.0,8.0,,,,,,90.0,47.0,7.3,8.0,0.0154,0.0,0.0006929,"{'original': 7.3, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,8.0,1.0,,3.0,2.0,,,6.0,3.0,4.0,,,,2.0,,,,,,,,,2.0,,
Ola Aina,ola-aina,O. Aina,D,34,182,4048,M,,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",10.0,5.0,,,4.0,8.0,1.0,2.0,1.0,4.0,,5.0,,,,,,73.0,23.0,6.4,11.0,0.0,0.0,0.00017556,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,,1.0,,
Danilo,danilo,Danilo,M,35,177,4572,M,Danilo,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",7.0,4.0,,,3.0,5.0,1.0,3.0,1.0,3.0,,2.0,,,,,,45.0,12.0,6.6,5.0,0.0,0.0,0.00016123,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,2.0,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,Morgangibbs27,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",23.0,14.0,7.0,3.0,6.0,8.0,8.0,16.0,,5.0,,3.0,,,,,,90.0,41.0,6.7,15.0,0.0,0.0,0.00661395,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,9.0,,,1.0,2.0,,,2.0,1.0,,3.0,,,3.0,1.0,1.0,,,2.0,,,,1.0,,
Taiwo Awoniyi,taiwo-awoniyi,T. Awoniyi,F,9,183,3500,M,,359664,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,871344000,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايوو أونيي', 'hi': 'ताइवो अवोनीयी', 'bn': 'তাইও আওনিয়ি'}, 'shortNameTranslation': {'ar': 'ت. أونيي', 'hi': 'टी. अवोनीयी', 'bn': 'টি. আওনিয়ি'}}",14.0,6.0,,,1.0,3.0,5.0,11.0,1.0,3.0,1.0,5.0,,,,,,65.0,27.0,7.2,13.0,0.2317,0.0,0.211844,"{'original': 7.2, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,8.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,2.0,1.0,1.0,,,1.0,
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,anthonyelanga,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",6.0,4.0,,,2.0,3.0,2.0,4.0,,4.0,1.0,3.0,,,,,,45.0,22.0,7.7,6.0,0.5035,0.9459,0.00211265,"{'original': 7.7, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,2.0,5.0,,,,,,3.0,1.0,,,1.0,2.0,,1.0,4.0,3.0,,,1.0,,,,,,1.0
Chris Wood,chris-wood,C. Wood,F,11,191,7744,M,wodsy39,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",5.0,3.0,,,1.0,2.0,2.0,3.0,,,1.0,,,,,,,25.0,8.0,6.5,4.0,0.0,0.0,0.00096417,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4988,M,nuno_tavares71,944973,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,948844800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نونو تافاريس', 'hi': 'नूनो तवारेस', 'bn': 'নুনো টাভারেস'}, 'shortNameTranslation': {'ar': 'ن. تافاريس', 'hi': 'एन. तवारेस', 'bn': 'এন. টাভারেস'}}",4.0,2.0,1.0,,1.0,3.0,1.0,2.0,,2.0,2.0,1.0,,,,,,18.0,13.0,6.8,5.0,0.0,0.0,0.00059421,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,1.0,,,,,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,
Gonzalo Montiel,gonzalo-montiel,G. Montiel,D,4,175,9289,M,gonzalo_montiel29,822933,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,852076800,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غونزالو مونتييل', 'hi': 'गोंजालो मोंटिएल', 'bn': 'গঞ্জালো মন্টিয়েল'}, 'shortNameTranslation': {'ar': 'غ. مونتيل', 'hi': 'जी. मोंटिएल', 'bn': 'জি. মন্টিয়েল'}}",1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,18.0,3.0,6.5,1.0,0.0,0.0,0.0,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
Cheikhou Kouyaté,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",2.0,2.0,,,2.0,2.0,,,1.0,1.0,4.0,2.0,,,,,,17.0,8.0,6.7,1.0,0.0,0.0,9.519e-05,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
Ethan Horvath,ethan-horvath,E. Horvath,G,24,194,402,M,,343013,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,802656000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان هورفاث', 'hi': 'एथन होर्वाथ', 'bn': 'ইথান হোরভাথ'}, 'shortNameTranslation': {'ar': 'إ. هورفاث', 'hi': 'ई. होर्वाथ', 'bn': 'ই. হোরভাথ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,niakhate,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe,felipe,Felipe,D,,191,782,M,,242211,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,611280000,,"{'nameTranslation': {'ar': 'فيليبي', 'hi': 'फेलिप', 'bn': 'ফিলিপ'}, 'shortNameTranslation': {'ar': 'فيليبي', 'hi': 'फेलिप', 'bn': 'ফিলিপ'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aguilera,brandon-aguilera,B. Aguilera,M,10,180,919,M,,1020203,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,1056758400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'براندون أغويليرا', 'hi': 'ब्रैंडन एगुइलेरा', 'bn': 'ব্র্যান্ডন আগুইলেরা'}, 'shortNameTranslation': {'ar': 'ب. أغويليرا', 'hi': 'बी. एगुइलेरा', 'bn': 'বি. আগুইলেরা'}}",,,,,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
