name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,challengeLost,totalContest,wonContest,bigChanceCreated,interceptionWon,errorLeadToAShot,unsuccessfulTouch,keyPass,blockedScoringAttempt,outfielderBlock,totalTackle,wonTackle,fouls,expectedGoals,onTargetScoringAttempt,expectedGoalsOnTarget,goalAssist,dispossessed,shotOffTarget,firstName,lastName,bigChanceMissed,goals,totalOffside,lastManTackle
Diogo Jota,diogo-jota,D. Jota,F,,178.0,33671,M,DiogoJ18,606164,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,849657600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو جوتا', 'hi': 'डियोगो जोटा', 'bn': 'ডিওগো জোটা'}, 'shortNameTranslation': {'ar': 'د. جوتا', 'hi': 'डी. जोटा', 'bn': 'ডি. জোটা'}}",25.0,20.0,,,5.0,5.0,15.0,20.0,5.0,2.0,7.0,6.0,1.0,2.0,3.0,,,,,84.0,39.0,7.8,8.0,0.041547,"{'original': 7.8, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,1.0,,1.0,,3.0,2.0,2.0,,,,1.0,0.1782,1.0,0.4384,,,,,,,1.0,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170.0,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",5.0,5.0,,,2.0,2.0,3.0,3.0,,,2.0,,,1.0,,,,,,14.0,6.0,6.6,,0.00220049,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,,,,,,,,,1.0,0.0238,1.0,0.408,,,,,,,,,
Luis Díaz,luis-diaz,L. Díaz,F,14,178.0,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",4.0,2.0,,,1.0,3.0,1.0,1.0,,,4.0,,,1.0,,,,,,14.0,8.0,6.2,4.0,0.00059972,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190.0,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",4.0,4.0,,,1.0,1.0,3.0,3.0,,,,1.0,1.0,,,,,,,1.0,7.0,,,0.00033317,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
James McConnell,mcconnell-james,J. McConnell,M,16,180.0,2880,M,,1138428,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095033600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكونيل، جيمس', 'hi': 'मैककोनेल, जेम्स', 'bn': 'ম্যাককনেল, জেমস'}, 'shortNameTranslation': {'ar': 'ج. ماكونيل', 'hi': 'जे. मैककोनेल', 'bn': 'জে. ম্যাককনেল'}}",,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,,,,,,,,,,,,,,,James McConnell,,,,,
Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188.0,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Scanlon,scanlon-calum,C. Scanlon,D,33,,483,M,,1188167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1108339200,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكانلون، كالوم', 'hi': 'स्कैनलॉन, कैलम', 'bn': 'স্ক্যানলন, ক্যালাম'}, 'shortNameTranslation': {'ar': 'ك. سكانلون', 'hi': 'सी. स्कैनलॉन', 'bn': 'সি. স্ক্যানলন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Chambers,luke-chambers,L. Chambers,D,3,181.0,622,M,,1134530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1088035200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك تشامبرز', 'hi': 'ल्यूक चेम्बर्स', 'bn': 'লুক চেম্বারস'}, 'shortNameTranslation': {'ar': 'ل. تشامبرز', 'hi': 'एल. चेम्बर्स', 'bn': 'এল. চেম্বারস'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Nyoni,nyoni-trey,T. Nyoni,M,42,180.0,9409,M,TNyoni,1445945,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1183161600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيوني، تري', 'hi': 'न्योनी, ट्रे', 'bn': 'নিওনি, ট্রে'}, 'shortNameTranslation': {'ar': 'ت. نيوني', 'hi': 'टी. न्योनी', 'bn': 'টি. নিওনি'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Gannon-Doak,ben-doak,B. Doak,M,50,174.0,6950,M,bendoak._,1154861,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1131667200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن دوك', 'hi': 'बेन डोक', 'bn': 'বেন ডোয়াক'}, 'shortNameTranslation': {'ar': 'ب. دوك', 'hi': 'बी. डोक', 'bn': 'বি. দোয়াক'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,Ben Doak,,,,,
