minute,value
1.0,3
2.0,-3
3.0,11
4.0,51
5.0,24
6.0,5
7.0,27
8.0,22
9.0,21
10.0,17
11.0,41
12.0,46
13.0,31
14.0,56
15.0,38
16.0,67
17.0,44
18.0,30
19.0,-25
20.0,9
21.0,4
22.0,4
23.0,25
24.0,20
25.0,19
26.0,16
27.0,23
28.0,77
29.0,36
30.0,39
31.0,28
32.0,20
33.0,51
34.0,25
35.0,41
36.0,36
37.0,46
38.0,31
39.0,21
40.0,48
41.0,21
42.0,-11
43.0,53
44.0,31
45.0,40
45.5,7
46.0,11
47.0,9
48.0,9
49.0,-16
50.0,-15
51.0,-5
52.0,-51
53.0,-3
54.0,28
55.0,32
56.0,20
57.0,17
58.0,9
59.0,5
60.0,14
61.0,-27
62.0,-45
63.0,28
64.0,12
65.0,11
66.0,6
67.0,16
68.0,12
69.0,11
70.0,44
71.0,26
72.0,14
73.0,8
74.0,48
75.0,21
76.0,12
77.0,10
78.0,-54
79.0,-38
80.0,-100
81.0,-77
82.0,-52
83.0,-65
84.0,-48
85.0,-40
86.0,-26
87.0,-56
88.0,-74
89.0,-42
90.0,60
90.5,-21
