name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,possessionLostCtrl,onTargetScoringAttempt,goals,totalClearance,interceptionWon,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,totalContest,fouls,firstName,totalCross,accurateCross,sofascoreId,goalAssist,challengeLost,wonContest,bigChanceCreated,blockedScoringAttempt,totalOffside,lastName,punches,lastManTackle,errorLeadToAGoal,shotOffTarget
Chris Richards,chris-richards,C. Richards,D,26,188,2004,M,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",46.0,41.0,4.0,2.0,33.0,37.0,5.0,,,,90.0,53.0,6.3,0.00185423,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,9.0,2.0,,4.0,2.0,1.0,,1.0,1.0,,,6.0,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
Will Hughes,will-hughes,W. Hughes,M,19,185,1013,M,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",25.0,19.0,1.0,,10.0,13.0,3.0,,,,80.0,35.0,6.5,0.00367309,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,13.0,,1.0,3.0,2.0,1.0,,1.0,1.0,,,9.0,,,1.0,3.0,,,,,,2.0,,1.0,,,,,,,,1.0,,,,,
Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,14311,M,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",26.0,22.0,1.0,1.0,7.0,7.0,3.0,,,,90.0,43.0,6.8,0.0093563,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,15.0,21.0,,1.0,4.0,4.0,2.0,,1.0,1.0,,2.0,12.0,1.0,,,,1.0,0.0186,0.1016,,3.0,,,2.0,,jordanayew9,,,1.0,,,,,,,,
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",6.0,4.0,,,2.0,2.0,3.0,,,,80.0,18.0,7.1,0.00213322,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,4.0,2.0,,4.0,1.0,2.0,,1.0,1.0,,3.0,7.0,1.0,1.0,,1.0,,0.0352,0.1939,,,,,,,Matetajphilippe,,,,,,,,,,,
Jeffrey Schlupp,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",11.0,7.0,,,2.0,3.0,5.0,,,,45.0,17.0,6.9,0.0048736,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,9.0,,1.0,3.0,3.0,1.0,,2.0,2.0,,,6.0,2.0,,,,,0.0916,0.405,,,2.0,,1.0,,,,,,,,,,,,,
Adam Wharton,adam-wharton,A. Wharton,M,20,182,5314,M,1109771,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1076025600,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",27.0,23.0,1.0,1.0,15.0,17.0,4.0,,,,62.0,40.0,6.2,0.00312923,"{'original': 6.2, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,8.0,10.0,,,4.0,5.0,1.0,2.0,2.0,2.0,,1.0,7.0,,,,2.0,3.0,,,,,,,,,,,3.0,,,,,,,,1.0,
Michael Olise,michael-olise,M. Olise,M,17,185,65968,M,978838,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1008115200,"{'value': 125000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوليس', 'hi': 'माइकल ओलिस', 'bn': 'মাইকেল ওলিস'}, 'shortNameTranslation': {'ar': 'م. أوليس', 'hi': 'एम. ओलिस', 'bn': 'এম. ওলিস'}}",,,,,,,,,,,11.0,4.0,6.3,2.37e-06,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,2.0,,2.0,,,,,,3.0,,,,,,,,,,,,1.0,,MOlise,,,,,,,,,,,
Matheus França,matheus-franca,Matheus França,F,9,184,3730,M,1116593,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1080777600,"{'value': 9300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيوس فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}, 'shortNameTranslation': {'ar': 'م. فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}}",16.0,16.0,1.0,1.0,8.0,8.0,3.0,,,,34.0,30.0,6.8,0.0245253,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,8.0,10.0,,,5.0,2.0,3.0,,,,,,6.0,1.0,,,,,0.1135,0.1289,,3.0,1.0,Matheus França,2.0,,,,,2.0,,,,,,,,1.0
Naouirou Ahamada,naouirou-ahamada,N. Ahamada,M,28,183,422,M,997104,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1017360000,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",4.0,4.0,,,1.0,1.0,,,,,10.0,7.0,6.3,0.00037191,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,3.0,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,19,187,5777,M,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",2.0,2.0,,,2.0,2.0,,,,,10.0,4.0,6.4,0.00012229,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tomkins,james-tomkins,J. Tomkins,D,,192,104,M,32124,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,607132800,,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaïro Riedewald,jairo-riedewald,J. Riedewald,M,44,186,1300,M,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ozoh,david-ozoh,D. Ozoh,M,18,183,301,M,1212155,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1115337600,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد أوزوه', 'hi': 'डेविड ओज़ोह', 'bn': 'ডেভিড ওজোহ'}, 'shortNameTranslation': {'ar': 'د. أوزوه', 'hi': 'डी. ओज़ोह', 'bn': 'ডি. ওজোহ'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
