name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialLost,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,possessionLostCtrl,onTargetScoringAttempt,goals,totalClearance,interceptionWon,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,totalContest,fouls,firstName,totalCross,accurateCross,sofascoreId,goalAssist,challengeLost,wonContest,bigChanceCreated,blockedScoringAttempt,totalOffside,lastName,punches,lastManTackle,errorLeadToAGoal,shotOffTarget
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benicio Boaitey,boaitey-benicio,B. Boaitey,M,26,162,113,M,1142604,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073606400,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوياتي، بينيشيو', 'hi': 'बोआइटे, बेनिसियो', 'bn': 'বোয়াইতে, বেনিসিও'}, 'shortNameTranslation': {'ar': 'ب. بينيشيو', 'hi': 'बी. बोआइटे', 'bn': 'বি. বোয়াইটি'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Moder,jakub-moder,J. Moder,M,7,191,7259,M,886242,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,923443200,"{'value': 10900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,kubamoder,,,,,,,,,,,
Dean Henderson,dean-henderson,D. Henderson,G,1,188,5014,M,788134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'hi': 'डीन हेंडरसन', 'bn': 'ডিন হেন্ডারসন'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'hi': 'डी. हेंडरसन', 'bn': 'ডি. হেন্ডারসন'}}",25.0,21.0,5.0,1.0,20.0,20.0,8.0,,2.0,2.0,90.0,29.0,6.1,0.00010007,"{'original': 6.1, 'alternative': 5.8}",0,-0.9136,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,deanhenderson,,,,,,,,1.0,,,
Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,11977,M,870360,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833068800,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",34.0,33.0,,,21.0,22.0,2.0,,,,90.0,53.0,6.9,0.0154585,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,12.0,12.0,,,3.0,6.0,,2.0,5.0,5.0,,,2.0,,,,1.0,1.0,,,1.0,,3.0,,,,daniel.chitiva,,,,,,,,,1.0,,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",72.0,59.0,9.0,3.0,49.0,56.0,,,,,90.0,78.0,6.1,0.0241118,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,11.0,17.0,1.0,,5.0,1.0,,,,,,,13.0,,,2.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,3.0,,,,,,,,,
Marc Guéhi,marc-guehi,M. Guéhi,D,6,182,7807,M,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",19.0,16.0,3.0,,13.0,13.0,,,,,28.0,22.0,6.4,0.00040831,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,3.0,6.0,,,2.0,2.0,,,1.0,1.0,,,3.0,,,,1.0,,,,,1.0,1.0,,,,MarcGuehi13,,1.0,1.0,,,,,,,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",31.0,23.0,4.0,2.0,12.0,16.0,5.0,,,,90.0,53.0,5.7,0.0050299,"{'original': 5.7, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,12.0,17.0,,,5.0,1.0,3.0,1.0,1.0,,,,18.0,,,1.0,1.0,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,
Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,179,5382,M,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",45.0,39.0,2.0,1.0,25.0,29.0,5.0,,,,90.0,55.0,6.6,0.0301853,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,16.0,,,4.0,4.0,,1.0,1.0,,,1.0,7.0,,,,1.0,1.0,0.0403,,2.0,2.0,3.0,,,,jeffersonlerma,,1.0,2.0,,1.0,1.0,,,,,
