name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,aerialLost,duelLost,challengeLost,dispossessed,totalContest,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalCross,accurateCross,aerialWon,wonContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,outfielderBlock,expectedGoals,expectedGoalsOnTarget,keyPass,interceptionWon,bigChanceCreated,sofascoreId,penaltyConceded,firstName,lastName,bigChanceMissed,totalOffside,errorLeadToAGoal,punches,penaltyWon,hitWoodwork
Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8187,M,999231,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1098144000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان فيرغسون', 'hi': 'इवान फर्ग्यूसन', 'bn': 'ইভান ফার্গুসন'}, 'shortNameTranslation': {'ar': 'إ. فيرغسون', 'hi': 'ई. फर्ग्यूसन', 'bn': 'ই. ফার্গুসন'}}",13.0,11.0,1.0,1.0,0.0,6.0,7.0,6.0,4.0,2.0,1.0,,,,,,60.0,24.0,6.9,6.0,0.0107644,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,5.0,,3.0,,2.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,0.0474,,1.0,,1.0,EvanFerguson9,,,,,1.0,,,,
Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4472,M,33902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,659577600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني ويلبيك', 'hi': 'डैनी वेल्बेक', 'bn': 'ড্যানি ওয়েলবেক'}, 'shortNameTranslation': {'ar': 'د. ويلبيك', 'hi': 'डी. वेल्बेक', 'bn': 'ডি. ওয়েলবেক'}}",,,,,0.0,,,,,1.0,,,,,,,30.0,2.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,2983,M,962012,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,960422400,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان بول فان هيك', 'hi': 'जान पॉल वैन हेक', 'bn': 'জান পল ভ্যান হেকে'}, 'shortNameTranslation': {'ar': 'ج. ب. فان هيك', 'hi': 'जे.पी. वैन हेक', 'bn': 'জে. পি. ভ্যান হেকে'}}",21.0,19.0,2.0,,0.0,14.0,14.0,7.0,,1.0,,,,,,,27.0,24.0,6.8,2.0,0.00197512,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,
Ansu Fati,ansu-fati,A. Fati,F,31,178,177605,M,962883,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1036022400,"{'value': 10400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",,,,,0.0,,,,,,,,,,,,2.0,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,AnsuFati,,,,,,,,,
Jason Steele,jason-steele,J. Steele,G,23,188,502,M,31867,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,650937600,"{'value': 715000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايسون ستيل', 'hi': 'जेसन स्टील', 'bn': 'জেসন স্টিল'}, 'shortNameTranslation': {'ar': 'ج. ستيل', 'hi': 'जे. स्टील', 'bn': 'জে. স্টিল'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hinshelwood,jack-hinshelwood,J. Hinshelwood,D,13,182,1551,M,1142315,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113177600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هينشلوود', 'hi': 'जैक हिन्शेलवुड', 'bn': 'জ্যাক হিনশেলউড'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'hi': 'जे. हिन्शेलवुड', 'bn': 'জে. হিনশেলউড'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jack Hinshelwood,,,,,,,
Adam Webster,adam-webster,A. Webster,D,4,191,506,M,216308,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789177600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ويبستر', 'hi': 'एडम वेबस्टर', 'bn': 'অ্যাডাম ওয়েবস্টার'}, 'shortNameTranslation': {'ar': 'آ. ويبستر', 'hi': 'ए. वेबस्टर', 'bn': 'এ. ওয়েবস্টার'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud Dahoud,mahmoud-dahoud,M. Dahoud,M,18,177,1888,M,341589,"{'alpha2': 'SY', 'alpha3': 'SYR', 'name': 'Syria', 'slug': 'syria'}",EUR,820454400,"{'value': 2200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمود داوود', 'hi': 'महमूद दाउद', 'bn': 'মাহমুদ দাহৌদ'}, 'shortNameTranslation': {'ar': 'م. داوود', 'hi': 'एम. दाउद', 'bn': 'এম. দাহৌদ'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Lallana,adam-lallana,A. Lallana,M,10,172,1265,M,17054,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,579225600,,"{'nameTranslation': {'ar': 'آدم لالانا', 'hi': 'एडम लल्लाना', 'bn': 'অ্যাডাম লাল্লানা'}, 'shortNameTranslation': {'ar': 'آ. لالانا', 'hi': 'ए. लल्लाना', 'bn': 'এ. লাল্লানা'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4385,M,907668,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,992217600,"{'value': 18800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غيلمور، بيلي', 'hi': 'गिल्मर, बिली', 'bn': 'গিলমোর, বিলি'}, 'shortNameTranslation': {'ar': 'ب. غيلمور', 'hi': 'बी. गिल्मर', 'bn': 'বি. গিলমোর'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,billygilmour,,,,,,,,,
