name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,onTargetScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,aerialWon,dispossessed,totalContest,wonContest,outfielderBlock,interceptionWon,wasFouled,lastManTackle,totalOffside,blockedScoringAttempt,shotOffTarget,goals,penaltyWon,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,penaltyConceded,errorLeadToAShot
Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,351448,M,Rashford,814590,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'hi': 'मार्कस रैशफोर्ड', 'bn': 'মার্কাস রাশফোর্ড'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'hi': 'एम. रैशफोर्ड', 'bn': 'এম. রাশফোর্ড'}}",22.0,19.0,1.0,1.0,10.0,10.0,9.0,12.0,,2.0,,,,90.0,36.0,7.4,7.0,0.0297082,,"{'original': 7.4, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,0.8766,0.984,,1.0,3.0,2.0,,,,,3.0,1.0,,1.0,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",15.0,15.0,3.0,3.0,10.0,10.0,5.0,5.0,,2.0,,,,11.0,16.0,6.8,,0.00152814,,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",3.0,3.0,,,3.0,3.0,,1.0,1.0,,,,,12.0,5.0,6.6,1.0,0.00010995,,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Willy Kambwala,Willy Kambwala,,kambwala-willy,W. Kambwala,D,5,192,2092,M,,1136721,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1093392000,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كامبوالا، ويلي', 'hi': 'कम्बवाला, विली', 'bn': 'কাম্বওয়ালা, উইলি'}, 'shortNameTranslation': {'ar': 'و. كامبوالا', 'hi': 'डब्लू. कम्बवाला', 'bn': 'ডব্লিউ. কাম্বওয়ালা'}}",2.0,2.0,,,2.0,2.0,,,,,,,,1.0,4.0,,2.0,7.82e-06,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermot Mee,,,mee-dermot,D. Mee,G,45,183,1017,M,,1005664,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1037750400,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مي، ديرموت'}, 'shortNameTranslation': {'ar': 'د. مي'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habeeb Ogunneye,Habeeb Ogunneye,,ogunneye-habeeb,H. Ogunneye,D,22,180,882,M,,1150926,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1131753600,"{'value': 77000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغوناي، حبيب'}, 'shortNameTranslation': {'ar': 'ح. أوغوناي'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Collyer,Toby Collyer,,toby-collyer,T. Collyer,M,13,180,7416,M,tobycollyer,1084356,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073088000,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توبي كوليير', 'hi': 'टोबी कोलियर', 'bn': 'টবি কলিয়ার'}, 'shortNameTranslation': {'ar': 'ت. كوليير', 'hi': 'टी. कोलियर', 'bn': 'টি. কলিয়ার'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Pickford,,,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",40.0,32.0,23.0,15.0,21.0,21.0,11.0,19.0,1.0,11.0,,3.0,6.0,90.0,55.0,8.3,8.0,0.0321544,,"{'original': 8.3, 'alternative': 7.6}",0,1.6313,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,1.0,1.0,,,
Ben Godfrey,,,ben-godfrey,B. Godfrey,D,22,183,591,M,,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",39.0,31.0,4.0,1.0,12.0,13.0,20.0,32.0,2.0,8.0,,,,90.0,67.0,6.4,21.0,0.286252,,"{'original': 6.4, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,1.0,,2.0,5.0,,1.0,1.0,1.0,3.0,1.0,0.4274,0.5436,3.0,,1.0,,,2.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,
James Tarkowski,,,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",52.0,49.0,5.0,5.0,21.0,21.0,28.0,31.0,,5.0,,,,90.0,68.0,6.8,6.0,0.0164654,,"{'original': 6.8, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,3.0,8.0,6.0,,,,,1.0,3.0,0.2596,,5.0,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,1.0,,,,,,,1.0,
Jarrad Branthwaite,,,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",55.0,44.0,5.0,2.0,29.0,34.0,15.0,21.0,1.0,7.0,,,,90.0,67.0,6.7,13.0,0.00546175,,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,5.0,,,2.0,2.0,1.0,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
