minute,value
1.0,-3
2.0,-24
3.0,18
4.0,26
5.0,21
6.0,59
7.0,40
8.0,21
9.0,-30
10.0,-4
11.0,15
12.0,36
13.0,67
14.0,49
15.0,29
16.0,14
17.0,-6
18.0,4
19.0,10
20.0,3
21.0,-3
22.0,5
23.0,12
24.0,17
25.0,29
26.0,24
27.0,89
28.0,61
29.0,56
30.0,41
31.0,9
32.0,-1
33.0,-1
34.0,13
35.0,6
36.0,16
37.0,44
38.0,25
39.0,13
40.0,7
41.0,2
42.0,25
43.0,54
44.0,39
45.0,34
45.5,6
46.0,7
47.0,-42
48.0,-29
49.0,27
50.0,13
51.0,44
52.0,41
53.0,28
54.0,19
55.0,43
56.0,27
57.0,-25
58.0,-3
59.0,30
60.0,18
61.0,-11
62.0,5
63.0,28
64.0,18
65.0,15
66.0,13
67.0,11
68.0,17
69.0,14
70.0,14
71.0,6
72.0,19
73.0,14
74.0,44
75.0,33
76.0,24
77.0,40
78.0,13
79.0,9
80.0,-8
81.0,11
82.0,32
83.0,-26
84.0,10
85.0,16
86.0,16
87.0,37
88.0,32
89.0,28
90.0,29
90.5,35
