name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,duelLost,challengeLost,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,hitWoodwork,totalOffside,keyPass,aerialWon,duelWon,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,interceptionWon,fouls,sofascoreId,totalContest,wonContest,wasFouled,dispossessed,bigChanceCreated,shotOffTarget,lastName,punches,outfielderBlock,clearanceOffLine
Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7468,M,252821,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,753408000,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيلسون سيميدو', 'hi': 'नेल्सन सेमेदो', 'bn': 'নেলসন সেমেডো'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'hi': 'एन. सेमेदो', 'bn': 'এন. সেমিডো'}}",32.0,22.0,7.0,2.0,11.0,17.0,16.0,3.0,2.0,4.0,8.0,,,,,90.0,46.0,6.8,11.0,0.110307,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,11.0,1.0,,,,,,,2.0,,,,1.0,1.0,,,,,1.0,nelsonsemedo50,,,1.0,,,,,,1.0,
Tommy Doyle,tommy-doyle,T. Doyle,M,7,172,809,M,932628,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1003276800,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومي دويل', 'hi': 'टॉमी डॉयल', 'bn': 'টমি ডয়েল'}, 'shortNameTranslation': {'ar': 'ت. دويل', 'hi': 'टी. डॉयल', 'bn': 'টি. ডয়েল'}}",38.0,27.0,4.0,4.0,20.0,25.0,13.0,2.0,,2.0,8.0,,,,,90.0,54.0,7.5,13.0,0.00508031,"{'original': 7.5, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,,,,,,,,3.0,,,,3.0,1.0,1.0,,,3.0,1.0,,,,,1.0,,,,,1.0,1.0
Mario Lemina,mario-lemina,M. Lemina,M,99,184,8485,M,307284,"{'alpha2': 'GA', 'alpha3': 'GAB', 'name': 'Gabon', 'slug': 'gabon'}",EUR,746841600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو ليمينا', 'hi': 'मारियो लेमिना', 'bn': 'মারিও লেমিনা'}, 'shortNameTranslation': {'ar': 'م. ليمينا', 'hi': 'एम. लेमिना', 'bn': 'এম. লেমিনা'}}",25.0,20.0,1.0,1.0,15.0,20.0,6.0,8.0,1.0,7.0,6.0,,,,,90.0,48.0,7.2,7.0,0.0128872,"{'original': 7.2, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,1.0,,2.0,,,,,8.0,,1.0,,7.0,2.0,,0.0694,0.0268,3.0,4.0,,,,1.0,1.0,,,,,1.0,
Matt Doherty,matt-doherty,M. Doherty,D,2,182,1503,M,143047,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,695520000,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",31.0,21.0,1.0,,18.0,21.0,11.0,3.0,,2.0,2.0,,,,,90.0,44.0,6.9,12.0,0.0017114,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,,3.0,,1.0,,2.0,5.0,,,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",30.0,23.0,1.0,,10.0,12.0,20.0,4.0,2.0,,3.0,,,,,70.0,45.0,6.8,13.0,0.00777443,"{'original': 6.8, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,13.0,2.0,,,,,1.0,,3.0,,1.0,,,,3.0,0.2278,0.2787,2.0,1.0,,,,3.0,1.0,,1.0,,,,
Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,62297,M,886363,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,927763200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس كونيا', 'hi': 'मैथियस कुन्हा', 'bn': 'ম্যাথিউস কুনহা'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'hi': 'एम. कुन्हा', 'bn': 'এম. কুনহা'}}",20.0,15.0,,,8.0,9.0,11.0,10.0,,1.0,6.0,,,,,90.0,42.0,6.7,15.0,0.163573,"{'original': 6.7, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,,,4.0,,,1.0,,3.0,1.0,1.0,,1.0,,4.0,0.7433,0.1062,1.0,1.0,Cunha,4.0,2.0,,3.0,,2.0,,,1.0,
Pedro Neto,pedro-neto,P. Neto,M,7,172,39950,M,879349,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,952560000,"{'value': 58000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو نيتو', 'hi': 'पेड्रो नेटो', 'bn': 'পেড্রো নেটো'}, 'shortNameTranslation': {'ar': 'ب. نيتو', 'hi': 'पी. नेटो', 'bn': 'পি. নেটো'}}",21.0,15.0,1.0,,9.0,9.0,13.0,4.0,1.0,,6.0,,,,,88.0,29.0,6.8,10.0,0.123294,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,6.0,1.0,,1.0,,,3.0,,2.0,,,,,,1.0,0.07,,,,pedroneto_30,2.0,1.0,1.0,1.0,,1.0,,,,
Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,24690,M,845273,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,898905600,"{'value': 17600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان ريسنير بلغارد', 'hi': 'जीन-रिकनर बेलेगार्डे', 'bn': 'জিন-রিকনার বেলেগার্ড'}, 'shortNameTranslation': {'ar': 'ج-ر. بيلغارد', 'hi': 'जे.आर. बेलेगार्डे', 'bn': 'জে.-আর. বেলগার্ড'}}",5.0,5.0,,,2.0,2.0,3.0,3.0,,1.0,4.0,,,,,20.0,14.0,6.5,4.0,0.00047332,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,1.0,1.0,3.0,,,,,,
Tawanda Chirewa,tawanda-chirewa,T. Chirewa,M,23,181,860,M,1005725,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,1065830400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تاواندا شيريوا', 'hi': 'तवांडा चिरेवा', 'bn': 'তাওয়ান্ডা চিরেওয়া'}, 'shortNameTranslation': {'ar': 'ت. شيريوا', 'hi': 'टी. चिरेवा', 'bn': 'টি. চিরোয়া'}}",1.0,1.0,,,,,1.0,,,,,,,,,2.0,4.0,,,0.00060715,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,,,,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188,263,M,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yerson Mosquera,yerson-mosquera,Y. Mosquera,D,15,188,2989,M,1014835,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988761600,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يرسون موسكيرا', 'hi': 'यर्सन\xa0मॉस्केरा', 'bn': 'ইয়ারসন মস্কেরা'}, 'shortNameTranslation': {'ar': 'ي. موسكيرا', 'hi': 'वाई. मॉस्केरा', 'bn': 'ওয়াই. মস্কেরা'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1209,M,846308,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,910569600,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سانتياغو بويينو', 'hi': 'सैंटियागो ब्यूनो', 'bn': 'সান্তিয়াগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'س. بويينو', 'hi': 'एस. ब्यूनो', 'bn': 'এস. বুয়েনো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,661,M,1013928,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1032307200,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو بوينو', 'hi': 'ह्यूगो ब्यूनो', 'bn': 'হুগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'hi': 'एच. ब्यूनो', 'bn': 'এইচ. বুয়েনো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Hodge,hodge-joe,J. Hodge,M,10,172,268,M,988882,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1031961600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هودج، جو', 'hi': 'हॉज, जो', 'bn': 'হজ, জো'}, 'shortNameTranslation': {'ar': 'ج. هودج', 'hi': 'जे. हॉज', 'bn': 'জে. হজ'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey Griffiths,harvey-griffiths,H. Griffiths,M,8,176,28,M,1065637,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1064188800,"{'value': 165000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي غريفيثس', 'hi': 'हार्वे ग्रिफिथ्स', 'bn': 'হার্ভে গ্রিফিথস'}, 'shortNameTranslation': {'ar': 'ه. غريفيثس', 'hi': 'एच. ग्रिफिथ्स', 'bn': 'এইচ. গ্রিফিথস'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Fraser,nathan-fraser,N. Fraser,F,29,188,828,M,1166679,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1120176000,"{'value': 625000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان فريزر', 'hi': 'नाथन फ्रेजर', 'bn': 'নাথান ফ্রেজার'}, 'shortNameTranslation': {'ar': 'ن. فريزر', 'hi': 'एन. फ्रेजर', 'bn': 'এন. ফ্রেজার'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
