name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,totalContest,shotOffTarget,interceptionWon,expectedGoals,firstName,lastName,aerialLost,lastManTackle,totalTackle,wonTackle,outfielderBlock,fouls,keyPass,wonContest,blockedScoringAttempt,unsuccessfulTouch,onTargetScoringAttempt,goals,wasFouled,expectedGoalsOnTarget,accurateCross,dispossessed,bigChanceCreated,bigChanceMissed,sofascoreId,totalOffside
Arijanet Murić,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",29.0,27.0,4.0,2.0,0.0,23.0,23.0,4.0,6.0,1.0,1.0,1.0,6.0,1.0,2.0,4.0,1.0,90.0,38.0,7.4,2.0,0.0007863,"{'original': 7.4, 'alternative': 7}",0,0.0717,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179,621,M,1009334,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,961632000,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورينز أسينيون', 'hi': 'लोरेन्ज़ एसिग्नोन', 'bn': 'লরেঞ্জ অ্যাসিগনন'}, 'shortNameTranslation': {'ar': 'ل. أسينيون', 'hi': 'एल. एसिग्नोन', 'bn': 'এল. অ্যাসিগনন'}}",24.0,18.0,,,0.0,2.0,3.0,16.0,22.0,,,3.0,2.0,,,,,45.0,35.0,6.3,8.0,0.0205552,"{'original': 6.3, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,1.0,1.0,1.0,0.0096,,,,,,,,,,,,,,,,,,,,,,
Dara O'Shea,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",73.0,61.0,4.0,1.0,0.0,20.0,24.0,41.0,50.0,7.0,10.0,1.0,1.0,,,,,90.0,82.0,7.0,13.0,0.0243572,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,,,,2.0,,,,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,
Maxime Estève,maxime-esteve,M. Estève,D,5,192,1543,M,1117223,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1022371200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسيم إستيف', 'hi': 'मैक्सिम एस्टेवे', 'bn': 'ম্যাক্সিম এস্টেভ'}, 'shortNameTranslation': {'ar': 'م. إستيف', 'hi': 'एम. एस्टेवे', 'bn': 'এম. এস্তেভ'}}",83.0,75.0,6.0,3.0,0.0,25.0,27.0,50.0,58.0,,2.0,4.0,8.0,,,,,90.0,99.0,6.9,10.0,0.0210116,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,,,1.0,2.0,0.0206,Maxime Estève,,3.0,,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,
Charlie Taylor,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",36.0,35.0,1.0,1.0,0.0,10.0,10.0,25.0,27.0,,,,6.0,,,,,75.0,39.0,6.5,2.0,0.0271368,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,
Wilson Odobert,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",53.0,46.0,1.0,1.0,0.0,6.0,7.0,40.0,50.0,,5.0,,2.0,,,,,90.0,77.0,7.1,18.0,0.0716926,"{'original': 7.1, 'alternative': 6.6}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,3.0,,7.0,3.0,,0.2952,,,,,,,,1.0,,5.0,2.0,2.0,,,,,,,,,,
Josh Cullen,cullen-josh,J. Cullen,M,24,175,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",79.0,74.0,1.0,1.0,0.0,21.0,21.0,53.0,58.0,,3.0,,9.0,,,,,83.0,89.0,7.8,6.0,0.0722638,"{'original': 7.8, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,2.0,,,1.0,1.0,0.1535,,,1.0,,2.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,0.2625,,,,,,
Sander Berge,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",129.0,125.0,8.0,7.0,0.0,31.0,31.0,94.0,98.0,1.0,1.0,,6.0,,,,,90.0,131.0,7.7,5.0,0.15726,"{'original': 7.7, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,,,,,,1.0,,,,,1.0,3.0,,,1.0,,,,,,,,,,
Jacob Bruun Larsen,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",20.0,18.0,,,0.0,4.0,4.0,16.0,20.0,,1.0,,3.0,,,,,45.0,34.0,6.6,9.0,0.100239,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,5.0,,5.0,,1.0,0.0627,,,,,,,,,3.0,1.0,2.0,,,,,,2.0,1.0,1.0,,,
Lyle Foster,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",28.0,23.0,1.0,1.0,0.0,1.0,1.0,22.0,27.0,,2.0,1.0,1.0,,,,,90.0,39.0,6.9,11.0,0.0759477,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,7.0,,2.0,,,,,,5.0,,,,,,2.0,1.0,,4.0,,,1.0,,,1.0,,,,
