name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAShot,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,hitWoodwork,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,aerialLost,aerialWon,dispossessed,onTargetScoringAttempt,goals,totalClearance,expectedGoalsOnTarget,goalAssist,blockedScoringAttempt,bigChanceMissed,goodHighClaim,outfielderBlock,errorLeadToAGoal
Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15531,M,AGordon,914902,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982972800,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوردون، أنتوني', 'hi': 'गॉर्डन, एंथनी', 'bn': 'গর্ডন, অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أ. غوردون', 'hi': 'ए. गॉर्डन', 'bn': 'এ. গর্ডন'}}",20.0,17.0,,,7.0,9.0,11.0,12.0,4.0,,,,,,89.0,42.0,8.0,10.0,0.235771,"{'original': 8, 'alternative': 7.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,9.0,5.0,2.0,2.0,,1.0,,,1.0,1.0,,2.0,4.0,1.0,0.1309,1.0,1.0,,3.0,1.0,1.0,,0.421,1.0,2.0,,,,
Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,305,M,,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",9.0,6.0,,,2.0,3.0,4.0,7.0,1.0,,,,,,9.0,11.0,6.7,4.0,0.00136519,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
Paul Dummett,,,paul-dummett,P. Dummett,D,,183,150,M,,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",8.0,8.0,,,6.0,6.0,2.0,2.0,,,,,,,9.0,9.0,6.6,,0.00273052,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Alex Murphy,,,alex-murphy,A. Murphy,D,37,188,673,M,,1125214,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1088121600,"{'value': 315000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اليكس ميرفي', 'hi': 'एलेक्स मर्फी', 'bn': 'অ্যালেক্স মারফি'}, 'shortNameTranslation': {'ar': 'ا. ميرفي', 'hi': 'ए. मर्फी', 'bn': 'এ. মারফি'}}",4.0,4.0,,,3.0,3.0,1.0,1.0,1.0,,,,,,8.0,5.0,6.5,,0.00022115,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
Amadou Diallo,,,diallo-amadou,A. Diallo,D,16,166,177,M,,1000449,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1045267200,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أمادو', 'hi': 'डायलो, अमाडौ', 'bn': 'ডায়ালো, আমাদৌ'}, 'shortNameTranslation': {'ar': 'د. أمادو', 'hi': 'ए. डायलो', 'bn': 'এ. ডায়ালো'}}",1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,9.98e-06,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Ndiweni,Michael,Ndiweni,ndiweni-michael,M. Ndiweni,F,9,174,61,M,,1082894,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1070323200,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ندويني، مايكل', 'hi': 'एनडिवेनी, माइकल', 'bn': 'এন্ডিওয়েনি, মাইকেল'}, 'shortNameTranslation': {'ar': 'ن. مايكل', 'hi': 'एम. एनडिवेनी', 'bn': 'এম. এন্ডিওয়েনি'}}",2.0,1.0,,,1.0,2.0,,,,,,,,,1.0,2.0,,1.0,3.042e-05,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loris Karius,,,loris-karius,L. Karius,G,1,190,1695,M,,174135,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,740707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوريس كاريوس', 'hi': 'लोरिस केरियस', 'bn': 'লরিস ক্যারিয়াস'}, 'shortNameTranslation': {'ar': 'ل. كاريوس', 'hi': 'एल. केरियस', 'bn': 'এল. কারিয়াস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3025,M,,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Gillespie,,,mark-gillespie,M. Gillespie,G,29,190,383,M,,108508,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,701654400,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك جيليسبي', 'hi': 'मार्क गिलेस्पी', 'bn': 'মার্ক গিলেস্পি'}, 'shortNameTranslation': {'ar': 'م. جيليسبي', 'hi': 'एम. गिलेस्पी', 'bn': 'এম. গিলেস্পি'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Parkinson,Ben Parkinson,,parkinson-ben,B. Parkinson,F,40,183,117,M,,1409087,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1110412800,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باركنسون، بن', 'hi': 'पार्किंसन, बेन', 'bn': 'পারকিনসন, বেন'}, 'shortNameTranslation': {'ar': 'ب. باركنسون', 'hi': 'बी. पार्किंसन', 'bn': 'বি. পার্কিনসন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
