name,firstName,lastName,slug,shortName,position,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,jerseyNumber,sofascoreId
Paul Dummett,,,paul-dummett,P. Dummett,D,150,M,185995,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",37.3,56.944444444444,9,home,,
Michael Ndiweni,Michael,Ndiweni,ndiweni-michael,M. Ndiweni,F,61,M,1082894,"{'nameTranslation': {'ar': 'ندويني، مايكل', 'hi': 'एनडिवेनी, माइकल', 'bn': 'এন্ডিওয়েনি, মাইকেল'}, 'shortNameTranslation': {'ar': 'ن. مايكل', 'hi': 'एम. एनडिवेनी', 'bn': 'এম. এন্ডিওয়েনি'}}",35.05,77.35,2,home,9,
Alex Murphy,,,alex-murphy,A. Murphy,D,673,M,1125214,"{'nameTranslation': {'ar': 'اليكس ميرفي', 'hi': 'एलेक्स मर्फी', 'bn': 'অ্যালেক্স মারফি'}, 'shortNameTranslation': {'ar': 'ا. ميرفي', 'hi': 'ए. मर्फी', 'bn': 'এ. মারফি'}}",42.025,84.825,8,home,37,
Alexander Isak,,,alexander-isak,A. Isak,F,101689,M,823941,"{'nameTranslation': {'ar': 'ألكسندر إيزاك', 'hi': 'अलेक्जेंडर इसाक', 'bn': 'আলেকজান্ডার ইসাক'}, 'shortNameTranslation': {'ar': 'أ. إيزاك', 'hi': 'ए. इसाक', 'bn': 'এ. ইসাক'}}",69.255,45.82,20,home,9,AlexIsak
Amadou Diallo,,,diallo-amadou,A. Diallo,D,177,M,1000449,"{'nameTranslation': {'ar': 'ديالو، أمادو', 'hi': 'डायलो, अमाडौ', 'bn': 'ডায়ালো, আমাদৌ'}, 'shortNameTranslation': {'ar': 'د. أمادو', 'hi': 'ए. डायलो', 'bn': 'এ. ডায়ালো'}}",46.9,7.5,1,home,16,
Matt Ritchie,,,matt-ritchie,M. Ritchie,M,305,M,42699,"{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",58.384615384615,32.253846153846,13,home,30,
Nick Pope,,,nick-pope,N. Pope,G,4568,M,162653,"{'nameTranslation': {'ar': 'نيك بوب', 'hi': 'निक पोप', 'bn': 'নিক পোপ'}, 'shortNameTranslation': {'ar': 'ن. بوب', 'hi': 'एन. पोप', 'bn': 'এন. পোপ'}}",10.735294117647,48.120588235294,34,home,1,npope29
Lewis Miley,Lewis Miley,,lewis-miley,L. Miley,M,3070,M,1400650,"{'nameTranslation': {'ar': 'لويس مايلي', 'hi': 'लुईस माइली', 'bn': 'লুইস মাইলি'}, 'shortNameTranslation': {'ar': 'ل. مايلي', 'hi': 'एल. माइली', 'bn': 'এল. মাইলি'}}",60.9,30.268888888889,45,home,67,
Kieran Trippier,,,kieran-trippier,K. Trippier,D,8611,M,69256,"{'nameTranslation': {'ar': 'كيران تريبيير', 'hi': 'किरन ट्रिप्पियर', 'bn': 'কাইরান ট্রিপিয়ার'}, 'shortNameTranslation': {'ar': 'ك. تريبيير', 'hi': 'के.ट्रिप्पियर', 'bn': 'কে. ট্রিপিয়ার'}}",55.623134328358,21.144776119403,134,home,2,ktrippier2
Miguel Almirón,,,miguel-almiron,M. Almirón,M,8455,M,333373,"{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",63.953846153846,29.817307692308,52,home,10,miguel_almiron
