minute,value
1.0,-7
2.0,-16
3.0,-57
4.0,-40
5.0,-35
6.0,-29
7.0,-18
8.0,-4
9.0,50
10.0,100
11.0,58
12.0,18
13.0,11
14.0,8
15.0,6
16.0,48
17.0,25
18.0,11
19.0,47
20.0,29
21.0,17
22.0,71
23.0,39
24.0,16
25.0,5
26.0,38
27.0,26
28.0,23
29.0,43
30.0,22
31.0,6
32.0,35
33.0,16
34.0,3
35.0,-5
36.0,17
37.0,46
38.0,29
39.0,57
40.0,24
41.0,35
42.0,29
43.0,51
44.0,35
45.0,100
45.5,31
46.0,3
47.0,-3
48.0,21
49.0,16
50.0,50
51.0,27
52.0,13
53.0,37
54.0,21
55.0,12
56.0,9
57.0,-16
58.0,13
59.0,-7
60.0,28
61.0,10
62.0,3
63.0,-19
64.0,-9
65.0,-7
66.0,-3
67.0,-17
68.0,-8
69.0,-2
70.0,-21
71.0,-13
72.0,-15
73.0,-17
74.0,-7
75.0,4
76.0,4
77.0,-19
78.0,-12
79.0,-10
80.0,-9
81.0,-61
82.0,-22
83.0,20
84.0,3
85.0,-38
86.0,-21
87.0,-4
88.0,-39
89.0,-27
90.0,46
90.5,-2
