id,league_id,name
12201,2047,2019
13183,2077,Chinese qualifier 2019
11913,2077,2019
39254,2077,CS2 2023
67964,2077,Europe Open Qualifier 2025
73350,2077,2025
52801,2104,World Final 2024
21514,2104,Finals Fall 2021
13955,2104,Groups Fall 2023
11933,2104,American Showdown Fall 2023
50917,2104,Final Fall 2024
14584,2104,Finals Spring 2023
18451,2104,Paris Major: South America RMR Open Qualifier 1 2023
15062,2104,American Showdown Spring 2023
15422,2104,European Showdown Spring 2023
23877,2104,European Showdown Spring 2020
16306,2104,Paris Major: Europe RMR Closed Qualifier Decider 2023
17003,2104,Paris Major: Chinese RMR Closed Qualifier 1 2023
17620,2104,Paris Major: Oceania RMR Open Qualifier 1 2023
17878,2104,Paris Major: North America RMR Open Qualifier 2 2023
18926,2104,Paris Major: Europe RMR Open Qualifier 1 2023
19150,2104,Groups Spring 2023
19368,2104,World Final 2022
23950,2104,CIS Cup 2020
19599,2104,Finals Fall 2022
24090,2104,Regular Season Spring 2020
20147,2104,Groups Fall 2022
20764,2104,European Showdown Spring 2022
21065,2104,Groups Spring 2022
21719,2104,Showdown Fall 2021
22028,2104,Chinese Qualifier Fall 2021
21862,2104,Groups Fall 2021
22152,2104,Chinese Closed Qualifier Fall 2021
22658,2104,North American Open Qualifier #1 Spring 2021
22824,2104,Spring 2021
22475,2104,Showdown Spring 2021
23059,2104,Finals Fall 2020
22938,2104,Global Final 2020
23180,2104,Showdown Fall 2020
23403,2104,Regular Season Fall 2020
23477,2104,American Finals Spring 2020
23672,2104,European Finals Spring 2020
18171,2104,Paris Major: North America RMR Open Qualifier 1 2023
40135,2104,World Final 2023
13074,2104,European Showdown Fall 2023
16671,2104,Paris Major: Asian RMR Closed Qualifier 1 2023
15889,2104,Paris Major: Middle Eastern RMR Qualifier 2023
39535,2104,Final Fall 2023
45024,2104,Final Spring 2024
56090,2104,Bounty Closed Qualifier 2025
41080,2104,Groups Spring 2024
17313,2104,Paris Major: Oceania RMR Closed Qualifier1 2023
20391,2104,American Showdown Spring 2022
21189,2104,World Final 2021
18694,2104,Paris Major: Europe RMR Open Qualifier 2 2023
19981,2104,European Showdown Fall 2022
