id,league_id,name
68482,2047,Playoffs
71654,2077,Asia Championships Playoffs
71295,2077,Asia Championships Group A
71298,2077,Asia Championships Group B
68249,2077,Group a
68225,2077,Playoffs
68245,2077,Group b
102999,2077,Asia Championships Stage 2
102998,2077,Asia Championships Stage 1
8284,2104,BLAST Premier Group B
8285,2104,BLAST Premier Group A
8464,2104,BLAST Premier Playoffs
8442,2104,BLAST Premier Group A
8443,2104,BLAST Premier Group B
8922,2104,BLAST Premier Last Chance Stage
8997,2104,BLAST Premier Last Chance
9123,2104,BLAST Premier Play-In
9357,2104,BLAST Premier Group C
9376,2104,BLAST Premier Group A
9377,2104,BLAST Premier Group B
34188,2104,BLAST Premier Regular
32516,2104,BLAST Premier Play-In Stage
32560,2104,BLAST Premier Group C
76083,2104,BLAST Premier Group D
67150,2104,BLAST Premier Group b
67149,2104,BLAST Premier Group a
66952,2104,BLAST Premier Playoffs
66901,2104,BLAST Premier Playoffs
66900,2104,BLAST Premier Playoffs
67125,2104,BLAST Premier Playoffs
67061,2104,BLAST Premier Playoffs
8167,2128,Grand Final
8170,2128,Group Stage
8353,2128,Play-in finals
8598,2128,Playoffs
68485,2128,BLAST Pro Series Play-in
