id,name,class_id
2047,Arctic Invitational,112
2077,Asia Championships,112
2104,BLAST Premier,112
2128,BLAST Pro Series,112
2142,Champions Cup,112
2157,cs_summit,112
2175,DreamHack,112
2191,ECS,112
2211,ELEAGUE,112
2225,EPICENTER,112
2234,ESL,112
2241,Flashpoint,112
2262,IEM,112
2280,MLG Columbus,112
2300,PGL Major,112
2316,StarLadder,112
2341,StarLadder StarSeries,112
2362,StarSeries & i-League,112
2379,1XeSport,112
2394,5E,112
2404,99Damage,112
2421,Adria,112
2472,Ambush Esportal,112
2488,Aorus,112
2505,Argentina Game Show,112
2523,Asia Champions League,112
2549,Asian Legend Challenge League,112
2565,Assembly,112
2583,Baltic Masters,112
2595,Battle of Betway,112
2612,Bellum Gens Elite,112
2621,BESL,112
2636,Betano Masters Europe,112
2653,Betway Asia Masters,112
2662,Binance Super Cup,112
2687,BLAST Nordic Masters,112
2702,BLAST Rising,112
2712,Blackrocks Esports,112
2728,Calyx Dune Cup,112
2755,CBCS,112
2761,CEE Champions,112
2775,Challenge Cup,112
2790,Charleroi Esports,112
2792,Christmas Bash,112
2801,CLUTCH BR,112
2814,CMD368 Championship,112
2831,Conquerors Insignia,112
2837,Copa Compumundo Gaming,112
2849,CSadria Clan Championship,112
2902,CSGOFAST,112
