id,match_id,map,home_team_score,away_team_score,has_statistics,has_rounds,has_lineups
262178,244011,,,,False,False,False
262180,244012,,,,False,False,False
262275,244020,,,,False,True,True
262289,244020,Dust2,,,False,True,True
262302,244020,Overpass,,,False,False,False
262276,244027,,,,False,True,True
262294,244027,,,,False,True,True
262307,244027,Inferno,,,False,False,False
262274,244029,,,,False,True,True
262287,244029,,,,False,True,True
262300,244029,Dust2,,,False,False,False
262277,244042,,,,False,True,True
262296,244042,,,,False,False,False
9669,11282,Mirage,16,11,False,True,True
9670,11282,Inferno,14,16,False,True,True
9671,11282,Nuke,16,12,False,True,True
10196,12044,Anubis,8,16,False,True,True
10197,12044,Ancient,16,10,False,True,True
10200,12044,Overpass,16,14,False,True,True
10198,12048,Mirage,16,9,False,True,True
10199,12048,Inferno,16,10,False,True,True
10384,12278,Ancient,8,16,False,True,True
10385,12278,Nuke,16,6,False,True,True
10387,12278,Overpass,16,12,False,True,True
10513,12470,Overpass,16,7,False,True,True
10514,12470,Inferno,16,8,False,True,True
14496,19276,Nuke,19,16,False,True,True
14497,19276,Inferno,16,10,False,True,True
14491,19277,Vertigo,16,14,False,True,True
14492,19277,Ancient,14,16,False,True,True
14493,19277,Overpass,16,14,False,True,True
14665,19540,Inferno,16,7,False,True,True
14666,19540,Nuke,16,6,False,True,True
14667,19541,Overpass,16,5,False,True,True
14668,19541,Mirage,16,6,False,True,True
34058,38559,Mirage,16,14,False,True,True
34061,38559,Ancient,16,6,False,True,True
34411,38976,Mirage,16,12,False,True,True
34413,38976,Ancient,8,16,False,True,True
34415,38976,Overpass,16,10,False,True,True
34727,39174,Mirage,16,7,False,True,True
34728,39174,Ancient,11,16,False,True,True
34729,39174,Inferno,16,4,False,True,True
34732,39175,Anubis,2,16,False,True,True
34733,39175,Overpass,12,16,False,True,True
35000,39332,Ancient,6,16,False,True,True
35001,39332,Nuke,20,22,False,True,True
35117,39401,Inferno,16,6,False,True,True
35119,39401,Overpass,16,9,False,True,True
37752,40791,Inferno,16,14,False,True,True
37753,40791,Mirage,16,9,False,True,True
37747,40792,Inferno,10,16,False,True,True
37748,40792,Ancient,16,8,False,True,True
37749,40792,Nuke,14,16,False,True,True
37911,40864,Inferno,16,19,False,True,True
37912,40864,Nuke,11,16,False,True,True
37903,40865,Inferno,11,16,False,True,True
37904,40865,Mirage,16,9,False,True,True
37905,40865,Anubis,19,22,False,True,True
40345,42225,Dust2,4,16,False,True,True
40346,42225,Mirage,14,16,False,True,True
40350,42226,Inferno,14,16,False,True,True
40351,42226,Dust2,16,12,False,True,True
40352,42226,Mirage,7,16,False,True,True
40446,42286,Dust2,16,14,False,True,True
40447,42286,Mirage,16,7,False,True,True
40448,42287,Vertigo,16,10,False,True,True
40449,42287,Mirage,16,14,False,True,True
51301,48554,Mirage,12,16,False,True,True
51302,48555,Vertigo,14,16,False,True,True
51303,48556,Mirage,16,14,False,True,True
51305,48557,Overpass,3,16,False,True,True
51306,48559,Dust2,4,16,False,True,True
51437,48621,Overpass,9,16,False,True,True
60010,53755,Dust2,16,13,False,True,True
60011,53755,Vertigo,16,9,False,True,True
60008,53757,Mirage,16,10,False,True,True
60009,53757,Dust2,16,8,False,True,True
60168,53850,Inferno,16,7,False,True,True
60169,53850,Mirage,12,16,False,True,True
60170,53850,Ancient,13,16,False,True,True
60177,53851,Mirage,19,16,False,True,True
60178,53851,Nuke,16,13,False,True,True
79069,64829,Dust2,12,16,False,True,True
79073,64830,Ancient,8,16,False,True,True
79070,64831,Mirage,17,19,False,True,True
79071,64832,Overpass,9,16,False,True,True
79072,64833,Inferno,16,8,False,False,True
79163,64893,Ancient,9,16,False,True,True
91111,71701,Dust2,12,16,False,True,True
91112,71701,Inferno,17,19,False,True,True
91115,71704,Dust2,14,16,False,True,True
91117,71704,Mirage,16,13,False,True,True
91119,71704,Inferno,16,5,False,True,True
91246,71766,Ancient,16,7,False,True,True
91247,71766,Mirage,14,16,False,True,True
91248,71766,Inferno,9,16,False,True,True
91249,71768,Mirage,4,16,False,True,True
91250,71768,Nuke,9,16,False,True,True
91363,71835,Mirage,16,11,False,True,True
91364,71835,Inferno,16,7,False,True,True
91365,71837,Dust2,16,9,False,True,True
91369,71837,Inferno,16,6,False,True,True
94467,73658,Inferno,22,19,False,True,True
94469,73659,Nuke,16,4,False,True,True
94470,73660,Mirage,12,16,False,True,True
94471,73661,Inferno,16,11,False,True,True
9836,11445,Mirage,13,16,False,True,True
9837,11445,Overpass,14,16,False,True,True
9985,11669,Mirage,9,16,False,True,True
9987,11669,Overpass,16,7,False,True,True
9988,11669,Nuke,20,22,False,True,True
10282,12157,Inferno,16,1,False,True,True
10283,12157,Vertigo,16,6,False,True,True
10284,12158,Inferno,20,22,False,True,True
10285,12158,Vertigo,11,16,False,True,True
10518,12469,Overpass,16,6,False,True,True
10519,12469,Vertigo,16,3,False,True,True
10515,12471,Inferno,16,14,False,True,True
10516,12471,Nuke,12,16,False,True,True
10517,12471,Overpass,13,16,False,True,True
14498,19279,Overpass,16,13,False,True,True
14499,19279,Anubis,19,17,False,True,True
14503,19280,Ancient,7,16,False,True,True
14504,19280,Inferno,16,13,False,True,True
14505,19280,Nuke,13,16,False,True,True
14669,19542,Overpass,3,16,False,True,True
14670,19542,Vertigo,14,16,False,True,True
14673,19543,Vertigo,16,11,False,True,True
14675,19543,Inferno,16,11,False,True,True
34233,38782,Mirage,16,11,False,True,True
34236,38782,Nuke,13,16,False,True,True
34240,38782,Vertigo,16,8,False,True,True
34412,38977,Nuke,16,9,False,True,True
34414,38977,Overpass,2,16,False,True,True
34416,38977,Mirage,5,16,False,True,True
34859,39247,Overpass,11,16,False,True,False
34861,39247,Inferno,1,16,False,True,True
34860,39248,Inferno,10,16,False,True,True
34862,39248,Mirage,16,4,False,True,True
34863,39248,Vertigo,16,4,False,True,True
35121,39402,Inferno,16,7,False,True,True
35123,39402,Ancient,14,16,False,True,True
35124,39402,Overpass,14,16,False,True,True
35120,39403,Overpass,16,12,False,True,True
35122,39403,Vertigo,19,15,False,True,True
37899,40863,Inferno,12,16,False,True,True
37900,40863,Mirage,1,16,False,True,True
37906,40868,Mirage,16,14,False,True,True
37907,40868,Inferno,5,16,False,True,True
37908,40868,Anubis,9,16,False,True,True
38015,40925,Inferno,16,10,False,True,True
38016,40925,Anubis,8,16,False,True,True
38017,40925,Mirage,8,16,False,True,True
