minute,value
1.0,1
2.0,-11
3.0,11
4.0,6
5.0,6
6.0,6
7.0,7
8.0,6
9.0,6
10.0,15
11.0,11
12.0,9
13.0,47
14.0,32
15.0,7
16.0,-14
17.0,-3
18.0,24
19.0,49
20.0,36
21.0,91
22.0,74
23.0,100
24.0,67
25.0,2
26.0,5
27.0,-61
28.0,-37
29.0,-18
30.0,-3
31.0,4
32.0,12
33.0,13
34.0,14
35.0,14
36.0,31
37.0,38
38.0,23
39.0,-40
40.0,-5
41.0,9
42.0,8
43.0,12
44.0,16
45.0,21
45.5,75
46.0,-10
47.0,-29
48.0,-9
49.0,-33
50.0,-28
51.0,65
52.0,19
53.0,-45
54.0,-17
55.0,-35
56.0,-30
57.0,40
58.0,19
59.0,-20
60.0,-13
61.0,-17
62.0,-31
63.0,-17
64.0,-8
65.0,10
66.0,7
67.0,7
68.0,47
69.0,29
70.0,18
71.0,12
72.0,9
73.0,4
74.0,4
75.0,1
76.0,-1
77.0,-1
78.0,18
79.0,10
80.0,-6
81.0,-19
82.0,-32
83.0,-10
84.0,8
85.0,31
86.0,25
87.0,45
88.0,31
89.0,23
90.0,17
90.5,24
