minute,value
1.0,2
2.0,5
3.0,-33
4.0,-19
5.0,-9
6.0,-55
7.0,-29
8.0,-30
9.0,-33
10.0,-46
11.0,-18
12.0,-4
13.0,-22
14.0,-12
15.0,-37
16.0,-45
17.0,-29
18.0,-7
19.0,-16
20.0,-3
21.0,2
22.0,15
23.0,3
24.0,-12
25.0,-42
26.0,-27
27.0,-56
28.0,-42
29.0,-74
30.0,-44
31.0,-62
32.0,-27
33.0,-14
34.0,28
35.0,4
36.0,-11
37.0,-25
38.0,-11
39.0,12
40.0,17
41.0,34
42.0,54
43.0,100
44.0,71
45.0,51
45.5,81
46.0,-6
47.0,6
48.0,8
49.0,21
50.0,-27
51.0,-4
52.0,37
53.0,61
54.0,40
55.0,38
56.0,61
57.0,32
58.0,14
59.0,-16
60.0,-28
61.0,-24
62.0,-16
63.0,-12
64.0,-12
65.0,10
66.0,-6
67.0,-25
68.0,-23
69.0,-22
70.0,-93
71.0,-50
72.0,-38
73.0,-59
74.0,-36
75.0,69
76.0,31
77.0,45
78.0,31
79.0,12
80.0,1
81.0,-1
82.0,6
83.0,4
84.0,6
85.0,7
86.0,7
87.0,-29
88.0,-13
89.0,-25
90.0,-12
90.5,-22
