name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,totalOffside,expectedGoals,expectedGoalsOnTarget,keyPass,totalClearance,outfielderBlock,firstName,lastName,clearanceOffLine,hitWoodwork,bigChanceCreated,goals,penaltyWon,goalAssist,goodHighClaim,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,lastManTackle,errorLeadToAShot
Raheem Sterling,raheem-sterling,R. Sterling,F,30,170,37771,M,Sterling7,138534,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786844800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'hi': 'रहीम स्टर्लिंग', 'bn': 'রাহিম স্টার্লিং'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'hi': 'आर. स्टर्लिंग', 'bn': 'আর. স্টার্লিং'}}",13.0,13.0,,,,,13.0,14.0,,,,,17.0,18.0,7.2,2.0,0.243994,"{'original': 7.2, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,0.5684,0.2337,1.0,,,,,,,1.0,,,1.0,,,,,,,
Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183,4501,M,,1114837,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069977600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي جيلكريست', 'hi': 'अल्फी गिलक्रिस्ट', 'bn': 'আলফি গিলক্রিস্ট'}, 'shortNameTranslation': {'ar': 'أ. جيلكريست', 'hi': 'ए. गिलक्रिस्ट', 'bn': 'এ. গিলক্রিস্ট'}}",7.0,5.0,,,1.0,3.0,4.0,4.0,,,,,9.0,9.0,6.6,2.0,0.00649698,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,1.0,,,,,,,,0.019,,,,,,,,,,,,,,,,,,,
Marcus Bettinelli,marcus-bettinelli,M. Bettinelli,G,13,194,7252,M,marcusbettss,257993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,706665600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس بتينلي', 'hi': 'मार्कस बेट्टीनेली', 'bn': 'মার্কাস বেটিনেলি'}, 'shortNameTranslation': {'ar': 'م. بتينلي', 'hi': 'एम. बेट्टीनेली', 'bn': 'এম. বেটিনেল্লি'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,thiago-silva,T. Silva,D,,181,43819,M,ThiagoSilva,33541,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,464659200,"{'value': 560000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تياغو سيلفا', 'hi': 'थियागो सिल्वा', 'bn': 'থিয়াগো সিলভা'}, 'shortNameTranslation': {'ar': 'ت. سيلفا', 'hi': 'टी. सिल्वा', 'bn': 'টি. সিলভা'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Acheampong,josh-acheampong,J. Acheampong,D,34,190,13291,M,joshkofi2,1403050,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1146787200,"{'value': 19300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش أتشيمبونج', 'hi': 'जोश अचेमपोंग', 'bn': 'জোশ আচেম্পং'}, 'shortNameTranslation': {'ar': 'ج. أتشيمبونج', 'hi': 'जे. अचेमपोंग', 'bn': 'জে. আচেম্পং'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Acheampong,,,,,,,,,,,,,,
Cesare Casadei,cesare-casadei,C. Casadei,M,22,192,6954,M,cesarecasadei,1016788,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1042156800,"{'value': 15600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيزار كاسادي', 'hi': 'सेसरे कासादेई', 'bn': 'সিজার ক্যাসাডেই'}, 'shortNameTranslation': {'ar': 'س. كاسادي', 'hi': 'सी. कासादेई', 'bn': 'সি. ক্যাসাডেই'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimi Tauriainen,jimi-tauriainen,J. Tauriainen,M,42,188,628,M,,1391111,"{'alpha2': 'FI', 'alpha3': 'FIN', 'name': 'Finland', 'slug': 'finland'}",EUR,1078790400,"{'value': 105000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي توريانين'}, 'shortNameTranslation': {'ar': 'ج. توريانين'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimi Tauriainen,,,,,,,,,,,,,,
Deivid Washington,deivid-washington,D. Washington,F,33,186,7071,M,deividwashington_,1485371,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1117929600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد واشنطن', 'hi': 'डेविड वॉशिंगटन', 'bn': 'ডেভিড ওয়াশিংটন'}, 'shortNameTranslation': {'ar': 'د. واشنطن', 'hi': 'डी. वॉशिंगटन', 'bn': 'ডি. ওয়াশিংটন'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,Deivid Washington,,,,,,,,,,,,,,
Arijanet Murić,arijanet-muric,A. Murić,G,49,198,1759,M,,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",38.0,25.0,30.0,17.0,13.0,15.0,12.0,23.0,18.0,,8.0,11.0,90.0,65.0,10.0,15.0,0.00611259,"{'original': 10, 'alternative': 9}",0,2.8159,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,3.0,1.0,3.0,2.0,,,
Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179,621,M,,1009334,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,961632000,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورينز أسينيون', 'hi': 'लोरेन्ज़ एसिग्नोन', 'bn': 'লরেঞ্জ অ্যাসিগনন'}, 'shortNameTranslation': {'ar': 'ل. أسينيون', 'hi': 'एल. एसिग्नोन', 'bn': 'এল. অ্যাসিগনন'}}",9.0,8.0,,,3.0,3.0,5.0,6.0,1.0,,,,40.0,17.0,5.4,2.0,0.00875878,"{'original': 5.4, 'alternative': 5.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,4.0,3.0,2.0,,,,,,,,1.0,1.0,,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,
