name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,blockedScoringAttempt,hitWoodwork,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,totalCross,accurateCross,challengeLost,dispossessed,onTargetScoringAttempt,goals,interceptionWon,expectedGoalsOnTarget,firstName,lastName,totalContest,wonContest,bigChanceMissed,sofascoreId,goalAssist,totalOffside,goodHighClaim
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",35.0,25.0,24.0,14.0,17.0,21.0,8.0,14.0,1.0,5.0,1.0,4.0,1.0,1.0,90.0,41.0,7.7,10.0,0.0294955,1.0,"{'original': 7.7, 'alternative': 7.3}",0,0.7992,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",53.0,35.0,6.0,2.0,22.0,30.0,13.0,23.0,,6.0,,,,,90.0,76.0,7.9,19.0,0.151908,3.0,"{'original': 7.9, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,9.0,4.0,13.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,0.1074,,,,,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",31.0,26.0,3.0,1.0,21.0,22.0,6.0,11.0,,7.0,,,,,90.0,51.0,8.0,8.0,0.10908,2.0,"{'original': 8, 'alternative': 7.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,5.0,7.0,,1.0,,3.0,,2.0,1.0,1.0,2.0,,0.4168,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4068,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",28.0,19.0,5.0,2.0,9.0,13.0,10.0,15.0,,5.0,,,,,90.0,37.0,6.9,10.0,0.235852,2.0,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,2.0,4.0,,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",19.0,14.0,4.0,2.0,4.0,5.0,11.0,19.0,1.0,3.0,,,,,87.0,30.0,7.1,10.0,0.150508,1.0,"{'original': 7.1, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,3.0,3.0,,,,2.0,,,,,2.0,,,5.0,1.0,,1.0,,,,,Mads,Roerslev,1.0,1.0,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",37.0,31.0,4.0,4.0,10.0,14.0,27.0,36.0,1.0,7.0,,,,,90.0,71.0,8.0,21.0,0.366573,6.0,"{'original': 8, 'alternative': 8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,4.0,,,,1.0,,2.0,2.0,1.0,,,,13.0,6.0,2.0,2.0,,,2.0,,,,3.0,2.0,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",52.0,39.0,5.0,2.0,16.0,19.0,25.0,38.0,,10.0,,,,,90.0,83.0,8.3,18.0,0.234892,3.0,"{'original': 8.3, 'alternative': 8.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,3.0,11.0,2.0,1.0,,2.0,,5.0,4.0,1.0,2.0,1.0,0.1109,5.0,2.0,1.0,1.0,,,2.0,,,,1.0,1.0,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",26.0,14.0,3.0,1.0,5.0,6.0,10.0,22.0,,2.0,,,,,71.0,44.0,6.8,16.0,0.0362368,,"{'original': 6.8, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,,,2.0,,1.0,,,,1.0,,,0.2275,2.0,1.0,1.0,1.0,1.0,,1.0,0.4216,,,1.0,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",22.0,15.0,3.0,,8.0,9.0,8.0,18.0,,6.0,,,,,87.0,38.0,7.2,14.0,0.0844776,1.0,"{'original': 7.2, 'alternative': 7.1}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,3.0,6.0,2.0,1.0,,,,1.0,1.0,,,1.0,0.98,5.0,1.0,,,3.0,,,1.0848,,,3.0,1.0,1.0,,,,
Ivan Toney,ivan-toney,I. Toney,F,17,185,10125,M,290927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,826934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",28.0,16.0,,,1.0,5.0,15.0,25.0,1.0,1.0,,,,,90.0,49.0,7.8,18.0,0.403903,1.0,"{'original': 7.8, 'alternative': 7.5}",9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,5.0,3.0,7.0,7.0,6.0,3.0,1.0,,,,,3.0,2.0,1.0,0.7247,2.0,,,1.0,,,,,,,2.0,2.0,1.0,ivantoney,1.0,1.0,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",17.0,14.0,2.0,2.0,2.0,3.0,12.0,14.0,1.0,3.0,,,,,71.0,31.0,6.8,8.0,0.267407,1.0,"{'original': 6.8, 'alternative': 6.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,5.0,4.0,4.0,,1.0,,,1.0,,3.0,1.0,2.0,0.5589,,,,,,,,,,,3.0,1.0,2.0,yowissa,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",16.0,7.0,3.0,3.0,3.0,4.0,4.0,12.0,,2.0,,,,,19.0,19.0,6.8,9.0,0.0229095,,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",6.0,5.0,,,1.0,1.0,5.0,7.0,,1.0,,,,,19.0,13.0,6.8,3.0,0.0446519,2.0,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,1.0,2.0,1.0,,1.0,,,,,,2.0,,0.2066,2.0,1.0,,,,,,,,,,,1.0,bryan_m19,,,
