name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,fouls,expectedGoals,aerialWon,onTargetScoringAttempt,goals,outfielderBlock,unsuccessfulTouch,expectedGoalsOnTarget,firstName,lastName,blockedScoringAttempt,totalContest,wonContest,wonTackle,wasFouled,totalCross,goalAssist,bigChanceCreated,keyPass,totalOffside,bigChanceMissed,hitWoodwork,accurateCross,punches,totalKeeperSweeper,accurateKeeperSweeper,clearanceOffLine
Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8808,M,dj.petrovic12,882604,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,939340800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوردي بيتروفيتش', 'hi': 'डोरे पेट्रोविक', 'bn': 'ডোরে পেট্রোভিচ'}, 'shortNameTranslation': {'ar': 'د. بيتروفيتش', 'hi': 'डी. पेट्रोविक', 'bn': 'ডি. পেট্রোভিচ'}}",34.0,19.0,24.0,9.0,11.0,15.0,8.0,19.0,2.0,5.0,1.0,4.0,90.0,40.0,7.6,15.0,0.00158548,"{'original': 7.6, 'alternative': 7.6}",0,0.6886,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Gilchrist,alfie-gilchrist,A. Gilchrist,D,14,183,4501,M,,1114837,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1069977600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي جيلكريست', 'hi': 'अल्फी गिलक्रिस्ट', 'bn': 'আলফি গিলক্রিস্ট'}, 'shortNameTranslation': {'ar': 'أ. جيلكريست', 'hi': 'ए. गिलक्रिस्ट', 'bn': 'এ. গিলক্রিস্ট'}}",34.0,28.0,4.0,,16.0,18.0,12.0,16.0,5.0,3.0,,,85.0,53.0,6.9,7.0,0.00684535,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.1198,,,,,,,,,,,,,,,,,,,,,,,,,
Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,13565,M,yungchalobah,826134,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,931132800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تريفوه تشالوبا', 'hi': 'ट्रेवोह चालोबा', 'bn': 'ত্রেভহ চালোবাহ'}, 'shortNameTranslation': {'ar': 'ت. تشالوبا', 'hi': 'टी. चालोबा', 'bn': 'টি. চালোবাহ'}}",44.0,37.0,6.0,3.0,24.0,24.0,13.0,20.0,2.0,4.0,,,90.0,53.0,7.6,9.0,0.00549272,"{'original': 7.6, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,1.0,,,,,1.0,0.053,1.0,1.0,1.0,1.0,1.0,0.2148,,,,,,,,,,,,,,,,,,,
Benoît Badiashile,benoit-badiashile,B. Badiashile,D,5,194,10333,M,badiashile,904827,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985564800,"{'value': 17400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بينوا بادياشيل', 'hi': 'बेनोइट बाडियाशिले', 'bn': 'বেনেডিক্ট বাদিয়াশিলে'}, 'shortNameTranslation': {'ar': 'ب. بادياشيل', 'hi': 'बी. बाडियाशिले', 'bn': 'বি.বাদিয়াশিলে'}}",43.0,36.0,8.0,4.0,22.0,24.0,14.0,19.0,8.0,7.0,,,90.0,56.0,7.4,7.0,0.0061446,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,,,2.0,,3.0,0.0116,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,
Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37004,M,cucurella3,794939,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,901065600,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك كوكوريلا', 'hi': 'मार्क कोकोरेला', 'bn': 'মার্ক কুকুরেলা'}, 'shortNameTranslation': {'ar': 'م. كوكوريلا', 'hi': 'एम. कोकोरेला', 'bn': 'এম. কুকুরেলা'}}",40.0,29.0,4.0,1.0,20.0,29.0,9.0,11.0,2.0,5.0,,,90.0,75.0,8.1,14.0,0.0129328,"{'original': 8.1, 'alternative': 7.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,9.0,,,,4.0,4.0,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,4.0,,,,,,,,,,,,
Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,78106,M,MoisesCaicedo55,987650,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,1004659200,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مويسيس كايسيدو', 'hi': 'मोइसेस कैसेडो', 'bn': 'মোজেস কাইসেডো'}, 'shortNameTranslation': {'ar': 'م. كايسيدو', 'hi': 'एम. कैसेडो', 'bn': 'এম. কাইসেডো'}}",37.0,28.0,3.0,,17.0,20.0,11.0,18.0,1.0,5.0,,,90.0,62.0,7.5,12.0,0.0056614,"{'original': 7.5, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,10.0,,,,1.0,5.0,,,1.0,,,2.0,,,,,,2.0,,1.0,4.0,1.0,,,,,,,,,,,
Conor Gallagher,conor-gallagher,C. Gallagher,M,4,182,15436,M,conorgallagher92,904970,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,949795200,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور غالاغير', 'hi': 'कोनोर गालाघर', 'bn': 'কনর গ্যালাঘের'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'hi': 'सी. गालाघर', 'bn': 'সি. গ্যালাঘের'}}",24.0,22.0,1.0,,12.0,12.0,10.0,13.0,3.0,8.0,,,90.0,42.0,7.4,6.0,0.0647686,"{'original': 7.4, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,10.0,9.0,3.0,2.0,,,4.0,4.0,,1.0,,,,1.0,,,,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,
Noni Madueke,noni-madueke,N. Madueke,M,20,182,40433,M,nonzinoo10,966547,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1015718400,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نوني مادويكي', 'hi': 'नोनी मदुके', 'bn': 'ননি মাদুকে'}, 'shortNameTranslation': {'ar': 'ن. مادويكي', 'hi': 'एन. मदुके', 'bn': 'এন. মাদুকে'}}",29.0,22.0,1.0,,4.0,5.0,18.0,24.0,2.0,5.0,,,90.0,48.0,7.5,10.0,0.0658277,"{'original': 7.5, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,11.0,4.0,,1.0,,2.0,,0.0799,2.0,,,,1.0,,,,,7.0,5.0,1.0,2.0,,,,2.0,1.0,,,,,,,
Cole Palmer,cole-palmer,C. Palmer,M,10,185,368423,M,ColdPalmer,982780,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020643200,"{'value': 110000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كول بالمر', 'hi': 'कोल पाल्मर', 'bn': 'কোল পামার'}, 'shortNameTranslation': {'ar': 'ك. بالمر', 'hi': 'सी. पाल्मर', 'bn': 'সি. পামার'}}",28.0,25.0,2.0,1.0,6.0,6.0,19.0,24.0,1.0,1.0,,,90.0,49.0,7.4,7.0,0.0221983,"{'original': 7.4, 'alternative': 7.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,5.0,,1.0,3.0,,,1.0,1.32,,1.0,,,,0.1344,,,1.0,5.0,4.0,,1.0,2.0,,,2.0,,1.0,1.0,,,,,
Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,52950,M,MMudryk10,958966,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,978652800,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميخايلو مودريك', 'hi': 'माइखाइलो मुडरीक', 'bn': 'মিখাইলো মড্রিক'}, 'shortNameTranslation': {'ar': 'م. مودريك', 'hi': 'एम. मुडरीक', 'bn': 'এম. মড্রিক'}}",25.0,20.0,2.0,2.0,9.0,10.0,12.0,18.0,1.0,5.0,,,75.0,48.0,7.7,12.0,0.115986,"{'original': 7.7, 'alternative': 7.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,4.0,1.0,1.0,3.0,1.0,1.0,,0.2356,,1.0,,,2.0,0.2275,,,,3.0,2.0,,1.0,3.0,,1.0,3.0,,,,1.0,,,,
