name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,goalAssist,challengeLost,bigChanceCreated,outfielderBlock,onTargetScoringAttempt,goals,interceptionWon,expectedGoals,expectedGoalsOnTarget,firstName,shotOffTarget,lastManTackle,blockedScoringAttempt,lastName,bigChanceMissed,totalOffside,clearanceOffLine,errorLeadToAShot
Neto,neto,Neto,G,22,190.0,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",23.0,14.0,16.0,7.0,8.0,9.0,6.0,14.0,1.0,1.0,2.0,8.0,2.0,1.0,1.0,2.0,2.0,2.0,90.0,33.0,6.7,9.0,0.00197615,"{'original': 6.7, 'alternative': 6.1}",0,-0.5146,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180.0,465,M,,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",29.0,23.0,4.0,1.0,7.0,8.0,17.0,24.0,,6.0,2.0,2.0,,,,,,,71.0,53.0,6.6,12.0,0.075487,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191.0,392,M,,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",58.0,52.0,7.0,5.0,34.0,37.0,18.0,21.0,6.0,7.0,4.0,5.0,,,,,,,90.0,67.0,7.1,6.0,0.0318405,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,8.0,,,,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189.0,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",53.0,44.0,12.0,4.0,25.0,27.0,19.0,27.0,1.0,3.0,1.0,2.0,,,,,,,90.0,63.0,7.0,11.0,0.0207767,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,1.0,,,,,,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,0.4017,0.9229,,,,,,,,,
Dango Ouattara,dango-ouattara,D. Ouattara,F,19,177.0,32038,M,d.ouattara15,1106451,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,1013385600,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانجو أواتارا', 'hi': 'डांगो ओउट्टारा', 'bn': 'ডাঙ্গো ওউত্তারা'}, 'shortNameTranslation': {'ar': 'د. أواتارا', 'hi': 'डी. ओउट्टारा', 'bn': 'ডি. ওউত্তারা'}}",49.0,37.0,8.0,3.0,16.0,21.0,21.0,31.0,1.0,7.0,2.0,8.0,,,,,,,90.0,83.0,6.7,20.0,0.0308319,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,5.0,7.0,,2.0,1.0,4.0,3.0,2.0,1.0,1.0,,,,,,,,1.0,0.0572,,Dango Ouattara,1.0,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175.0,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",34.0,28.0,3.0,1.0,14.0,15.0,18.0,27.0,2.0,5.0,2.0,6.0,,,,,,,90.0,57.0,7.4,14.0,0.18478,"{'original': 7.4, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,3.0,,,,,1.0,,1.0,0.019,0.033,,,1.0,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178.0,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",54.0,41.0,11.0,6.0,15.0,19.0,26.0,39.0,2.0,10.0,2.0,6.0,,,,,,,89.0,84.0,7.7,21.0,0.0526799,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,2.0,6.0,,5.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,2.0,0.1435,,,1.0,,2.0,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185.0,33799,M,antoinesemenyo42,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",35.0,27.0,2.0,,5.0,6.0,23.0,32.0,3.0,8.0,1.0,3.0,,,,,,,90.0,58.0,8.9,13.0,0.132647,"{'original': 8.9, 'alternative': 8.7}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,5.0,8.0,,5.0,4.0,1.0,,2.0,,2.0,3.0,,,,,2.0,2.0,,0.402,1.0718,,1.0,,2.0,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178.0,2151,M,,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",19.0,14.0,3.0,1.0,6.0,7.0,8.0,16.0,1.0,2.0,,2.0,,,,,,,45.0,29.0,6.6,10.0,0.0170614,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,,1.0,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,Alex Scott,,,,,,,,
Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176.0,6517,M,Sinisterra29,836070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,929577600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",18.0,18.0,2.0,2.0,6.0,6.0,12.0,14.0,2.0,6.0,1.0,2.0,,,,,,,45.0,35.0,7.3,5.0,0.0356717,"{'original': 7.3, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,,3.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,1.0,,,2.0,,,0.4587,0.2721,,,,2.0,,,,,
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186.0,10997,M,Dom_Solanke,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",19.0,17.0,,,5.0,5.0,12.0,14.0,4.0,8.0,,2.0,,,,,,,89.0,37.0,7.7,11.0,0.0405352,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,9.0,2.0,5.0,3.0,,,5.0,1.0,,4.0,,1.0,,,1.0,1.0,,0.4383,0.1111,,2.0,,,,,,,
