Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,xG Diff,Goal,xGOT,NPxG,ExpG,ShtIncBl,Touches_in_Op_Box_%,TouchOpBox,TchsA3%,TchsA3,FldTilt,Poss%,PsCmp,PsAtt,Touches,PPDA,HighTurnovers,Sequences start D3 end A3,DirectSpeed,AvgSeqPass,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,4vofb84dzb5fyc81n2ssws6ah,659,Mexico,Mexico,MEX,Mexico,#009933,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.38,2,1.28,1.46,1.46,16,2.9%,20,18.9%,129,65.5%,60.7%,467,520,682,11.62,8,8,1.04,4.9,659,1,MEX vs RSA,true,false,true,false,false,2026-06-11,4tcpns1nwyc0jtpucgzj9dp90,xmip8t9f2kefltjkraxzsxl9,522,522,Mexico,South Africa,RSA,2,0,Played,W 2-0,2608241,MEX vs RSA (2026-06-11)
1,xmip8t9f2kefltjkraxzsxl9,522,South Africa,South Africa,RSA,South Africa,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.38,0,0.13,0.07,0.07,3,0.4%,2,9.3%,44,34.5%,39.3%,272,334,473,19.00,4,10,1.12,3.4,522,1,MEX vs RSA,false,true,false,false,true,2026-06-11,4tcpns1nwyc0jtpucgzj9dp90,4vofb84dzb5fyc81n2ssws6ah,659,659,South Africa,Mexico,MEX,0,2,Played,L 0-2,2608241,MEX vs RSA (2026-06-11)
3,1yghbv1c71b37eenutbwnvvq,1041,Korea Republic,Korea Republic,KOR,Korea Rep,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,1.47,2,2.06,2.30,2.30,15,3.3%,24,21.0%,153,57.4%,61.5%,469,541,730,12.00,6,5,0.84,4.4,1041,1,KOR vs CZE,true,false,true,false,false,2026-06-12,9hjlhmip7tn4qgpwr47txpafo,70tnqyqn871jwlk26gtjw7knm,367,367,Korea Republic,Czechia,CZE,2,1,Played,W 2-1,2608242,KOR vs CZE (2026-06-12)
3,eg7vduna0h3vis1wd47s41za7,597,Canada,Canada,CAN,Canada,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.27,1,0.75,1.23,1.23,13,5.7%,37,33.5%,219,68.2%,60.7%,310,421,653,8.56,10,14,1.97,2.5,597,1,CAN vs BIH,true,false,false,true,false,2026-06-12,y1ow9ht5baxn64i01hq9moes,o5iztj2zl6b0v6ed9q5m7p1k,537,537,Canada,Bosnia-Herzegovina,BIH,1,1,Played,T 1-1,2608243,CAN vs BIH (2026-06-12)
3,70tnqyqn871jwlk26gtjw7knm,367,Czechia,Czechia,CZE,Czechia,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-1.47,1,2.07,0.83,0.83,7,2.5%,12,21.6%,102,42.6%,38.5%,230,327,473,13.50,7,2,1.09,2.6,367,1,KOR vs CZE,false,true,false,false,true,2026-06-12,9hjlhmip7tn4qgpwr47txpafo,1yghbv1c71b37eenutbwnvvq,1041,1041,Czechia,Korea Republic,KOR,1,2,Played,L 1-2,2608242,KOR vs CZE (2026-06-12)
3,o5iztj2zl6b0v6ed9q5m7p1k,537,Bosnia-Herzegovina,Bosnia-Herzegovina,BIH,Bosnia,#0000FF,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.27,1,1.00,0.96,0.96,8,2.9%,15,13.3%,70,31.8%,39.3%,172,271,525,8.47,8,3,1.70,1.9,537,1,CAN vs BIH,false,true,false,true,false,2026-06-12,y1ow9ht5baxn64i01hq9moes,eg7vduna0h3vis1wd47s41za7,597,597,Bosnia-Herzegovina,Canada,CAN,1,1,Played,T 1-1,2608243,CAN vs BIH (2026-06-12)
7,ea68amhsn28ijs7bzjuzeqrz6,1873,Qatar,Qatar,QAT,Qatar,#990000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-2.59,1,0.46,0.60,0.60,6,1.8%,8,11.2%,50,19.2%,32.5%,200,278,447,34.67,5,5,1.14,2.6,1873,1,QAT vs SUI,true,false,false,true,false,2026-06-13,2lzhf44ic9g2dj0l29fji2xw4,339wxbt07ltnva7hop6m5o477,497,497,Qatar,Switzerland,SUI,1,1,Played,T 1-1,2608244,QAT vs SUI (2026-06-13)
7,9vh2u1p4ppm597tjfahst2m3n,596,United States,United States,USA,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,0.89,4,2.54,1.42,1.42,16,6.7%,54,32.6%,264,80.5%,65.0%,509,598,810,8.74,20,11,1.12,3.8,596,1,USA vs PAR,true,false,true,false,false,2026-06-13,49wa9ymnt0trv2mjruak556ok,3cwjdmekfdouwg990mqdq9fh0,835,835,United States,Paraguay,PAR,4,1,Played,W 4-1,2608247,USA vs PAR (2026-06-13)
7,339wxbt07ltnva7hop6m5o477,497,Switzerland,Switzerland,SUI,Switzerland,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,2.59,1,2.53,2.41,3.20,26,5.5%,43,41.4%,322,80.8%,67.5%,527,576,777,11.18,17,13,1.35,4.2,497,1,QAT vs SUI,false,true,false,true,false,2026-06-13,2lzhf44ic9g2dj0l29fji2xw4,ea68amhsn28ijs7bzjuzeqrz6,1873,1873,Switzerland,Qatar,QAT,1,1,Played,T 1-1,2608244,QAT vs SUI (2026-06-13)
7,ajab3nmpoltsoeqcuoyi4pwzx,614,Brazil,Brazil,BRA,Brazil,#FFFF00,70excpe1synn9kadnbppahdn7,FIFA World Cup (World),1,-0.11,1,1.38,1.26,1.26,12,3.1%,22,17.8%,126,39.4%,51.5%,449,514,707,8.05,12,6,1.15,4.2,614,1,BRA vs MAR,true,false,false,true,false,2026-06-13,ar8b186wqraa80u0vpi2e4nis,avggs3u2b5cu8i1dnzknhth52,1057,1057,Brazil,Morocco,MAR,1,1,Played,T 1-1,2608245,BRA vs MAR (2026-06-13)
