Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Shot,Goal,GoalOP,GoalSetPly,xG,xGOT,SGA,OpnPlySOT,SOT,OFF,ShotExcBlk,Blkd,OnTarget%,ShotConv,MinPerGoal,%ShotHead,%ShotInBox,%ShtOutBox,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra,optaTeamId,teamId,Team
1393,cc5c5mmpywxpgrb33oztcdgid,212389,Paik Seung-Ho,Paik Seung-Ho,Central Midfielder,1041,Korea Republic,Korea Rep,KOR,1yghbv1c71b37eenutbwnvvq,Korea Republic,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup,243432,Seung-Ho,Paik,Central Midfielder,1,77,29,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,MEX vs KOR,false,true,false,false,true,2026-06-19,bdoe50pj6ug3jrc5to1j8st1w,4vofb84dzb5fyc81n2ssws6ah,659,659,Korea Republic,Mexico,MEX,0,1,Played,L 0-1,2608265,MEX vs KOR (2026-06-19),1041,1yghbv1c71b37eenutbwnvvq,Korea Republic
1393,288nn7pbq5ewriiyb9o7da86h,284844,W. McKennie,Weston McKennie,Central Midfielder,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,241519,Weston,McKennie,Central Midfielder,1,89,27,2,0,0,0,0.28,0.00,-0.28,0,0,1,1,1,0.0%,0.0%,0.0,50.0%,100.0%,0.0%,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,xvcq4pdg6xecz1cwhj7qvhm1,234884,H. Wright,Haji Wright,Centre Forward,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,176412,Haji,Wright,Centre Forward,1,1,28,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,8rrcscn29rs1gk8mi1pwpu92i,326359,B. Aaronson,Brenden Aaronson,,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,427637,Brenden,Aaronson,,0,0,25,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,4cih000f65u36i7fm1sn0fob9,150229,Jo Hyeon-Woo,Jo Hyeon-Woo,,1041,Korea Republic,Korea Rep,KOR,1yghbv1c71b37eenutbwnvvq,Korea Republic,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup,249584,Hyeon-Woo,Jo,,0,0,34,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,MEX vs KOR,false,true,false,false,true,2026-06-19,bdoe50pj6ug3jrc5to1j8st1w,4vofb84dzb5fyc81n2ssws6ah,659,659,Korea Republic,Mexico,MEX,0,1,Played,L 0-1,2608265,MEX vs KOR (2026-06-19),1041,1yghbv1c71b37eenutbwnvvq,Korea Republic
1393,2p1pns6j6id4nx3nbi7fv0wrt,286492,Kim Min-Jae,Kim Min-Jae,Central Defender,1041,Korea Republic,Korea Rep,KOR,1yghbv1c71b37eenutbwnvvq,Korea Republic,#FF0000,70excpe1synn9kadnbppahdn7,FIFA World Cup,249621,Min-Jae,Kim,Central Defender,1,90,29,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,MEX vs KOR,false,true,false,false,true,2026-06-19,bdoe50pj6ug3jrc5to1j8st1w,4vofb84dzb5fyc81n2ssws6ah,659,659,Korea Republic,Mexico,MEX,0,1,Played,L 0-1,2608265,MEX vs KOR (2026-06-19),1041,1yghbv1c71b37eenutbwnvvq,Korea Republic
1393,dfqpevw7bneap02x7mxo74pgp,244285,H. Souttar,Harry Souttar,Central Defender,575,Australia,Australia,AUS,bl4fd8cxe6kjvjx8br82gkhnq,Australia,#FFCC00,70excpe1synn9kadnbppahdn7,FIFA World Cup,194190,Harry,Souttar,Central Defender,1,90,27,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,false,true,false,false,true,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,9vh2u1p4ppm597tjfahst2m3n,596,596,Australia,United States,USA,0,2,Played,L 0-2,2608271,USA vs AUS (2026-06-19),575,bl4fd8cxe6kjvjx8br82gkhnq,Australia
1393,2we9yak4ipkr1ljigj20puv6y,486987,G. Reyna,Giovanni Reyna,Centre Attacking Midfielder,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,427420,Giovanni,Reyna,Centre Attacking Midfielder,1,1,23,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,43eq31reskwn9veb3vickralm,533591,J. Scally,Joe Scally,Right Back,596,United States,United States,USA,9vh2u1p4ppm597tjfahst2m3n,United States,#000099,70excpe1synn9kadnbppahdn7,FIFA World Cup,427426,Joe,Scally,Right Back,1,10,23,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,USA vs AUS,true,false,true,false,false,2026-06-19,6dt4a73k05gldmswzc3tgxmvo,bl4fd8cxe6kjvjx8br82gkhnq,575,575,United States,Australia,AUS,2,0,Played,W 2-0,2608271,USA vs AUS (2026-06-19),596,9vh2u1p4ppm597tjfahst2m3n,United States
1393,12cgiy0t282ywdbr5j78hrxsl,176138,S. McKenna,Scott McKenna,,115,Scotland,Scotland,SCO,bcllqlzvj9j7opjene2zvran7,Scotland,#0000CC,70excpe1synn9kadnbppahdn7,FIFA World Cup,168281,Scott,McKenna,,0,0,29,0,0,0,0,0.00,0.00,0.00,0,0,0,0,0,-,-,0.0,-,-,-,2,SCO vs MAR,true,false,false,false,true,2026-06-19,exuljwp9gd116hkf5sox4q5g4,avggs3u2b5cu8i1dnzknhth52,1057,1057,Scotland,Morocco,MAR,0,1,Played,L 0-1,2608270,SCO vs MAR (2026-06-19),115,bcllqlzvj9j7opjene2zvran7,Scotland
