name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,totalContest,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,sofascoreId,aerialLost,aerialWon,challengeLost,totalClearance,keyPass,firstName,lastName,wonContest,lastManTackle,errorLeadToAShot,wasFouled,totalCross,accurateCross,shotOffTarget,dispossessed,fouls,hitWoodwork,bigChanceMissed,blockedScoringAttempt,totalOffside,bigChanceCreated,goalAssist
Bernd Leno,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",31.0,23.0,9.0,1.0,22.0,24.0,1.0,7.0,16.0,3.0,4.0,1.0,1.0,90.0,46.0,6.5,9.0,0.0005569,"{'original': 6.5, 'alternative': 6.7}",0,-0.9093,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",44.0,34.0,3.0,,22.0,26.0,12.0,18.0,2.0,,,,,90.0,61.0,7.0,14.0,0.00576066,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.1342,0.4586,,,,,,,,,,,,,,,,,,,,,,,
Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",60.0,45.0,9.0,2.0,39.0,45.0,6.0,15.0,1.0,,,,,90.0,74.0,6.1,16.0,0.00438527,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,3.0,,,,,2.0,1.0,,1.0,,,tosinadarabioyo,1.0,2.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",63.0,51.0,7.0,2.0,45.0,51.0,6.0,12.0,4.0,,,,,90.0,77.0,6.3,13.0,0.00117759,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,6.0,2.0,,,,1.0,1.0,,1.0,,,,2.0,1.0,1.0,3.0,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",40.0,30.0,7.0,3.0,22.0,25.0,10.0,18.0,8.0,,,,,90.0,69.0,6.4,15.0,0.0526959,"{'original': 6.4, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,4.0,2.0,,,,,2.0,2.0,3.0,0.0085,,,1.0,1.0,3.0,4.0,1.0,,,1.0,,,,3.0,2.0,1.0,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",31.0,23.0,4.0,2.0,15.0,17.0,8.0,14.0,2.0,,,,,71.0,43.0,6.8,9.0,0.137516,"{'original': 6.8, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,5.0,,1.0,,,,3.0,2.0,,0.0341,0.0265,Palhinha,,1.0,2.0,3.0,1.0,,,,,,1.0,,,,1.0,3.0,,,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",45.0,42.0,1.0,1.0,27.0,29.0,15.0,16.0,6.0,,,,,90.0,56.0,6.7,6.0,0.0703733,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,1.0,,,1.0,2.0,1.0,1.0,2.0,0.0447,,,1.0,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",32.0,19.0,3.0,,10.0,13.0,9.0,22.0,10.0,,,,,85.0,45.0,6.8,19.0,0.29464,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,5.0,5.0,,,,,1.0,,1.0,,,alexanderiwobi,,,,,2.0,,,4.0,,,,3.0,,,,,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",29.0,21.0,4.0,,11.0,12.0,12.0,24.0,4.0,,,,,90.0,54.0,6.1,23.0,0.362876,"{'original': 6.1, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,3.0,3.0,,,,,1.0,,6.0,0.0485,,andreaspereira,2.0,,2.0,,,,,1.0,,,1.0,7.0,2.0,1.0,2.0,,1.0,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",16.0,15.0,1.0,1.0,8.0,8.0,8.0,9.0,6.0,,,,,71.0,32.0,6.9,3.0,0.0274225,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,4.0,5.0,1.0,,,,1.0,,,1.0,,,,3.0,1.0,1.0,1.0,,,,1.0,,,3.0,1.0,1.0,,,,,,,,,
