team_id,team_name
6673,NRG
7720,InControl
12510,The Huns
12097,Eruption
9455,Imperial
11581,HOTU
12467,PARIVISION
11419,ECSTATIC
4863,TYLOO
12376,M80
13377,Verstappen peek
12468,Legacy
7175,HEROIC
4411,Ninjas in Pyjamas
10371,NAVI Junior
11241,B8
11861,Aurora
10503,OG
8840,Lynn Vision
12394,BetBoom
5347,BLUEJAYS
13106,Getting Info
4608,Natus Vincere
8297,FURIA
9215,MIBR
4869,ENCE
11883,9 Pandas
7020,Spirit
12901,SemperFi
12774,FlyQuest
5973,Liquid
5378,Virtus.pro
9565,Vitality
11251,Eternal Fire
4494,MOUZ
5995,G2
6665,Astralis
7969,Nemiga
12878,BC.Game
7532,BIG
10567,SAW
12000,500
9928,GamerLegion
4991,fnatic
6248,The MongolZ
5005,Complexity
4914,3DMAX
11283,Falcons
6667,FaZe
4773,paiN
11861,Aurora
4773,paiN
