minute,value
1.0,-5
2.0,48
3.0,27
4.0,-25
5.0,46
6.0,23
7.0,1
8.0,-20
9.0,-9
10.0,-5
11.0,9
12.0,2
13.0,-3
14.0,-1
15.0,-4
16.0,16
17.0,6
18.0,1
19.0,1
20.0,15
21.0,-23
22.0,-13
23.0,50
24.0,30
25.0,18
26.0,7
27.0,-10
28.0,-14
29.0,-15
30.0,-34
31.0,-27
32.0,-25
33.0,-43
34.0,-28
35.0,-79
36.0,-49
37.0,-12
38.0,-24
39.0,-19
40.0,-44
41.0,-31
42.0,-25
43.0,-41
44.0,-30
45.0,-26
45.5,12
46.0,4
47.0,5
48.0,45
49.0,28
50.0,51
51.0,31
52.0,19
53.0,56
54.0,25
55.0,-31
56.0,23
57.0,30
58.0,6
59.0,-9
60.0,-9
61.0,45
62.0,24
63.0,-74
64.0,-45
65.0,-43
66.0,-35
67.0,-26
68.0,-32
69.0,-36
70.0,-26
71.0,-20
72.0,-17
73.0,-14
74.0,-12
75.0,-4
76.0,-7
77.0,-9
78.0,22
79.0,10
80.0,-41
81.0,-22
82.0,-52
83.0,-42
84.0,-35
85.0,-14
86.0,-9
87.0,-4
88.0,-55
89.0,-18
90.0,-12
90.5,34
