name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialWon,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,accurateCross,aerialLost,shotOffTarget,wasFouled,fouls,expectedGoals,goalAssist,wonTackle,keyPass,challengeLost,dispossessed,bigChanceCreated,outfielderBlock,unsuccessfulTouch,onTargetScoringAttempt,totalOffside,expectedGoalsOnTarget,blockedScoringAttempt,goals,goodHighClaim,bigChanceMissed,hitWoodwork
Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186,1300,M,,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naouirou Ahamada,,,naouirou-ahamada,N. Ahamada,M,28,183,422,M,,997104,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1017360000,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ozoh,,,david-ozoh,D. Ozoh,M,18,183,301,M,,1212155,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1115337600,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد أوزوه', 'hi': 'डेविड ओज़ोह', 'bn': 'ডেভিড ওজোহ'}, 'shortNameTranslation': {'ar': 'د. أوزوه', 'hi': 'डी. ओज़ोह', 'bn': 'ডি. ওজোহ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odsonne Édouard,,,odsonne-edouard,O. Édouard,F,19,187,5777,M,,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Flekken,,,mark-flekken,M. Flekken,G,1,194,2871,M,,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",36.0,28.0,13.0,5.0,27.0,28.0,1.0,8.0,2.0,13.0,2.0,3.0,1.0,90.0,54.0,6.7,8.0,0.00013032,"{'original': 6.7, 'alternative': 6.3}",0,-1.0345,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Zanka,,,zanka,Zanka,D,5,189,495,M,,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",70.0,50.0,9.0,1.0,29.0,31.0,21.0,39.0,3.0,6.0,,,,90.0,90.0,6.2,24.0,0.00787589,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,5.0,1.0,1.0,2.0,3.0,,2.0,,1.0,2.0,,,2.0,,2.0,,,,,,,,,,,,
Ethan Pinnock,,,ethan-pinnock,E. Pinnock,D,5,194,1038,M,,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",43.0,34.0,6.0,2.0,29.0,31.0,5.0,13.0,6.0,5.0,,,,90.0,55.0,6.6,10.0,0.00195151,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,2.0,4.0,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,
Nathan Collins,,,nathan-collins,N. Collins,D,22,193,1469,M,,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",63.0,58.0,4.0,1.0,40.0,42.0,18.0,21.0,2.0,7.0,,,,90.0,76.0,6.9,5.0,0.0110056,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,4.0,,,1.0,1.0,,,1.0,1.0,,0.0313,,1.0,,1.0,,,2.0,,,,,,,,,
Mads Roerslev,Mads,Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",27.0,20.0,1.0,1.0,10.0,12.0,11.0,17.0,1.0,4.0,,,,63.0,41.0,7.0,14.0,0.167242,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,4.0,3.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,1.0,2.0,2.0,,1.0,1.0,,3.0,,,,,,,,
Mathias Jensen,,,mathias-jensen,M. Jensen,M,8,180,973,M,,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",37.0,29.0,9.0,5.0,12.0,15.0,18.0,25.0,,6.0,,,,63.0,52.0,6.8,17.0,0.18879,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,5.0,5.0,2.0,,,3.0,1.0,1.0,,1.0,,,,2.0,,1.0,1.0,,,3.0,,,,,,,,
