name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalTackle,wonTackle,wasFouled,totalOffside,expectedGoals,goalAssist,bigChanceCreated,fouls,keyPass,accurateCross,onTargetScoringAttempt,goals,unsuccessfulTouch,expectedGoalsOnTarget,interceptionWon,bigChanceMissed,hitWoodwork,dispossessed,outfielderBlock,sofascoreId
Zeki Amdouni,,,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",24.0,19.0,1.0,,4.0,4.0,15.0,20.0,,3.0,,,,,,77.0,45.0,8.5,13.0,0.112527,"{'original': 8.5, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,6.0,8.0,1.0,5.0,3.0,,,2.0,1.0,3.0,,0.2501,1.0,,,2.0,,2.0,1.0,3.0,0.9962,,,,3.0,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",19.0,17.0,3.0,1.0,2.0,2.0,16.0,20.0,,1.0,,,,,,25.0,28.0,7.1,8.0,0.117901,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,,1.0,1.0,,1.0,,,1.0,,,1.0,,0.0592,,,,5.0,1.0,,,2.0,,,,,,,
Mike Trésor,,,mike-tresor,M. Trésor,M,31,175,1098,M,826183,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,927849600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك تريزور', 'hi': 'माइक ट्रेसोर', 'bn': 'মাইক ট্রেসর'}, 'shortNameTranslation': {'ar': 'م. تريزور', 'hi': 'एम. ट्रेसोर', 'bn': 'এম. ট্রেসর'}}",5.0,5.0,,,2.0,2.0,4.0,4.0,,1.0,,,,,,14.0,8.0,6.7,,0.227415,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
Michael Obafemi,,,michael-obafemi,M. Obafemi,F,10,172,594,M,921216,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,962841600,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أوبافيمي', 'hi': 'माइकल ओबाफेमी', 'bn': 'মাইকেল ওবাফেমি'}, 'shortNameTranslation': {'ar': 'م. أوبافيمي', 'hi': 'एम. ओबाफेमी', 'bn': 'এম. ওবাফেমি'}}",4.0,3.0,,,1.0,1.0,2.0,3.0,,1.0,,,,,,14.0,9.0,7.0,2.0,0.0124574,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,2.0,2.0,,2.0,2.0,1.0,,,,,,0.0595,,,,,,,,,,,,,1.0,,
Nathan Redmond,,,nathan-redmond,N. Redmond,M,15,173,423,M,115346,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762912000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان ريدموند', 'hi': 'नाथन रेडमंड', 'bn': 'নাথান রেডমন্ড'}, 'shortNameTranslation': {'ar': 'ن. ريدموند', 'hi': 'एन. रेडमंड', 'bn': 'এন. রেডমন্ড'}}",14.0,12.0,1.0,1.0,2.0,2.0,10.0,12.0,,,,,,,,13.0,19.0,7.0,4.0,0.0496575,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,2.0,,3.0,2.0,,,,,,,0.0275,,,,1.0,,,,,,,,1.0,1.0,,
Hjalmar Ekdal,,,hjalmar-ekdal,H. Ekdal,D,18,187,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",16.0,14.0,1.0,,6.0,6.0,8.0,10.0,,1.0,,,,,,12.0,18.0,6.7,2.0,0.0030549,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Lawrence Vigouroux,,,lawrence-vigouroux,L. Vigouroux,G,22,194,854,M,373240,"{'alpha2': 'CL', 'alpha3': 'CHL', 'name': 'Chile', 'slug': 'chile'}",EUR,753667200,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورانس فيغورو', 'hi': 'लॉरेंस विगोरौक्स', 'bn': 'লরেন্স ভিগোরক্স'}, 'shortNameTranslation': {'ar': 'ل. فيغورو', 'hi': 'एल. विगोरौक्स', 'bn': 'এল. ভিগোরক্স'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ramsey,,,aaron-ramsey,A. Ramsey,M,30,180,756,M,1000142,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043107200,"{'value': 8800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسي', 'hi': 'आरोन रैमसे', 'bn': 'অ্যারন রামসে'}, 'shortNameTranslation': {'ar': 'آ. رامسي', 'hi': 'ए. रैमसे', 'bn': 'এ. রামসে'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han-Noah Massengo,,,massengo-han-noah,H. Massengo,M,4,175,500,M,927340,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,994377600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسينغو، هان-نواه', 'hi': 'मासेंगो, हान-नोहा', 'bn': 'ম্যাসেঙ্গো, হান-নোহ'}, 'shortNameTranslation': {'ar': 'ه. ماسينغو', 'hi': 'एच. मासेंगो', 'bn': 'এইচ. ম্যাসেঙ্গো'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",31.0,17.0,23.0,9.0,9.0,12.0,8.0,19.0,1.0,8.0,,2.0,,,,90.0,38.0,5.7,15.0,0.00100408,"{'original': 5.7, 'alternative': 5.2}",0,-2.2408,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",38.0,32.0,,,26.0,28.0,6.0,10.0,6.0,3.0,,,,,,90.0,55.0,5.9,9.0,0.00163706,"{'original': 5.9, 'alternative': 5.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,6.0,5.0,3.0,2.0,1.0,,,2.0,2.0,1.0,,,,,2.0,,,,,2.0,,1.0,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",49.0,41.0,9.0,4.0,34.0,36.0,7.0,14.0,4.0,7.0,,,,,,90.0,65.0,6.3,12.0,0.00328054,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,2.0,1.0,4.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",37.0,27.0,5.0,3.0,19.0,20.0,8.0,17.0,7.0,2.0,,,,,,90.0,56.0,6.7,15.0,0.00395922,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,4.0,3.0,6.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,3.0,
George Baldock,,,george-baldock,G. Baldock,D,,175,377,M,112928,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,731635200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورج بالدوك', 'hi': 'जॉर्ज बाल्डॉक', 'bn': 'জর্জ বলডক'}, 'shortNameTranslation': {'ar': 'ج. بالدوك', 'hi': 'जी. बाल्डॉक', 'bn': 'জি. বালডক'}}",12.0,6.0,2.0,,4.0,6.0,2.0,6.0,,1.0,,,,,,25.0,13.0,6.4,6.0,0.00108575,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",52.0,44.0,8.0,2.0,27.0,28.0,17.0,25.0,3.0,5.0,,,,,,90.0,63.0,6.4,10.0,0.0196945,"{'original': 6.4, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,,,3.0,3.0,2.0,,,,,3.0,,,,0.0163,,,1.0,,,1.0,,1.0,0.1531,1.0,,,,,
John Fleck,,,john-fleck,J. Fleck,M,13,170,104,M,27999,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,682992000,"{'value': 71000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون فليك', 'hi': 'जॉन फ्लेक', 'bn': 'জন ফ্লেক'}, 'shortNameTranslation': {'ar': 'ج. فليك', 'hi': 'जे.फ्लेक फ्लेक', 'bn': 'জে. ফ্লেক'}}",18.0,15.0,,,10.0,11.0,5.0,7.0,1.0,1.0,,,,,,45.0,21.0,6.3,3.0,0.078628,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,5.0,2.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,
Luke Thomas,,,luke-thomas,L. Thomas,D,33,178,494,M,991584,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,992131200,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك توماس', 'hi': 'ल्यूक थॉमस', 'bn': 'লুক থমাস'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'hi': 'एल. थॉमस', 'bn': 'এল. থমাস'}}",14.0,6.0,,,2.0,5.0,4.0,9.0,,1.0,,,,,,45.0,21.0,6.5,8.0,0.00354175,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,3.0,4.0,1.0,,,,,1.0,,2.0,,,,,1.0,,,,,,,2.0,,,,1.0,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",29.0,22.0,5.0,1.0,16.0,19.0,6.0,11.0,3.0,6.0,,,,,,90.0,43.0,6.7,10.0,0.0871855,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,6.0,3.0,4.0,2.0,1.0,1.0,,2.0,2.0,,,0.0144,,1.0,1.0,1.0,,,,1.0,,2.0,,,,,
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",8.0,6.0,,,3.0,5.0,3.0,3.0,,2.0,,,,,,45.0,11.0,6.7,3.0,0.00272148,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,0.1176,,,,1.0,,,,,,,,,1.0,,
