name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalTackle,wonTackle,wasFouled,totalOffside,expectedGoals,goalAssist,bigChanceCreated,fouls,keyPass,accurateCross,onTargetScoringAttempt,goals,unsuccessfulTouch,expectedGoalsOnTarget,interceptionWon,bigChanceMissed,hitWoodwork,dispossessed,outfielderBlock,sofascoreId
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",48.0,40.0,14.0,6.0,39.0,40.0,1.0,8.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,90.0,57.0,7.5,8.0,0.0026372,"{'original': 7.5, 'alternative': 7.7}",0,0.6121,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",56.0,49.0,1.0,1.0,20.0,21.0,29.0,42.0,1.0,7.0,,,,,,90.0,81.0,7.7,15.0,0.0577085,"{'original': 7.7, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,2.0,1.0,4.0,7.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1608,,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",74.0,60.0,13.0,7.0,23.0,26.0,37.0,50.0,3.0,5.0,,,,,,83.0,83.0,7.7,17.0,0.178389,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,7.0,2.0,9.0,,,,1.0,,,,2.0,,0.019,1.0,1.0,2.0,1.0,,,,,,,,,,,
Jordan Beyer,,,jordan-beyer,J. Beyer,D,5,187,316,M,927175,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,958694400,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان باير', 'hi': 'जॉर्डन बेयर', 'bn': 'জর্ডান বেয়ার'}, 'shortNameTranslation': {'ar': 'ج. باير', 'hi': 'जे. बेयर', 'bn': 'জে. বেয়ার'}}",57.0,53.0,6.0,4.0,36.0,37.0,17.0,20.0,,6.0,,,,,,90.0,62.0,7.6,4.0,0.00880686,"{'original': 7.6, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,2.0,3.0,,,,,1.0,3.0,3.0,,,0.12,1.0,1.0,1.0,1.0,,,,,,,,,,,
Charlie Taylor,,,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",57.0,48.0,7.0,4.0,23.0,26.0,26.0,33.0,1.0,5.0,,,,,,90.0,70.0,7.6,12.0,0.197084,"{'original': 7.6, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,3.0,2.0,3.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",32.0,21.0,1.0,,4.0,7.0,19.0,29.0,,4.0,,,,,,65.0,43.0,7.6,14.0,0.0720232,"{'original': 7.6, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,,3.0,2.0,,1.0,1.0,,3.0,,,1.0,,0.5044,,,2.0,3.0,2.0,1.0,1.0,1.0,0.4418,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",53.0,46.0,5.0,3.0,15.0,17.0,31.0,36.0,1.0,4.0,,,,,,90.0,58.0,7.0,7.0,0.0498369,"{'original': 7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,3.0,6.0,5.0,3.0,2.0,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,
Josh Brownhill,,,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",60.0,53.0,2.0,1.0,25.0,28.0,28.0,32.0,1.0,3.0,,,,,,90.0,69.0,8.0,7.0,0.0473898,"{'original': 8, 'alternative': 8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,1.0,4.0,1.0,8.0,,,,,,3.0,1.0,2.0,,0.0711,,,,,,2.0,1.0,,0.4213,1.0,,,,,
Luca Koleosho,Luca Koleosho,,luca-koleosho,L. Koleosho,M,16,175,1493,M,1216282,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1095206400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكا كوليوشو', 'hi': 'लुका कोलेओशो', 'bn': 'লুকা কোলিওশো'}, 'shortNameTranslation': {'ar': 'ل. كوليوشو', 'hi': 'एल. कोलेओशो', 'bn': 'এল. কোলিওশো'}}",23.0,20.0,,,2.0,3.0,18.0,23.0,,2.0,,,,,,76.0,42.0,7.2,13.0,0.0492578,"{'original': 7.2, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,5.0,2.0,,3.0,1.0,2.0,,,,,1.0,0.3618,,,2.0,1.0,,1.0,1.0,4.0,0.1896,,1.0,1.0,,,
Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",28.0,20.0,2.0,1.0,6.0,7.0,14.0,22.0,1.0,4.0,,,,,,76.0,35.0,7.5,10.0,0.0198857,"{'original': 7.5, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,4.0,3.0,5.0,3.0,,,,1.0,,,,,1.0,0.2193,,,1.0,,,1.0,1.0,1.0,0.7103,,,,,,
