name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,clearanceOffLine,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,sofascoreId,aerialLost,goalAssist,onTargetScoringAttempt,goals,expectedGoalsOnTarget,bigChanceCreated,shotOffTarget,punches,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,errorLeadToAGoal,hitWoodwork
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",12.0,9.0,1.0,,5.0,5.0,5.0,9.0,,1.0,,,,29.0,17.0,6.8,5.0,0.189644,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,,,2.0,,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",45.0,36.0,9.0,5.0,8.0,11.0,29.0,38.0,,8.0,,,,90.0,63.0,6.5,17.0,0.0855388,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,4.0,1.0,1.0,8.0,6.0,1.0,2.0,5.0,3.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",40.0,34.0,1.0,1.0,10.0,10.0,24.0,31.0,,4.0,,,,70.0,56.0,7.2,10.0,0.0489221,"{'original': 7.2, 'alternative': 6.9}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,1.0,6.0,5.0,1.0,1.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,3.0,0.31,1.0,antoinesemenyo42,1.0,,3.0,,0.1853,,1.0,,,,1.0,,
Philip Billing,philip-billing,P. Billing,M,8,193,1832,M,548660,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,834451200,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيليب بيلينغ', 'hi': 'फिलिप बिलिंग', 'bn': 'ফিলিপ বিলিং'}, 'shortNameTranslation': {'ar': 'ف. بيلينغ', 'hi': 'पी. बिलिंग', 'bn': 'পি. বিলিং'}}",29.0,22.0,1.0,,6.0,7.0,16.0,22.0,1.0,3.0,,,,81.0,42.0,6.9,11.0,0.0157636,"{'original': 6.9, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,8.0,1.0,2.0,1.0,2.0,,,,,2.0,,,1.0,,1.0,0.0872,,,2.0,,1.0,,0.2831,,2.0,,,,,,
Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1676,M,895576,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,922060800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس تافيرنييه', 'hi': 'मार्कस टैवर्नियर', 'bn': 'মার্কাস ট্যাভার্নিয়ার'}, 'shortNameTranslation': {'ar': 'م. تافيرنييه', 'hi': 'एम. टैवर्नियर', 'bn': 'এম. ট্যাভার্নিয়ার'}}",47.0,38.0,6.0,3.0,7.0,10.0,33.0,42.0,,10.0,,,,90.0,71.0,6.5,23.0,0.191206,"{'original': 6.5, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,2.0,,12.0,1.0,2.0,2.0,4.0,1.0,2.0,,,,,,4.0,,1.0,0.0653,2.0,,4.0,,,,,1.0,,,,,,,
Dominic Solanke,dominic-solanke,D. Solanke,F,19,186,10997,M,361420,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,874195200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سولانكي', 'hi': 'डोमिनिक सोलंके', 'bn': 'ডমিনিক সোলাঙ্কে'}, 'shortNameTranslation': {'ar': 'د. سولانكي', 'hi': 'डी. सोलंके', 'bn': 'ডি. সোলাঙ্কে'}}",13.0,9.0,,,4.0,4.0,5.0,9.0,3.0,5.0,,,,90.0,38.0,9.3,12.0,0.0240665,"{'original': 9.3, 'alternative': 9.2}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,6.0,9.0,8.0,,3.0,4.0,,1.0,,2.0,,,,1.0,2.0,,0.7281,1.0,Dom_Solanke,2.0,,3.0,3.0,0.9539,,2.0,,,,,,
Alex Scott,alex-scott,A. Scott,M,8,178,2151,M,1104986,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061596800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس سكوت', 'hi': 'एलेक्स स्कॉट', 'bn': 'অ্যালেক্স স্কট'}, 'shortNameTranslation': {'ar': 'أ. سكوت', 'hi': 'ए. स्कॉट', 'bn': 'এ. স্কট'}}",25.0,21.0,2.0,2.0,7.0,8.0,15.0,19.0,1.0,3.0,,,,41.0,40.0,6.5,8.0,0.129066,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Alex Scott,,2.0,1.0,,8.0,2.0,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,2.0,,,,,,,,,,,1.0,
Joe Rothwell,joe-rothwell,J. Rothwell,M,6,185,269,M,190853,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,789782400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو روثويل', 'hi': 'जो रोथवेल', 'bn': 'জো রথওয়েল'}, 'shortNameTranslation': {'ar': 'ج. روثويل', 'hi': 'जे. रोथवेल', 'bn': 'জে. রথওয়েল'}}",17.0,15.0,2.0,2.0,2.0,2.0,13.0,16.0,1.0,1.0,,,,20.0,20.0,6.6,3.0,0.0208448,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176,6517,M,836070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,929577600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",8.0,8.0,,,1.0,1.0,7.0,9.0,1.0,2.0,,,,20.0,20.0,6.6,6.0,0.00987806,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,,2.0,2.0,,,2.0,1.0,,,,1.0,1.0,,3.0,,,,,Sinisterra29,1.0,,,,,,,,,,,,
David Brooks,david-brooks,D. Brooks,M,7,173,1194,M,855731,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,868320000,"{'value': 11000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافيد بروكس', 'hi': 'डेविड ब्रूक्स', 'bn': 'ডেভিড ব্রুকস'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'hi': 'डी. ब्रूक्स', 'bn': 'ডি. ব্রুকস'}}",3.0,2.0,,,1.0,1.0,1.0,2.0,,,,,,9.0,6.0,6.2,2.0,0.00139252,"{'original': 6.2, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,2.0,1.0,,,1.0,,,,,,1.0,,,,,0.1713,,,1.0,,,,,,1.0,,,,1.0,,1.0
Kieffer Moore,kieffer-moore,K. Moore,F,19,195,1406,M,298366,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,713232000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفر مور', 'hi': 'किफ़र मूर', 'bn': 'কিফার মুর'}, 'shortNameTranslation': {'ar': 'ك. مور', 'hi': 'के. मूर', 'bn': 'কে. মুর'}}",4.0,2.0,,,,,2.0,4.0,,,,,,8.0,4.0,6.5,2.0,0.00034048,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,3.0,1.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
Mark Travers,mark-travers,M. Travers,G,12,191,606,M,856720,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,926985600,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك ترافيرس', 'hi': 'मार्क ट्रैवर्स', 'bn': 'মার্ক ট্র্যাভার্স'}, 'shortNameTranslation': {'ar': 'م. ترافيرس', 'hi': 'एम. ट्रैवर्स', 'bn': 'এম. ট্রাভার্স'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Mepham,chris-mepham,C. Mepham,D,2,191,392,M,865740,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,878688000,"{'value': 3300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ميفام', 'hi': 'क्रिस मेफम', 'bn': 'ক্রিস মেফাম'}, 'shortNameTranslation': {'ar': 'ك. ميفام', 'hi': 'डी. बर्टौड', 'bn': 'সি. মেফাম'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Greenwood,greenwood-ben,B. Greenwood,M,,170,29,M,1130223,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1045699200,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جرينوود، بن', 'hi': 'ग्रीनवुड, बेन', 'bn': 'গ্রিনউড, বেন'}, 'shortNameTranslation': {'ar': 'ب. جرينوود', 'hi': 'बी. ग्रीनवुड', 'bn': 'বি. গ্রিনউড'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Ben,Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,justinkluivert,,,,,,,,,,,,,
