name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,aerialWon,duelLost,bigChanceCreated,totalClearance,outfielderBlock,fouls,challengeLost,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,totalOffside,expectedGoals,dispossessed,totalContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,penaltyWon,expectedGoalsOnTarget,wonContest,goals,bigChanceMissed,savedShotsFromInsideTheBox,penaltyFaced,punches,penaltyConceded,sofascoreId,hitWoodwork
Bernd Leno,bernd-leno,B. Leno,G,1,190.0,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",40.0,30.0,13.0,4.0,0.0,26.0,29.0,4.0,11.0,,8.0,,4.0,1.0,1.0,90.0,51.0,7.1,11.0,0.00072046,,"{'original': 7.1, 'alternative': 6.7}",0,0.689,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,
Kenny Tete,kenny-tete,K. Tete,D,2,180.0,1091,M,190877,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,813196800,"{'value': 11900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيني تيتي', 'hi': 'केनी टेटे', 'bn': 'কেনি টেটে'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'hi': 'के. टेटे', 'bn': 'কে. টেটে'}}",47.0,38.0,3.0,1.0,0.0,17.0,22.0,22.0,27.0,9.0,4.0,4.0,,,,90.0,74.0,6.8,14.0,0.048183,,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,,,4.0,,2.0,,3.0,,,5.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,
Tim Ream,tim-ream,T. Ream,D,3,185.0,550,M,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",50.0,46.0,7.0,5.0,0.0,36.0,40.0,10.0,10.0,6.0,1.0,2.0,,,,90.0,61.0,6.8,4.0,0.00366166,,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,,1.0,1.0,2.0,,4.0,,,1.0,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185.0,4536,M,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",46.0,41.0,4.0,2.0,0.0,32.0,37.0,9.0,9.0,3.0,6.0,,,,,90.0,51.0,6.2,5.0,0.00202824,,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,5.0,,,1.0,3.0,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,1.0,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183.0,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",39.0,31.0,4.0,2.0,0.0,15.0,20.0,16.0,21.0,4.0,2.0,,,,,78.0,62.0,6.3,14.0,0.0127843,,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,1.0,,7.0,,1.0,2.0,2.0,,,4.0,2.0,,,,,4.0,,,2.0,,,,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176.0,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",35.0,26.0,1.0,1.0,1.0,12.0,14.0,15.0,23.0,,2.0,,,,,75.0,42.0,7.0,11.0,0.110063,2.0,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,,,4.0,1.0,2.0,,4.0,,,,,1.0,,0.0352,,,1.0,,,,0.0864,,,,,,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189.0,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",53.0,48.0,2.0,1.0,0.0,22.0,24.0,26.0,30.0,3.0,4.0,,,,,89.0,65.0,6.9,6.0,0.0116403,1.0,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,1.0,3.0,,3.0,1.0,2.0,1.0,,2.0,,,,0.0445,,,1.0,1.0,1.0,,0.0316,,,,,,,,Palhinha,
Harry Wilson,harry-wilson,H. Wilson,M,8,173.0,4052,M,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",36.0,29.0,3.0,2.0,2.0,10.0,11.0,20.0,27.0,7.0,4.0,3.0,,,,90.0,49.0,9.0,9.0,0.139415,3.0,"{'original': 9, 'alternative': 8.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,1.0,2.0,4.0,,1.0,,1.0,1.0,2.0,,,,,0.1703,1.0,2.0,1.0,,,,0.5298,2.0,1.0,,,,,,,1.0
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183.0,7053,M,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",41.0,37.0,2.0,2.0,0.0,14.0,16.0,23.0,26.0,2.0,3.0,1.0,,,,90.0,49.0,7.0,8.0,0.0585554,3.0,"{'original': 7, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,3.0,1.0,0.0486,,,1.0,,,,0.0256,,,,,,,,alexanderiwobi,
Adama Traoré,adama-traore,A. Traoré,F,11,178.0,10385,M,286165,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,822528000,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أداما تراوري', 'hi': 'एडाम ट्राओरे', 'bn': 'আদামা ট্রাওরে'}, 'shortNameTranslation': {'ar': 'أ. تراوري', 'hi': 'ए. ट्राओरे', 'bn': 'এ. ট্রাওরে'}}",20.0,19.0,1.0,1.0,1.0,6.0,7.0,14.0,15.0,3.0,3.0,1.0,,,,79.0,31.0,8.0,4.0,0.20799,2.0,"{'original': 8, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,2.0,2.0,5.0,1.0,,,2.0,,,,,1.0,,0.1474,,1.0,1.0,1.0,,,0.3184,,1.0,,,,,,adamatrd,
Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189.0,16724,M,192442,"{'alpha2': 'MX', 'alpha3': 'MEX', 'name': 'Mexico', 'slug': 'mexico'}",EUR,673401600,"{'value': 4200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راؤول خيمينيز', 'hi': 'राउल जिमेनेज़', 'bn': 'রাউল জিমেনেজ'}, 'shortNameTranslation': {'ar': 'ر. خيمينيز', 'hi': 'आर. जिमेनेज़', 'bn': 'আর. জিমেনেজ'}}",34.0,29.0,3.0,2.0,0.0,13.0,17.0,17.0,19.0,3.0,,1.0,,,,89.0,50.0,8.4,11.0,0.0942724,1.0,"{'original': 8.4, 'alternative': 8.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,1.0,,3.0,,1.0,1.0,,,1.0,,,3.0,,0.2662,2.0,2.0,2.0,,1.0,,0.7501,2.0,2.0,1.0,,,,,RJimenez9,
Tom Cairney,tom-cairney,T. Cairney,M,10,185.0,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",8.0,8.0,,,0.0,1.0,1.0,7.0,8.0,1.0,1.0,,,,,15.0,11.0,7.0,1.0,0.00862071,1.0,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,0.0264,,,1.0,,,,0.1001,,,,,,,,,
Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177.0,1471,M,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",6.0,4.0,1.0,,0.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,12.0,9.0,6.2,3.0,0.00019461,,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,4.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170.0,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",3.0,3.0,,,0.0,,,3.0,3.0,3.0,1.0,2.0,,,,11.0,10.0,7.3,1.0,0.0164389,1.0,"{'original': 7.3, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,1.0,,,,,,3.0,1.0,,1.0,,0.3537,,,,,,,,,,,,,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185.0,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,1.0,2.0,,,0.00118507,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184.0,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",,,,,0.0,,,,,,,,,,,1.0,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,RodrigoMuniz019,
Marek Rodák,marek-rodak,M. Rodák,G,1,188.0,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177.0,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andreaspereira,
Armando Broja,armando-broja,A. Broja,F,27,191.0,8884,M,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,armando.broja,
Willian,willian,Willian,F,88,175.0,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,willianborges88,
