name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,totalTackle,wonTackle,wasFouled,fouls,keyPass,aerialLost,aerialWon,challengeLost,interceptionWon,outfielderBlock,unsuccessfulTouch,firstName,lastName,goalAssist,totalCross,accurateCross,bigChanceCreated,penaltyWon,bigChanceMissed,onTargetScoringAttempt,sofascoreId,shotOffTarget,goals,totalOffside,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",27.0,17.0,12.0,3.0,15.0,17.0,2.0,10.0,10.0,2.0,4.0,4.0,90.0,39.0,7.3,11.0,0.0,0.0,0.00140139,"{'original': 7.3, 'alternative': 6.8}",0,-0.2673,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,guglielmovicario,,,,1.0,4.0,3.0,
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",106.0,96.0,3.0,1.0,26.0,27.0,70.0,81.0,8.0,,,,90.0,134.0,7.6,14.0,0.0336,0.2362,0.137953,"{'original': 7.6, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,3.0,,3.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,2.0,,,,,1.0,emerson_royal,,1.0,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",8.0,8.0,,,3.0,3.0,5.0,5.0,1.0,,,,14.0,10.0,7.5,,0.5809,0.6226,0.00678429,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,cutiromero2,,1.0,,,,,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",71.0,67.0,2.0,1.0,31.0,34.0,36.0,37.0,6.0,,,,90.0,85.0,7.3,5.0,0.0296,0.0,0.0251334,"{'original': 7.3, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,9.0,,2.0,2.0,,5.0,2.0,2.0,1.0,,,1.0,4.0,,,,1.0,,,,,,,,,,mickyvdven,2.0,,,,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",67.0,63.0,,,15.0,17.0,48.0,52.0,5.0,,,,90.0,86.0,7.2,10.0,0.0,0.0,0.037461,"{'original': 7.2, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,5.0,,3.0,,,,3.0,3.0,2.0,2.0,1.0,1.0,,,3.0,,,,,,2.0,,,,,,udogiethree,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",39.0,37.0,,,9.0,10.0,28.0,29.0,1.0,,,,75.0,49.0,6.5,5.0,0.0,0.0,0.0138121,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,,,,,,1.0,,1.0,1.0,,3.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",116.0,107.0,2.0,1.0,26.0,27.0,81.0,89.0,7.0,,,,90.0,138.0,8.0,10.0,0.035,0.0,0.110519,"{'original': 8, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,9.0,,6.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,4.0,,,,,,,,,,,,YB8,1.0,,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",58.0,49.0,,,7.0,8.0,42.0,52.0,6.0,,,,90.0,71.0,7.3,12.0,0.0373,0.0,0.363071,"{'original': 7.3, 'alternative': 7.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,6.0,,1.0,1.0,2.0,,4.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,2.0,,,,,,dejan_k10,1.0,,,,,,
James Maddison,james-maddison,J. Maddison,M,10,175,16399,M,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",63.0,56.0,5.0,2.0,9.0,9.0,49.0,66.0,3.0,,,,90.0,87.0,8.2,21.0,0.0711,0.0223,0.945747,"{'original': 8.2, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,4.0,2.0,1.0,,1.0,1.0,1.0,,2.0,3.0,6.0,1.0,1.0,,1.0,,1.0,,,2.0,12.0,2.0,1.0,,,1.0,Madders,,,,,,,
Heung-min Son,heung-min-son,H. M. Son,F,7,184,126618,M,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",34.0,30.0,,,3.0,3.0,27.0,33.0,2.0,,,,75.0,46.0,6.7,9.0,0.1005,0.1274,0.0463333,"{'original': 6.7, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,5.0,3.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,1.0,HMSon,1.0,,,,,,1.0
Richarlison,richarlison,Richarlison,F,9,184,46727,M,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",18.0,13.0,,,3.0,5.0,10.0,13.0,1.0,,,,90.0,36.0,6.6,13.0,0.1736,0.0626,0.0147996,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,10.0,3.0,3.0,5.0,3.0,1.0,,,,,,1.0,5.0,,,,,3.0,,,,,,,,,1.0,Richarlison,,,,,,,
Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187,11997,M,566102,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834537600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دافينسون سانشيز', 'hi': 'डेविंसन सांचेज़', 'bn': 'ডেভিনসন সানচেজ'}, 'shortNameTranslation': {'ar': 'د. سانشيز', 'hi': 'डी. सांचेज़', 'bn': 'ডি. সানচেজ'}}",74.0,67.0,6.0,3.0,24.0,27.0,43.0,47.0,4.0,,,,76.0,84.0,7.0,8.0,0.1205,0.0,0.0281999,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,4.0,,,,,2.0,,,1.0,2.0,,1.0,3.0,,1.0,2.0,1.0,,,,,,,,,,DAVINSON,1.0,,,,,,
Ivan Perišić,ivan-perisic,I. Perišić,M,5,187,17688,M,38710,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,602380800,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان بيريشيتش', 'hi': 'इवान पेरिसिच', 'bn': 'ইভান পেরিসিচ'}, 'shortNameTranslation': {'ar': 'إ. بيريسيتش', 'hi': 'आई. पेरिसिच', 'bn': 'আই. পেরিসিচ'}}",11.0,9.0,,,3.0,3.0,7.0,11.0,1.0,,,,15.0,20.0,7.1,6.0,0.0,0.0,0.0671576,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,,3.0,3.0,,,,,,,1.0,,,,,,,,,,3.0,1.0,,,,,ivanperisic444,,,,,,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",19.0,19.0,,,9.0,9.0,10.0,10.0,1.0,,,,15.0,22.0,7.1,,0.0874,0.0378,0.00688458,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,pape,,,,,,,
Brandon Austin,austin-brandon,B. Austin,G,40,188,1393,M,859896,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915753600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستن، براندون', 'hi': 'ऑस्टिन, ब्रैंडन', 'bn': 'অস্টিন, ব্র্যান্ডন'}, 'shortNameTranslation': {'ar': 'ب. أوستن', 'hi': 'बी. ऑस्टिन', 'bn': 'বি. অস্টিন'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedroporro29,,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,hojbjerg23,,,,,,,
Giovani Lo Celso,lo-celso-giovani,G. Lo Celso,M,20,177,16348,M,798835,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,829008000,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيوفاني لو سيلسو', 'hi': 'लो सेल्सो, जियोवानी', 'bn': 'লো সেলসো, জিওভানি'}, 'shortNameTranslation': {'ar': 'ج. لو سيلسو', 'hi': 'जी. सेल्सो,', 'bn': 'জি. লো সেলসো'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,locelso_giovani,,,,,,,
Manor Solomon,manor-solomon,M. Solomon,M,6,167,4868,M,862223,"{'alpha2': 'IL', 'alpha3': 'ISR', 'name': 'Israel', 'slug': 'israel'}",EUR,932774400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانور سولومون', 'hi': 'मनोर सोलोमन', 'bn': 'মনোর সলোমন'}, 'shortNameTranslation': {'ar': 'م. سولومون', 'hi': 'एम. सोलोमन', 'bn': 'এম. সলোমন'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
