name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,totalTackle,wonTackle,wasFouled,fouls,keyPass,aerialLost,aerialWon,challengeLost,interceptionWon,outfielderBlock,unsuccessfulTouch,firstName,lastName,goalAssist,totalCross,accurateCross,bigChanceCreated,penaltyWon,bigChanceMissed,onTargetScoringAttempt,sofascoreId,shotOffTarget,goals,totalOffside,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",18.0,12.0,1.0,1.0,6.0,12.0,6.0,6.0,4.0,,,,72.0,36.0,7.9,8.0,0.2999,0.1493,0.0543627,"{'original': 7.9, 'alternative': 7.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,yowissa,,1.0,1.0,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",13.0,12.0,3.0,2.0,5.0,5.0,7.0,9.0,6.0,,,,41.0,22.0,6.9,3.0,0.0746,0.1155,0.00506479,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,2.0,,,,,,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",9.0,6.0,,,5.0,5.0,1.0,5.0,,,,,18.0,13.0,6.2,4.0,0.0306,0.0,0.00014611,"{'original': 6.2, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,4.0,1.0,,,,1.0,,1.0,1.0,,,,,,4.0,,,,Mads,Roerslev,,1.0,,,,,,,,,,,,,
Kevin Schade,kevin-schade,K. Schade,M,7,183,2784,M,1006387,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,1006819200,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفين شايد', 'hi': 'केविन शैड', 'bn': 'কেভিন শেড'}, 'shortNameTranslation': {'ar': 'ك. شايد', 'hi': 'के. शैड', 'bn': 'কে. স্কেড'}}",1.0,,,,,,,1.0,,,,,18.0,5.0,6.2,4.0,0.3488,0.0,0.0,"{'original': 6.2, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,1.0,,,1.0,,,,,,
Shandon Baptiste,shandon-baptiste,S. Baptiste,M,26,180,142,M,892111,"{'alpha2': 'GD', 'alpha3': 'GRD', 'name': 'Grenada', 'slug': 'grenada'}",EUR,891993600,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,18.0,5.0,6.6,1.0,0.0,0.0,0.00434586,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",5.0,5.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,,,,11.0,8.0,7.4,1.0,0.0,0.0,0.111527,"{'original': 7.4, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dasilva,joshua-dasilva,J. D. Silva,M,,184,455,M,856260,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,909100800,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوشوا داسيلفا', 'hi': 'जोशुआ दासिल्वा', 'bn': 'জোশুয়া দাসিলভা'}, 'shortNameTranslation': {'ar': 'ج. داسيلفا', 'hi': 'जेडी दासिल्वा', 'bn': 'জে. ডি. সিলভা'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
