name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotOffTarget,expectedGoals,blockedScoringAttempt,outfielderBlock,bigChanceCreated,totalOffside,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,sofascoreId,punches,clearanceOffLine,goalAssist,goals
James Trafford,,,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",80.0,54.0,33.0,9.0,48.0,51.0,6.0,29.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,84.0,6.2,27.0,0.00257795,"{'original': 6.2, 'alternative': 6.2}",0,-1.4552,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenz Assignon,,,lorenz-assignon,L. Assignon,M,22,179,621,M,1009334,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,961632000,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورينز أسينيون', 'hi': 'लोरेन्ज़ एसिग्नोन', 'bn': 'লরেঞ্জ অ্যাসিগনন'}, 'shortNameTranslation': {'ar': 'ل. أسينيون', 'hi': 'एल. एसिग्नोन', 'bn': 'এল. অ্যাসিগনন'}}",30.0,23.0,1.0,,7.0,9.0,17.0,26.0,7.0,1.0,,6.0,,,90.0,64.0,6.6,22.0,0.0661961,"{'original': 6.6, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,
Dara O'Shea,,,dara-oshea,D. O'Shea,D,26,188,709,M,856719,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,920505600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دارا أوشيا', 'hi': ""दारा ओ'शीया"", 'bn': ""দারা ও'শিয়া""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'hi': ""डी. ओ'शीया"", 'bn': ""ডি. ও'শিয়া""}}",71.0,62.0,4.0,3.0,35.0,41.0,27.0,31.0,7.0,,,3.0,,,89.0,81.0,6.7,10.0,0.0223073,"{'original': 6.7, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,6.0,5.0,2.0,,4.0,,1.0,1.0,,,,,1.0,0.042,,,,,,,,,,,,
Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1543,M,1117223,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1022371200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسيم إستيف', 'hi': 'मैक्सिम एस्टेवे', 'bn': 'ম্যাক্সিম এস্টেভ'}, 'shortNameTranslation': {'ar': 'م. إستيف', 'hi': 'एम. एस्टेवे', 'bn': 'এম. এস্তেভ'}}",76.0,67.0,2.0,1.0,40.0,44.0,28.0,33.0,6.0,1.0,1.0,7.0,,,90.0,87.0,7.0,9.0,0.0126455,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,1.0,2.0,4.0,,,2.0,,2.0,2.0,,1.0,3.0,,1.0,0.0866,1.0,1.0,,,,,,,,,,
Charlie Taylor,,,charlie-taylor,C. Taylor,D,29,183,281,M,166381,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748224000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي تايلور', 'hi': 'चार्ली टेलर', 'bn': 'চার্লি টেলর'}, 'shortNameTranslation': {'ar': 'ت. تايلور', 'hi': 'सी. टेलर', 'bn': 'সি. টেলর'}}",35.0,27.0,1.0,1.0,10.0,14.0,18.0,27.0,8.0,,,2.0,,,90.0,69.0,7.0,14.0,0.335421,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,6.0,1.0,2.0,5.0,4.0,1.0,1.0,3.0,,1.0,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,
Vitinho,,,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",23.0,11.0,2.0,,2.0,4.0,9.0,23.0,2.0,1.0,1.0,3.0,,,76.0,42.0,6.6,21.0,0.00706939,"{'original': 6.6, 'alternative': 6.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,,,,3.0,1.0,2.0,,,,,3.0,1.0,,,2.0,0.5666,1.0,,,,1.0,,,,,,,
Sander Berge,,,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",70.0,64.0,1.0,1.0,33.0,34.0,31.0,36.0,12.0,2.0,2.0,6.0,,,90.0,82.0,7.5,7.0,0.0376664,"{'original': 7.5, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,4.0,7.0,,,,,5.0,3.0,1.0,1.0,,1.0,1.0,0.0722,,,,,,,,,,,,
Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",93.0,84.0,2.0,1.0,25.0,25.0,59.0,68.0,4.0,,,4.0,,,89.0,102.0,7.0,11.0,0.116711,"{'original': 7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,5.0,1.0,7.0,,2.0,1.0,,,,,3.0,,1.0,,0.037,1.0,,,,,1.0,0.0775,,,,,
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",45.0,36.0,2.0,1.0,12.0,16.0,25.0,32.0,5.0,2.0,2.0,6.0,,,90.0,63.0,7.8,14.0,0.339292,"{'original': 7.8, 'alternative': 7.5}",6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,4.0,2.0,0.4407,3.0,,1.0,,,1.0,0.0447,,,,,
David Datro Fofana,,,david-datro-fofana,D. D. Fofana,F,19,181,6836,M,1090458,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1040515200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد داترو فوفانا', 'hi': 'डेविड दात्रो फ़ोफ़ाना', 'bn': 'ডেভিড দাত্রো ফোফানা'}, 'shortNameTranslation': {'ar': 'د. د. فوفانا', 'hi': 'डी.डी. फ़ोफ़ाना', 'bn': 'ডি. ডি. ফোফানা'}}",21.0,15.0,,,5.0,5.0,10.0,16.0,7.0,3.0,,1.0,,,90.0,43.0,6.4,18.0,0.0436367,"{'original': 6.4, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,4.0,7.0,,2.0,,,2.0,,6.0,1.0,1.0,1.0,,0.1099,,,,,1.0,2.0,0.1635,datro_9,,,,
