Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,optaTeamId,Week,game,Home,Away,Win,Draw,Loss,Date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,Result,scatterId,scatterExtra
1,4yxspqt9kfih6zcwwslxq8r6f,1464,Újpest,Újpest,UJP,Újpest,#800080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,1464,1,UJP vs DVT,true,false,true,false,false,2025-07-25,er92e5o68ekziddn1zulexk44,amfs0dhjwsobm10en9twg0q,2271,2271,Újpest,Diosgyor,DVT,3,1,Played,W 3-1,2560157,UJP vs DVT (2025-07-25)
1,amfs0dhjwsobm10en9twg0q,2271,Diosgyor,Diosgyor,DVT,DVTK,#808080,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2271,1,UJP vs DVT,false,true,false,false,true,2025-07-25,er92e5o68ekziddn1zulexk44,4yxspqt9kfih6zcwwslxq8r6f,1464,1464,Diosgyor,Újpest,UJP,1,3,Played,L 1-3,2560157,UJP vs DVT (2025-07-25)
3,b3o0wckz4w3fusytybpgxftgm,227,Ferencváros,Ferencváros,FTC,Ferencváros,#023020,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,227,1,MTK vs FTC,false,true,false,true,false,2025-07-26,eqf8m078exw7n1ii541ms7190,ad5l7of8nxlt7c7uyf5pjiy14,2411,2411,Ferencváros,MTK,MTK,1,1,Played,T 1-1,2560155,MTK vs FTC (2025-07-26)
3,b7jek1bop3eoughds0xi22tte,225,Debrecen,Debrecen,DEB,Debrecen,#ff0000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,225,1,ZTE vs DEB,false,true,false,true,false,2025-07-26,equ9j5d4tvtl9kkhufmo33cpg,d8l653wnkhfqhpwsw3ia7mybn,2132,2132,Debrecen,Zalaegerszeg,ZTE,3,3,Played,T 3-3,2560156,ZTE vs DEB (2025-07-26)
3,ad5l7of8nxlt7c7uyf5pjiy14,2411,MTK,MTK,MTK,MTK,#ADD8E6,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2411,1,MTK vs FTC,true,false,false,true,false,2025-07-26,eqf8m078exw7n1ii541ms7190,b3o0wckz4w3fusytybpgxftgm,227,227,MTK,Ferencváros,FTC,1,1,Played,T 1-1,2560155,MTK vs FTC (2025-07-26)
3,d8l653wnkhfqhpwsw3ia7mybn,2132,Zalaegerszeg,Zalaegerszeg,ZTE,ZTE,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2132,1,ZTE vs DEB,true,false,false,true,false,2025-07-26,equ9j5d4tvtl9kkhufmo33cpg,b7jek1bop3eoughds0xi22tte,225,225,Zalaegerszeg,Debrecen,DEB,3,3,Played,T 3-3,2560156,ZTE vs DEB (2025-07-26)
7,8raew9whdfuuvsedk0pyiwc5d,9428,Kisvárda,Kisvárda,KIS,Kisvárda,#000000,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,9428,1,NYI vs KIS,false,true,false,true,false,2025-07-27,epim4vgqn1asif62qqx0wxtzo,1cfck1c4i89gm3xx02d5xsl81,2717,2717,Kisvárda,Nyíregyháza Spartacus,NYI,1,1,Played,T 1-1,2560153,NYI vs KIS (2025-07-27)
7,e86hbyj6fwyumuwoiaglh33r5,2718,Paks,Paks,PAK,Paks,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2718,1,PAK vs GYO,true,false,false,true,false,2025-07-27,ero16fnbvlwq2ry8ne20k6f4k,3jvgab7r5m1rqtyxvxrgyuwhd,2713,2713,Paks,Gyori ETO,GYO,3,3,Played,T 3-3,2560158,PAK vs GYO (2025-07-27)
7,7gmb3yf0l30i996xp4cqt5u9p,8746,Puskás,Puskás,PUS,Puskás,#FFFF00,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,8746,1,PUS vs KAZ,true,false,true,false,false,2025-07-27,eq0f66jh8pbgbbcnojfskq32s,93jgs8iidqpjpynqao1w1yxrv,6542,6542,Puskás,Kazincbarcika,KAZ,2,1,Played,W 2-1,2560154,PUS vs KAZ (2025-07-27)
7,1cfck1c4i89gm3xx02d5xsl81,2717,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NYI,Nyíregyháza,,47s2kt0e8m444ftqvsrqa3bvq,NB I (Hungary),1,2717,1,NYI vs KIS,true,false,false,true,false,2025-07-27,epim4vgqn1asif62qqx0wxtzo,8raew9whdfuuvsedk0pyiwc5d,9428,9428,Nyíregyháza Spartacus,Kisvárda,KIS,1,1,Played,T 1-1,2560153,NYI vs KIS (2025-07-27)
