minute,value
1.0,-7
2.0,-11
3.0,20
4.0,-25
5.0,-11
6.0,-9
7.0,-6
8.0,-6
9.0,-6
10.0,-7
11.0,-8
12.0,-9
13.0,-9
14.0,-27
15.0,-17
16.0,-40
17.0,-72
18.0,-44
19.0,-16
20.0,-9
21.0,11
22.0,4
23.0,-15
24.0,-64
25.0,-44
26.0,-65
27.0,-44
28.0,-28
29.0,-18
30.0,-16
31.0,-54
32.0,-29
33.0,-18
34.0,-50
35.0,-29
36.0,-12
37.0,-5
38.0,12
39.0,12
40.0,3
41.0,-7
42.0,-11
43.0,-14
44.0,-16
45.0,-25
45.5,-26
46.0,5
47.0,25
48.0,11
49.0,1
50.0,2
51.0,-25
52.0,-19
53.0,-13
54.0,-10
55.0,-8
56.0,-5
57.0,-5
58.0,5
59.0,-43
60.0,-72
61.0,-45
62.0,-29
63.0,-41
64.0,-18
65.0,-1
66.0,-6
67.0,-9
68.0,-10
69.0,-12
70.0,-21
71.0,-9
72.0,-2
73.0,3
74.0,5
75.0,22
76.0,7
77.0,-10
78.0,-10
79.0,-12
80.0,-23
81.0,-22
82.0,-21
83.0,17
84.0,18
85.0,48
86.0,30
87.0,10
88.0,-9
89.0,-15
90.0,-24
90.5,7
