minute,value
1.0,1
2.0,1
3.0,1
4.0,1
5.0,1
6.0,1
7.0,35
8.0,25
9.0,23
10.0,13
11.0,1
12.0,-23
13.0,-11
14.0,-12
15.0,-13
16.0,-9
17.0,-7
18.0,9
19.0,19
20.0,-21
21.0,-11
22.0,25
23.0,25
24.0,20
25.0,14
26.0,19
27.0,7
28.0,20
29.0,9
30.0,3
31.0,-27
32.0,-18
33.0,-25
34.0,-36
35.0,-37
36.0,-23
37.0,-30
38.0,-49
39.0,-41
40.0,-31
41.0,-46
42.0,-38
43.0,-47
44.0,-32
45.0,-23
45.5,28
46.0,2
47.0,3
48.0,-37
49.0,-24
50.0,-14
51.0,-8
52.0,-8
53.0,6
54.0,-7
55.0,9
56.0,14
57.0,41
58.0,58
59.0,17
60.0,12
61.0,60
62.0,35
63.0,17
64.0,9
65.0,8
66.0,3
67.0,-8
68.0,-12
69.0,-39
70.0,-18
71.0,-6
72.0,-22
73.0,-28
74.0,-48
75.0,-33
76.0,-46
77.0,-8
78.0,-3
79.0,2
80.0,2
81.0,4
82.0,19
83.0,12
84.0,9
85.0,6
86.0,-14
87.0,-42
88.0,-25
89.0,-15
90.0,-25
90.5,3
