Date,Home,Away,HomeGoals,AwayGoals,Match_URL,HomePoints,AwayPoints,HomePointsDropped,AwayPointsDropped
2024-09-27,Újpest,Győr,0,0,https://fbref.com/en/matches/023717ee/Ujpest-Gyor-September-27-2024-NB-I,1,1,0.0,0.0
2024-09-28,Diósgyőr,Zalaegerszeg,2,1,https://fbref.com/en/matches/9dabfbfe/Diosgyor-Zalaegerszeg-September-28-2024-NB-I,3,0,0.0,0.0
2024-09-28,Kecskemét,Nyíregyháza,0,2,https://fbref.com/en/matches/4db64e2b/Kecskemet-Nyiregyhaza-September-28-2024-NB-I,0,3,0.0,0.0
2024-09-28,Debrecen,MTK Budapest,2,3,https://fbref.com/en/matches/0915fae5/Debrecen-MTK-Budapest-September-28-2024-NB-I,0,3,0.0,0.0
2024-09-29,Vidi,Paks,1,2,https://fbref.com/en/matches/8882184c/Vidi-Paks-September-29-2024-NB-I,0,3,3.0,0.0
2024-09-29,Ferencváros,Puskás,3,0,https://fbref.com/en/matches/a216218c/Ferencvaros-Puskas-Akademia-September-29-2024-NB-I,3,0,0.0,0.0
2024-10-04,Puskás,Debrecen,1,0,https://fbref.com/en/matches/359f36b6/Puskas-Akademia-Debrecen-October-4-2024-NB-I,3,0,0.0,0.0
2024-10-05,Győr,Vidi,3,1,https://fbref.com/en/matches/d090960a/Gyor-Vidi-October-5-2024-NB-I,3,0,0.0,0.0
2024-10-05,MTK Budapest,Kecskemét,3,1,https://fbref.com/en/matches/9a1fe78d/MTK-Budapest-Kecskemet-October-5-2024-NB-I,3,0,0.0,3.0
2024-10-05,Nyíregyháza,Diósgyőr,0,2,https://fbref.com/en/matches/5178d611/Nyiregyhaza-Diosgyor-October-5-2024-NB-I,0,3,0.0,0.0
2024-10-06,Zalaegerszeg,Újpest,0,2,https://fbref.com/en/matches/ecd65417/Zalaegerszeg-Ujpest-October-6-2024-NB-I,0,3,0.0,0.0
2024-10-06,Paks,Ferencváros,3,1,https://fbref.com/en/matches/179adc4f/Paks-Ferencvaros-October-6-2024-NB-I,3,0,0.0,0.0
2024-10-19,Debrecen,Paks,0,5,https://fbref.com/en/matches/b73cb872/Debrecen-Paks-October-19-2024-NB-I,0,3,0.0,0.0
2024-10-19,Diósgyőr,MTK Budapest,0,2,https://fbref.com/en/matches/8933e579/Diosgyor-MTK-Budapest-October-19-2024-NB-I,0,3,0.0,0.0
2024-10-19,Újpest,Nyíregyháza,1,0,https://fbref.com/en/matches/971ab1f3/Ujpest-Nyiregyhaza-October-19-2024-NB-I,3,0,0.0,0.0
2024-10-20,Kecskemét,Puskás,0,3,https://fbref.com/en/matches/94204178/Kecskemet-Puskas-Akademia-October-20-2024-NB-I,0,3,0.0,0.0
2024-10-20,Zalaegerszeg,Győr,1,2,https://fbref.com/en/matches/6f40afd8/Zalaegerszeg-Gyor-October-20-2024-NB-I,0,3,3.0,0.0
2024-10-20,Ferencváros,Vidi,2,0,https://fbref.com/en/matches/9d31d350/Ferencvaros-Vidi-October-20-2024-NB-I,3,0,0.0,0.0
2024-10-26,Puskás,Diósgyőr,1,1,https://fbref.com/en/matches/db63e820/Puskas-Akademia-Diosgyor-October-26-2024-NB-I,1,1,2.0,0.0
2024-10-26,Vidi,Debrecen,2,0,https://fbref.com/en/matches/cfe2fc08/Vidi-Debrecen-October-26-2024-NB-I,3,0,0.0,0.0
2024-10-26,MTK Budapest,Újpest,4,1,https://fbref.com/en/matches/66e3c2fa/MTK-Budapest-Ujpest-October-26-2024-NB-I,3,0,0.0,3.0
2024-10-27,Nyíregyháza,Zalaegerszeg,1,1,https://fbref.com/en/matches/0ea480de/Nyiregyhaza-Zalaegerszeg-October-27-2024-NB-I,1,1,0.0,2.0
2024-10-27,Paks,Kecskemét,1,0,https://fbref.com/en/matches/bceb2bed/Paks-Kecskemet-October-27-2024-NB-I,3,0,0.0,0.0
2024-10-27,Győr,Ferencváros,1,1,https://fbref.com/en/matches/bda898ea/Gyor-Ferencvaros-October-27-2024-NB-I,1,1,2.0,0.0
