time,player,team,score,HomeGoals,AwayGoals,match_id
 50,Brandon Domingues,Debrecen,4:3,4,3,88
 59,Brandon Domingues,Debrecen,5:3,5,3,88
 82,Ibrahim Cissé,Ferencváros,5:4,5,4,88
 35,Nadhir Benbouali,Győr,0:1,0,1,90
 48,Claudiu Bumba,Győr,0:2,0,2,90
 68,Claudiu Bumba,Győr,0:3,0,3,90
 8,Barna Tóth,Paks,1:0,1,0,91
 15,Marin Jurina,MTK Budapest,1:1,1,1,91
 39,Marin Jurina,MTK Budapest,1:2,1,2,91
 63,Dániel Böde,Paks,2:2,2,2,91
 66,Dániel Böde,Paks,3:2,3,2,91
 73,József Windecker,Paks,4:2,4,2,91
 70,Nejc Gradišar,Vidi,1:0,1,0,92
 13,Fran Brodić,Újpest,0:1,0,1,93
 53,Márk Szécsi,Debrecen,1:1,1,1,93
 67,Tom Lacoux,Újpest,1:2,1,2,93
 11,Barnabás Varga,Ferencváros,1:0,1,0,94
 2,Nejc Gradišar,Vidi,0:1,0,1,95
 27,Bence Végh,MTK Budapest,1:1,1,1,95
 68,Bálint Szabó,Vidi,1:2,1,2,95
 86,Marin Jurina,MTK Budapest,2:2,2,2,95
 22,Gergely Mim,Zalaegerszeg,1:0,1,0,96
 63,Meldin Drešković,Debrecen,1:1,1,1,96
 81,Bence Várkonyi,Zalaegerszeg,2:1,2,1,96
 24,Bence Bárdos,Diósgyőr,0:1,0,1,97
 32,Bright Edomwonyi,Diósgyőr,0:2,0,2,97
 44,Bence Bárdos,Diósgyőr,0:3,0,3,97
 51,Vladislav Klimovich,Diósgyőr,0:4,0,4,97
 59,Wajdi Sahli,Győr,1:4,1,4,97
 83,Daniel Štefulj,Győr,3:4,3,4,97
 67,Barna Tóth,Paks,1:1,1,1,98
 81,Jakub Plšek,Puskás Akadémia,2:1,2,1,98
 88,Lamin Colley,Puskás Akadémia,3:1,3,1,98
45+1,Donát Zsótér,Kecskemét,0:1,0,1,99
 48,Adrián Dénes,Újpest,1:1,1,1,99
 83,Barnabás Varga,Ferencváros,0:1,0,1,100
 76,Bence Ötvös,Paks,1:0,1,0,101
 79,Nadhir Benbouali,Győr,1:1,1,1,101
 13,Mátyás Katona,Vidi,1:0,1,0,102
 21,Mamoudou Karamoko,Újpest,0:1,0,1,103
 55,Csaba Szatmári,Diósgyőr,1:1,1,1,103
 8,Donát Bárány,Debrecen,1:0,1,0,104
 77,Maurides,Debrecen,2:1,2,1,104
 90,Maurides,Debrecen,3:1,3,1,104
 7,Csanad Denes,Zalaegerszeg,1:0,1,0,107
 15,Barnabás Varga,Ferencváros,1:1,1,1,107
 25,Barnabás Varga,Ferencváros,1:2,1,2,107
 35,Csanad Denes,Zalaegerszeg,2:2,2,2,107
 29,Brandon Domingues,Debrecen,0:1,0,1,108
 69,Tamás Szűcs,Debrecen,0:2,0,2,108
 56,Bence Lenzsér,Paks,1:0,1,0,110
90+2,Dániel Böde,Paks,2:0,2,0,110
 8,Željko Gavrić,Győr,1:0,1,0,111
 41,Nadhir Benbouali,Győr,2:0,2,0,111
 76,Claudiu Bumba,Győr,3:0,3,0,111
 8,Bence Bárdos,Diósgyőr,0:1,0,1,112
 72,Vince Nyíri,Zalaegerszeg,1:1,1,1,112
90+5,Dániel Németh,Zalaegerszeg,2:1,2,1,112
 35,Zsolt Nagy,Puskás Akadémia,1:0,1,0,113
 72,Daniel Štefulj,Győr,0:1,0,1,114
 18,Bálint Katona,Kecskemét,1:0,1,0,115
 26,Márió Zeke,Kecskemét,2:0,2,0,115
 45,Milán Májer,Kecskemét,3:0,3,0,115
 69,Bálint Katona,Kecskemét,4:0,4,0,115
 87,Driton Camaj,Kecskemét,5:0,5,0,115
 39,Péter Beke,Nyíregyháza,0:1,0,1,116
90+1,Slobodan Babić,Nyíregyháza,1:2,1,2,116
 29,Botond Vajda,Debrecen,1:0,1,0,117
90+5,Jakub Plšek,Puskás Akadémia,1:2,1,2,117
 17,Mamoudou Karamoko,Újpest,1:0,1,0,118
 83,Csanad Denes,Zalaegerszeg,1:1,1,1,118
90+4,Sinan Medgyes,Zalaegerszeg,1:2,1,2,118
 64,Dániel Böde,Paks,0:1,0,1,119
90+5,Dániel Böde,Paks,0:2,0,2,119
 26,Patrik Kovacs,MTK Budapest,1:0,1,0,120
 41,Marin Jurina,MTK Budapest,2:0,2,0,120
 58,Tamás Kádár,MTK Budapest,3:0,3,0,120
 78,Benedek Varju,MTK Budapest,4:0,4,0,120
 6,Urho Nissilä,Puskás Akadémia,1:0,1,0,121
 20,Zsolt Nagy,Puskás Akadémia,2:0,2,0,121
 30,Jonathan Levi,Puskás Akadémia,3:0,3,0,121
 48,Donát Zsótér,Kecskemét,3:1,3,1,121
 59,Márió Zeke,Kecskemét,3:2,3,2,121
 90,Artem Favorov,Puskás Akadémia,4:2,4,2,121
 38,Erik Silye,Paks,2:0,2,0,122
 63,Brandon Domingues,Debrecen,2:1,2,1,122
 70,Maurides,Debrecen,2:2,2,2,122
 73,Norbert Könyves,Paks,3:2,3,2,122
 89,Norbert Könyves,Paks,4:2,4,2,122
90+5,Maurides,Debrecen,4:3,4,3,122
 82,Nadhir Benbouali,Győr,2:0,2,0,124
 2,Mohammad Abu Fani,Ferencváros,0:1,0,1,125
 7,Cebrails Makreckis,Ferencváros,0:2,0,2,125
 84,Mohamed Ali Ben Romdhane,Ferencváros,1:3,1,3,125
